imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<455865DF.3090004@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
2,<144ED8561CE90C41A3E5908EDECE315C040B196F@IsrExch01.israel.polycom.com>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
3,<45588030.8030608@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
4,<2493C64BDF900546B2AA9AECA3892AA67B98E0@rvil-mail1.RADVISION.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
5,<144ED8561CE90C41A3E5908EDECE315C040B19EE@IsrExch01.israel.polycom.com>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
6,<45589B7E.1030801@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
7,<45589CB5.6030206@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
8,<B0E9FE4E257A824EA6D38682D5379B8603940F@gbnewp0758m.eu.ubiquity.net>,,0.0 (/),,,False,1.2,False,0.49999999999999784
9,<144ED8561CE90C41A3E5908EDECE315C730C92@IsrExch01.israel.polycom.com>,,0.6 (/),,,False,-1.0,False,0.49999999999999784
10,<C17EB290.1AB8D%eburger@cantata.com>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
11,<019901c707b9$fcbd5840$9101a8c0@radisys.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
12,<79B4F738DDD4EF4F85A4641A0FE5EFD602A5F170@aclmsg.corp.audiocodes.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
13,<455990E3.6070303@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
14,<45599272.8010403@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
15,<6900257941B31D4A954C71DEF805B9A20B779C6B@nj7460avexu2.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
16,,,0.0 (/),,,False,-2.0,False,0.054538661247964706
17,<5D8B6250CF196145A7AC4BA87FA2742102A97364@cool.research.att.com>,,0.2 (/),,,False,-1.0,False,0.49999999999999784
18,<4559F20C.3040609@libero.it>,,0.0 (/),,,False,0.5,False,0.669270692071739
19,<B0E9FE4E257A824EA6D38682D5379B86039414@gbnewp0758m.eu.ubiquity.net>,,0.0 (/),,,False,1.2,False,0.49999999999999784
20,<C17FD35F.1AD47%eburger@cantata.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
21,<6900257941B31D4A954C71DEF805B9A20B7CCEB2@nj7460avexu2.global.avaya.com>,,0.0 (/),,,False,0.1,False,0.13912089038711925
22,,,0.0 (/),,,False,-2.0,False,0.6152907348201759
