imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<C8DAD0FA-5B60-4782-A60C-90B57C2E40D2@cdt.org>,NO,-100.619,,"No, score=-100.619 tagged_above=-999 required=5 tests=[AWL=-0.620, BAYES_50=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<51912D11.8030904@nostrum.com>,NO,-102.45,,"No, score=-102.45 tagged_above=-999 required=5 tests=[AWL=0.150, BAYES_00=-2.599, HTML_MESSAGE=0.001, SPF_PASS=-0.001, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
3,<51922FFB.4070302@mnt.se>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, NO_RELAYS=-0.001]",False,-2.0,False,0.49999999999999784
4,<8DD4EB91-1051-4BBC-BCF3-A881F7ADAC1B@netapp.com>,NO,-7.85,,"No, score=-7.85 tagged_above=-999 required=5 tests=[AWL=2.749, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,-2.0,False,0.04486699454482516
5,<D27C1FD6-F944-4A66-956D-E0B4C857FDCD@netapp.com>,NO,-9.224,,"No, score=-9.224 tagged_above=-999 required=5 tests=[AWL=1.375, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,-2.0,False,0.03481168340193519
6,<DE5873CF-043E-48D3-801D-7C900EF8B005@cdt.org>,NO,-101.764,,"No, score=-101.764 tagged_above=-999 required=5 tests=[AWL=0.835, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<154FE74A-4986-4BD2-91DB-D8DFA43C08F8@cdt.org>,NO,-101.931,,"No, score=-101.931 tagged_above=-999 required=5 tests=[AWL=0.668, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.22737794128918348
8,<5193C94C.3070405@nostrum.com>,NO,-102.524,,"No, score=-102.524 tagged_above=-999 required=5 tests=[AWL=0.075, BAYES_00=-2.599, HTML_MESSAGE=0.001, SPF_PASS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<5C9EB068-8CBF-4110-B2BF-DAB979D08E42@netapp.com>,NO,-9.683,,"No, score=-9.683 tagged_above=-999 required=5 tests=[AWL=0.916, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,-2.0,False,0.15960297761042466
10,<519496A3.8050402@mnt.se>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
