imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<F3F89486-F8A8-49F1-B40C-C252F173020A@wu-wien.ac.at>,,0.0 (/),,,False,4.0,False,0.22737794128918348
2,<AAB4B3D3CF0F454F98272CBE187FDE2F0CA56AE9@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,1.4,False,0.15960297761042466
3,<AAB4B3D3CF0F454F98272CBE187FDE2F0CA56E57@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,0.5,False,0.49999999999999784
4,<0e4d01c77de5$f198bc50$0600a8c0@china.huawei.com>,,0.0 (/),,,False,4.1,False,0.03481168340193519
5,<AAB4B3D3CF0F454F98272CBE187FDE2F0CA56F10@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,0.5,False,0.49999999999999784
6,<461FC612.5080606@wu-wien.ac.at>,,0.0 (/),,,False,1.6,False,0.49999999999999784
7,<AAB4B3D3CF0F454F98272CBE187FDE2F0CD405F5@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,1.4,False,0.49999999999999784
8,<EDC652A26FB23C4EB6384A4584434A04121C82@307622ANEX5.global.avaya.com>,,0.1 (/),,,False,1.4,False,0.15960297761042466
9,<EDC652A26FB23C4EB6384A4584434A04121F94@307622ANEX5.global.avaya.com>,,0.1 (/),,,False,0.5,False,0.49999999999999784
10,<EDC652A26FB23C4EB6384A4584434A04122173@307622ANEX5.global.avaya.com>,,0.1 (/),,,False,2.4,False,0.49999999999999784
11,<BAY111-F21C04665B0F66700FE2DCAEC050@phx.gbl>,,2.2 (++),,,False,1.5,False,0.49999999999999784
12,<EDC652A26FB23C4EB6384A4584434A043F65F5@307622ANEX5.global.avaya.com>,,0.0 (/),,,False,1.4,False,0.15960297761042466
13,<EDC652A26FB23C4EB6384A4584434A043F6B64@307622ANEX5.global.avaya.com>,,0.0 (/),,,False,0.5,False,0.49999999999999784
14,<EDC652A26FB23C4EB6384A4584434A046F0508@307622ANEX5.global.avaya.com>,,0.0 (/),,,False,1.4,False,0.49999999999999784
