imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<COL125-W7B2D4FA295DC83B6C5CE3B1C10@phx.gbl>,NO,-99.356,,"No, score=-99.356 tagged_above=-999 required=5 tests=[BAYES_05=-1.11, HTML_MESSAGE=0.001, MIME_BASE64_TEXT=1.753, USER_IN_WHITELIST=-100]",False,1.7,False,0.006803068167124697
2,<20130412184003.29061.43450.idtracker@ietfa.amsl.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<7B3F1A5D-E037-4277-8945-AF419CFD8DC5@lilacglade.org>,NO,-103.598,,"No, score=-103.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.4,False,0.49999999999999784
4,<894E8242-E362-471D-BD4D-F87D800AC6DD@lilacglade.org>,NO,-101.214,,"No, score=-101.214 tagged_above=-999 required=5 tests=[AWL=-2.385, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, RDNS_NONE=0.1, TVD_SPACE_RATIO=2.219, USER_IN_WHITELIST=-100]",False,-1.4,False,0.49999999999999784
5,<COL125-W526C6F4C48D66547835A0B1CE0@phx.gbl>,NO,-100.245,,"No, score=-100.245 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, J_CHICKENPOX_51=0.6, MIME_BASE64_TEXT=1.753, USER_IN_WHITELIST=-100]",False,1.7,False,0.49999999999999784
6,<8D23D4052ABE7A4490E77B1A012B63077514D3C7@mbx-01.win.nominum.com>,NO,-105.711,,"No, score=-105.711 tagged_above=-999 required=5 tests=[AWL=-0.865, BAYES_00=-2.599, MIME_BASE64_TEXT=1.753, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,2.9,False,0.49999999999999784
7,<FB329D818C7CAB438F0C7DD772EA1025062B23BB@TK5EX14MBXC252.redmond.corp.microsoft.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.3,False,0.49999999999999784
8,<D60519DB022FFA48974A25955FFEC08C05079CFA@SAM.InterDigital.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
9,<8D23D4052ABE7A4490E77B1A012B63077514D9C8@mbx-01.win.nominum.com>,NO,-106.557,,"No, score=-106.557 tagged_above=-999 required=5 tests=[AWL=0.042, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.9,False,0.49999999999999784
10,<8D23D4052ABE7A4490E77B1A012B63077514DA0B@mbx-01.win.nominum.com>,NO,-106.558,,"No, score=-106.558 tagged_above=-999 required=5 tests=[AWL=0.041, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.9,False,0.49999999999999784
