imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20110510171502.3998.7433.idtracker@ietfa.amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<AE31510960917D478171C79369B660FA0DBA7734CE@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
3,<AE31510960917D478171C79369B660FA0DBA800424@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
4,<AE31510960917D478171C79369B660FA0DBBB88CAE@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
5,<0AB12AFE-60D9-4306-8D9F-BBEA21D29D3C@cloudsecurityalliance.org>,NO,-2.203,,"No, score=-2.203 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
6,<AE31510960917D478171C79369B660FA0DBBB88D37@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
7,<973940887.538232.1306261709807.JavaMail.root@linzimmb03o.imo.intelink.gov>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
8,<AE31510960917D478171C79369B660FA0DBBB8965C@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.0,False,0.49999999999999784
9,<6F6CDFD9-9EBB-474A-ABE9-25A18EFE0E69@cloudsecurityalliance.org>,NO,-2.202,,"No, score=-2.202 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
10,<4DE011F0.2080708@yaanatech.com>,NO,0,,"No, score=x tagged_above=-999 required=5 tests=[]",False,4.1,False,0.49999999999999784
11,<AE31510960917D478171C79369B660FA0DBBB897F6@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.0,False,0.49999999999999784
12,<79E6A88F-40FC-4F32-8D73-069A0DC1DEBF@tik.ee.ethz.ch>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
13,<5EA5E378841F7043B9815EE1E6FAAB8F0E9D87@hive.bronze.us-cert.gov>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
14,<AE31510960917D478171C79369B660FA0DBBB898B1@MX06A.corp.emc.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
