imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<01aa01c734fe$0f7f3180$0100000a@comm.ad.roke.co.uk>,,1.8 (+),,,False,1.3,False,7.920914951436315e-06
2,,,0.0 (/),,,False,-2.0,False,0.010836406957128238
3,<AB9FA2A1B69C9740B198A7369F4D1AA10218D70B@SC-EXCH01.marvell.com>,,0.0 (/),,,False,-2.0,False,0.006803068167124697
4,<047f01c73fc7$9ee75130$0100c90a@comm.ad.roke.co.uk>,,0.0 (/),,,False,0.3,False,0.03481168340193519
5,<45B77721.1040406@netlab.nec.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
6,<04ad01c73fcd$48aef6a0$0100c90a@comm.ad.roke.co.uk>,,0.0 (/),,,False,0.3,False,0.49999999999999784
7,<45B7FB98.9050102@azairenet.com>,,0.0 (/),,,False,0.5,False,0.03624164767921282
8,<45B8CD50.5040706@research.telcordia.com>,,0.0 (/),,,False,0.1,False,0.12012449063944837
9,,,0.0 (/),,,False,-2.0,False,0.23297681581746044
10,<45BB8327.608@research.telcordia.com>,,0.0 (/),,,False,0.1,False,0.12012449063944837
11,,,3.3 (+++),,,False,-1.0,False,0.6152907348201759
12,<D60519DB022FFA48974A25955FFEC08C442199@SAM.InterDigital.com>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
13,<113091BD57179D4491C19DA7E10CD696503DAA@mx1.office>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
14,<E30FA710604C274D9FA87C74429B594A028A0F9D@daebe101.NOE.Nokia.com>,,0.2 (/),,,False,-2.0,False,0.03481168340193519
15,<E30FA710604C274D9FA87C74429B594A028A0F9E@daebe101.NOE.Nokia.com>,,0.2 (/),,,False,-2.0,False,0.15960297761042466
16,<45BFC292.3090300@research.telcordia.com>,,0.0 (/),,,False,0.1,False,0.12012449063944837
17,<D60519DB022FFA48974A25955FFEC08C442527@SAM.InterDigital.com>,,0.0 (/),,,False,-2.0,False,0.4081048834106833
18,<E30FA710604C274D9FA87C74429B594A028A152B@daebe101.NOE.Nokia.com>,,0.2 (/),,,False,-2.0,False,0.15960297761042466
19,<011f01c74563$dd464fc0$0100c90a@comm.ad.roke.co.uk>,,0.0 (/),,,False,0.3,False,0.03481168340193519
20,,,0.0 (/),,,False,-2.0,False,0.23297681581746044
21,<E30FA710604C274D9FA87C74429B594A028DA774@daebe101.NOE.Nokia.com>,,0.2 (/),,,False,-2.0,False,0.15960297761042466
22,<45CB53FF.5040509@research.telcordia.com>,,0.0 (/),,,False,0.1,False,0.12012449063944837
