imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200312171724.hBHHOlBZ093559@jaguar.icir.org>,,,,"No, hits=1.4 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.6,False,0.49999999999999784
2,,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
3,,,,,"No, hits=1.4 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
4,<3FFC8EEE.85A257DD@iprg.nokia.com>,,,,"No, hits=1.4 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
5,,,,,"No, hits=1.5 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
6,<4015C228.261D61E6@iprg.nokia.com>,,,,"No, hits=1.6 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
7,<009901c3e49e$e11d37e0$536015ac@dclkempt40>,,,,"No, hits=1.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
8,<40169FD5.DE6247B3@iprg.nokia.com>,,,,"No, hits=1.8 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
9,<025e01c3ec11$1cee6310$936015ac@dclkempt40>,,,,"No, hits=1.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
10,<02e401c3ec18$47d27150$936015ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
11,<4022A06C.9746CF5C@iprg.nokia.com>,,,,"No, hits=1.7 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
12,<000f01c3eccc$1bbe84a0$936015ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
13,<20040210004940.GA7012@zoic.org>,,,,"No, hits=1.8 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
14,<5F923380-5BCF-11D8-AD75-000A95DC2176@cs.umd.edu>,,,,"No, hits=1.4 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
15,<20040211055936.GA16875@zoic.org>,,,,"No, hits=2.1 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
16,<001e01c3f077$a2735df0$5347038d@tm.unikarlsruhe.de>,,,,"No, hits=3.6 required=5.0 tests=AWL,MIME_BASE64_LATIN, MIME_BASE64_TEXT,OPT_HEADER autolearn=no version=2.60",False,1.0,False,0.7189408625521978
17,<20040211092617.GB18626@zoic.org>,,,,"No, hits=2.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
18,<009f01c3f09e$f511cf70$5347038d@tm.unikarlsruhe.de>,,,,"No, hits=3.8 required=5.0 tests=AWL,MIME_BASE64_LATIN, MIME_BASE64_TEXT,OPT_HEADER autolearn=no version=2.60",False,1.0,False,0.7189408625521978
19,<20040211210502.GA23460@zoic.org>,,,,"No, hits=2.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
20,<402AD299.7030600@fhtw-berlin.de>,,,,"No, hits=1.9 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
21,<402BBFED.1C31B098@iprg.nokia.com>,,,,"No, hits=1.7 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
22,<402BC159.79501FA0@iprg.nokia.com>,,,,"No, hits=1.8 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
23,<402BC350.117D8490@iprg.nokia.com>,,,,"No, hits=1.8 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
24,<1A9FFCAB-5D9F-11D8-BC4E-000A95DC2176@cs.umd.edu>,,,,"No, hits=1.7 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
25,<20040213015433.GB1317@zoic.org>,,,,"No, hits=2.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
26,<200402230708.QAA01483@imd.m.ecl.ntt.co.jp>,,,,"No, hits=1.6 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
27,<007901c3fa12$9bda82d0$5347038d@tm.unikarlsruhe.de>,,,,"No, hits=3.8 required=5.0 tests=AWL,MIME_BASE64_LATIN, MIME_BASE64_TEXT,OPT_HEADER autolearn=no version=2.60",False,1.0,False,0.8151307171199322
28,<403AA54C.4266F20B@iprg.nokia.com>,,,,"No, hits=1.5 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
29,<200402240936.SAA24398@imd.m.ecl.ntt.co.jp>,,,,"No, hits=1.9 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
30,<200402241026.TAA28585@imd.m.ecl.ntt.co.jp>,,,,"No, hits=2.1 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
31,<010001c3fb70$d3df94e0$1e6115ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
32,<200402260058.JAA21269@imd.m.ecl.ntt.co.jp>,,,,"No, hits=2.1 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
33,<04d501c3fc0c$d8e99660$1e6115ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
34,<200402260816.RAA02712@imd.m.ecl.ntt.co.jp>,,,,"No, hits=2.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,True,0.9909515307154017
35,<039c01c3fc4a$18dc8330$182f024b@younheehan>,,,,"No, hits=3.2 required=5.0 tests=AWL,MIME_BASE64_LATIN, MIME_BASE64_TEXT,OPT_HEADER autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
36,<20040226111039.GB19372@zoic.org>,,,,"No, hits=1.6 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.8035799187328447
37,<403E433A.E137A2CC@iprg.nokia.com>,,,,"No, hits=1.5 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
38,<20040226225345.GA24484@zoic.org>,,,,"No, hits=1.6 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
39,<078301c3fcbf$d47f4710$1e6115ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
40,<200402270420.NAA20462@imd.m.ecl.ntt.co.jp>,,,,"No, hits=2.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
41,,,,,"No, hits=1.8 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
42,<20040227114139.GA29462@zoic.org>,,,,"No, hits=1.5 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
43,<403F8B16.7AAB9D1C@iprg.nokia.com>,,,,"No, hits=1.5 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-0.2,False,0.7189408625521978
44,<F22B971160628F46BCDDF9E1F3349433E9762A@orsmsx403.jf.intel.com>,,,,"No, hits=1.9 required=5.0 tests=AWL,HTML_60_70,HTML_MESSAGE, OPT_HEADER autolearn=no version=2.60",False,-2.0,False,0.8035799187328447
45,,,,,"No, hits=2.9 required=5.0 tests=AWL,HTML_40_50,HTML_MESSAGE, MIME_HTML_ONLY,OPT_HEADER,PRIORITY_NO_NAME autolearn=no version=2.60",False,0.7,False,0.7189408625521978
46,<Roam.SIMC.2.0.6.1078293877.25605.nordmark@bebop.france>,,,,"No, hits=1.2 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
47,<4df901c400ec$8262ee60$3e6015ac@dclkempt40>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,3.6,False,0.7189408625521978
48,<404584B5.2050500@kolumbus.fi>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
49,<404584BF.60408@kolumbus.fi>,,,,"No, hits=1.3 required=5.0 tests=AWL,OPT_HEADER autolearn=no  version=2.60",False,-1.0,False,0.7189408625521978
