imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20050304185016.38c90f31.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
2,<1109933548.9350.65.camel@bach.psl.com.sg>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
3,<20050304203623.5f0c8aff.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
4,<000001c523c7$594511d0$6600a8c0@SWD>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
5,<20050311021345.1649fe1d.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,2.6,False,0.49999999999999784
6,<000a01c52806$a2735770$6400a8c0@SWD>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
7,<1115715747.11379.23.camel@bach.psl.com.sg>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
8,<20050510181628.455d55fb.ernst@sfc.wide.ad.jp>,,,,,False,0.3,False,0.49999999999999784
9,,,0.0 (/),,,False,-2.0,False,0.6152907348201759
10,<20050510194240.6ad1e6ee.ernst@sfc.wide.ad.jp>,,,,,False,0.3,False,0.49999999999999784
11,<428379B1.9090802@6wind.com>,,,,,False,-2.0,False,0.34529067587569834
12,<m2ll6gz85g.wl%ryuji@sfc.wide.ad.jp>,,0.3 (/),,,False,-2.0,False,0.27693683532699287
13,<428DC7FC.7030306@6wind.com>,,0.2 (/),,,False,-2.0,False,0.42069953925179354
14,<20050607162431.16057668.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,0.3,False,0.49999999999999784
15,<EMAIL1PNXRPmcarcR4Z00051f8c@email1.etri.info>,,,,,False,1.5,False,0.49999999999999784
16,<20050608173854.63ebc591.ernst@sfc.wide.ad.jp>,,,,,False,0.3,False,0.49999999999999784
17,<EMAIL1OISo1WYi3Nnds0005237b@email1.etri.info>,,0.0 (/),,,False,1.5,False,0.49999999999999784
18,<20050609141556.0e1570c4.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,1.3,False,0.49999999999999784
19,<20050615201145.3b79e6f9.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,0.3,False,0.49999999999999784
20,<20050615201813.2d9503d3.ernst@sfc.wide.ad.jp>,,0.0 (/),,,False,0.3,False,0.49999999999999784
21,<EMAIL1WuLn5U9T3TGJ20006785a@email1.etri.info>,,0.0 (/),,,False,1.5,False,0.49999999999999784
