imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<47C79A24.4050505@pi.se>,NO,-0.591,,"No, score=-0.591 tagged_above=-999 required=5 tests=[AWL=-0.154, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.49999999999999784
2,<47C7B295.1020603@pi.se>,NO,-0.625,,"No, score=-0.625 tagged_above=-999 required=5 tests=[AWL=-0.188, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.49999999999999784
3,<47C81596.1010609@cisco.com>,NO,-2.237,,"No, score=-2.237 tagged_above=-999 required=5 tests=[AWL=-1.800, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-1.6,False,0.49999999999999784
4,<47C82DB6.6090604@cisco.com>,NO,-2.976,,"No, score=-2.976 tagged_above=-999 required=5 tests=[AWL=-3.539, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, HTML_MESSAGE=1, RDNS_NONE=0.1]",False,4.7,False,0.49999999999999784
5,<47CD84B3.2030009@pi.se>,NO,-0.585,,"No, score=-0.585 tagged_above=-999 required=5 tests=[AWL=-0.148, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.16528121032310528
6,<47CE66D8.9060600@pi.se>,NO,-0.589,,"No, score=-0.589 tagged_above=-999 required=5 tests=[AWL=-0.152, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.03624164767921282
7,<47CEB377.40407@pi.se>,NO,-0.615,,"No, score=-0.615 tagged_above=-999 required=5 tests=[AWL=-0.178, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.16528121032310528
8,<47CED06E.80406@pi.se>,NO,-0.621,,"No, score=-0.621 tagged_above=-999 required=5 tests=[AWL=-0.184, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.16528121032310528
9,<47CED368.9010502@pi.se>,NO,-0.624,,"No, score=-0.624 tagged_above=-999 required=5 tests=[AWL=-0.187, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.03624164767921282
10,<47CED7BA.3050001@pi.se>,NO,-0.621,,"No, score=-0.621 tagged_above=-999 required=5 tests=[AWL=-0.184, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-2.0,False,0.03624164767921282
