imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<DF7F294AF4153D498141CBEFADB17704C70F621E20@EMBX01-WF.jnpr.net>,NO,-106.519,,"No, score=-106.519 tagged_above=-999 required=5 tests=[AWL=0.079, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.006803068167124697
2,<DF7F294AF4153D498141CBEFADB17704C70FDAE1DD@EMBX01-WF.jnpr.net>,NO,-105.938,,"No, score=-105.938 tagged_above=-999 required=5 tests=[AWL=0.660, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<DF7F294AF4153D498141CBEFADB17704C70FE8EED0@EMBX01-WF.jnpr.net>,NO,-105.982,,"No, score=-105.982 tagged_above=-999 required=5 tests=[AWL=0.617, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.03481168340193519
4,<DF7F294AF4153D498141CBEFADB17704C70FE8EECE@EMBX01-WF.jnpr.net>,NO,-106.02,,"No, score=-106.02 tagged_above=-999 required=5 tests=[AWL=0.578, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<DF7F294AF4153D498141CBEFADB17704C70FE8EF01@EMBX01-WF.jnpr.net>,NO,-106.108,,"No, score=-106.108 tagged_above=-999 required=5 tests=[AWL=0.490, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<CBEE5A56.2978E%skraza@cisco.com>,NO,-7.135,,"No, score=-7.135 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_HI=-8, RCVD_NUMERIC_HELO=2.067]",False,-1.9,False,0.15960297761042466
7,<E505E124-0EF6-4E16-94A3-E38B65ABED99@mimectl>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.15960297761042466
8,<CAM0WBXV0drfGAuJL4haCpKXRMUqh2gOVmFBS3OUasVxVShs56g@mail.gmail.com>,NO,-3.298,,"No, score=-3.298 tagged_above=-999 required=5 tests=[AWL=0.300, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
9,<9762ACF04FA26B4388476841256BDE020115F53336CF@HE111543.emea1.cds.t-internal.com>,NO,-3.248,,"No, score=-3.248 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
10,<DF7F294AF4153D498141CBEFADB17704C7117E4964@EMBX01-WF.jnpr.net>,NO,-106.211,,"No, score=-106.211 tagged_above=-999 required=5 tests=[AWL=0.388, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
11,<DF7F294AF4153D498141CBEFADB17704C7120F21D3@EMBX01-WF.jnpr.net>,NO,-106.443,,"No, score=-106.443 tagged_above=-999 required=5 tests=[AWL=0.155, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
12,<4FE350CA.3070806@orange.com>,NO,-6.098,,"No, score=-6.098 tagged_above=-999 required=5 tests=[AWL=0.150, BAYES_00=-2.599, HELO_EQ_FR=0.35, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
13,<F73A3CB31E8BE34FA1BBE3C8F0CB2AE22C9CBAF8@SZXEML511-MBS.china.huawei.com>,NO,1.446,*,"No, score=1.446 tagged_above=-999 required=5 tests=[AWL=-1.004, BAYES_00=-2.599, CHARSET_FARAWAY_HEADER=3.2, HTML_MESSAGE=0.001, MIME_8BIT_HEADER=0.3, MIME_BASE64_TEXT=1.753, MIME_CHARSET_FARAWAY=2.45, RCVD_IN_DNSWL_MED=-4, SARE_SUB_ENC_GB2312=1.345]",False,-2.0,False,0.49999999999999784
14,<4FE88E85.5090007@juniper.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
15,<4FE9EA3C.5050209@pi.nu>,NO,-102.593,,"No, score=-102.593 tagged_above=-999 required=5 tests=[AWL=0.006, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
16,<4FE9FC09.7070208@cisco.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
17,<F73A3CB31E8BE34FA1BBE3C8F0CB2AE22C9CDD18@SZXEML511-MBS.china.huawei.com>,NO,-2.352,,"No, score=-2.352 tagged_above=-999 required=5 tests=[AWL=3.195, BAYES_00=-2.599, J_CHICKENPOX_21=0.6, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_MED=-4, SARE_SUB_ENC_UTF8=0.152]",False,0.0,False,0.49999999999999784
18,<XNM1$6$0$0$$9$1$2$A$2006890U4feda52c@hitachi.com>,NO,-1.09,,"No, score=-1.09 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_JP=1.244, HOST_EQ_JP=1.265, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
19,<CC131F09.1D168%tnadeau@juniper.net>,NO,-5.902,,"No, score=-5.902 tagged_above=-999 required=5 tests=[AWL=0.697, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
