imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<72598028-2F39-4445-9A19-3264FA5CD421@cisco.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
2,<7D5D48D2CAA3D84C813F5B154F43B15508F17387@nl0006exch001u.nl.lucent.com>,,2.2 (++),,,False,-1.0,False,0.27693683532699287
3,<05ad01c630a5$e0ef6400$36cd6a9c@Puppy>,,0.0 (/),,,False,0.3,False,0.07864247317713298
4,<465D7861-6E17-4B5D-BB4F-C4A4D673E8DF@cisco.com>,,0.0 (/),,,False,-2.0,False,0.016182055177790217
5,<49F0ECD8-F080-4DC1-9CD3-0363258A4972@cisco.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
6,<OF72F96176.2AC01B84-ONC1257132.003A360A-C1257132.003A526B@uk.marconicomms.com>,,0.0 (/),,,False,-0.1,False,0.0014280074691026489
7,<D109C8C97C15294495117745780657AE04757338@ftrdmel1.rd.francetelecom.fr>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
8,<4417E305.9060006@chello.nl>,,0.1 (/),,,False,2.6,False,0.007090971233707393
9,<OF3F9BE37D.B0C9B639-ONC1257132.003CDF1C-C1257132.003F03D9@uk.marconicomms.com>,,0.0 (/),,,False,-0.1,False,0.49999999999999784
10,<44180DB6.80607@intec.UGent.be>,,0.1 (/),,,False,-0.8,False,0.49999999999999784
11,<OFD1E5F107.67EED27C-ONC1257132.0046E792-C1257132.00478556@uk.marconicomms.com>,,-2.0 (--),,,False,-0.1,False,0.49999999999999784
12,<924BE816-7675-4E70-BB49-D2B4ED7FD885@cisco.com>,,0.2 (/),,,False,-1.9,False,0.49999999999999784
13,<99441BFD-9A17-4478-94AA-C945F4DCF354@cisco.com>,,0.2 (/),,,False,-2.0,False,0.49999999999999784
14,<44697B48.5010909@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
15,<OFBBB967AC.4AA2B88F-ONC1257170.002840B5-C1257170.0028A51A@uk.marconicomms.com>,,0.0 (/),,,False,-0.1,False,0.2415443929313124
16,<95A61A84-7C33-452C-BD65-EAAE3E00E267@cisco.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
17,<OF954B9E63.9CD9E3B5-ONC1257170.0041883F-C1257170.0041D9B7@uk.marconicomms.com>,,0.0 (/),,,False,-0.1,False,0.6152907348201759
18,<D109C8C97C15294495117745780657AE04EBEAE5@ftrdmel1.rd.francetelecom.fr>,,0.2 (/),,,False,-2.0,False,0.49999999999999784
19,<E8DA8B6A-14E7-409C-91E6-E8016D7540CA@cisco.com>,,0.2 (/),,,False,0.5,False,0.016182055177790217
