imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<Pine.SOL.4.64.0604222216380.17569@kekkonen.cs.hut.fi>,,0.0 (/),,"No, score=-1.4 required=5.0 tests=ALL_TRUSTED autolearn=failed  version=3.1.1-niksula20060321",False,-1.0,False,0.49999999999999784
2,<10723.1145750635@sandelman.ottawa.on.ca>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
3,<94fc702121d17ada1f6bdce3eafcf2a1@it.uc3m.es>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
4,<Pine.SOL.4.64.0604242331420.26472@kekkonen.cs.hut.fi>,,0.0 (/),,"No, score=-1.4 required=5.0 tests=ALL_TRUSTED autolearn=failed  version=3.1.1-niksula20060321",False,-1.0,False,0.49999999999999784
5,<Pine.SOL.4.64.0604250015310.26472@kekkonen.cs.hut.fi>,,0.0 (/),,"No, score=-1.4 required=5.0 tests=ALL_TRUSTED autolearn=failed  version=3.1.1-niksula20060321",False,-1.0,False,0.49999999999999784
6,<v01wvmsmbl.fsf@marajade.sandelman.ca>,,1.6 (+),,,False,-1.0,False,0.09853804411980313
7,<20060425090109.12AA.SHINTA@sfc.wide.ad.jp>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
8,<20060425090850.12AD.SHINTA@sfc.wide.ad.jp>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
9,<20060425091028.12B0.SHINTA@sfc.wide.ad.jp>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
10,<5176de9ac186aff75b7e0319b12672eb@it.uc3m.es>,,-2.6 (--),,,False,-0.8,False,0.49999999999999784
11,<Pine.SOL.4.64.0604250949220.6752@kekkonen.cs.hut.fi>,,-2.6 (--),,"No, score=-1.4 required=5.0 tests=ALL_TRUSTED autolearn=failed  version=3.1.1-niksula20060321",False,-1.0,False,0.49999999999999784
12,<Pine.SOL.4.64.0604250934080.6752@kekkonen.cs.hut.fi>,,-2.6 (--),,"No, score=-1.4 required=5.0 tests=ALL_TRUSTED autolearn=failed  version=3.1.1-niksula20060321",False,-1.0,False,0.49999999999999784
