imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<51865E1A72F61D48A247348DCCBA5CFB0564B735@XMB-AMS-105.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,1.4,False,0.49999999999999784
2,<20120121050531.1EC8311872@mol.redbarn.org>,NO,-1.117,,"No, score=-1.117 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482]",False,-2.0,False,0.17512984233985304
3,<99585C83-E784-4654-A4CD-818D537B2E5B@cisco.com>,NO,-106.444,,"No, score=-106.444 tagged_above=-999 required=5 tests=[AWL=0.155, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,True,0.9102376328750948
4,<51865E1A72F61D48A247348DCCBA5CFB056F6B29@XMB-AMS-105.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,1.4,False,0.49999999999999784
5,<CAPv4CP9dbJ9aq4X0U=TwRHzF7xdCHANQovpXGC+t9waOzd+1iQ@mail.gmail.com>,NO,-103.599,,"No, score=-103.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.1,False,0.49999999999999784
6,<00bd01cce8c5$63bcf130$2b36d390$@gmail.com>,NO,-3.392,,"No, score=-3.392 tagged_above=-999 required=5 tests=[AWL=0.206, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.6,False,0.6152907348201759
7,<008701cceeda$66406840$32c138c0$@gmail.com>,NO,-3.459,,"No, score=-3.459 tagged_above=-999 required=5 tests=[AWL=0.139, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.6,False,0.49999999999999784
8,<51865E1A72F61D48A247348DCCBA5CFB05A32F86@XMB-AMS-105.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,1.4,False,0.49999999999999784
9,<008c01ccf5e5$c3a4dfe0$4aee9fa0$@gmail.com>,NO,-3.505,,"No, score=-3.505 tagged_above=-999 required=5 tests=[AWL=0.093, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.6,False,0.49999999999999784
10,<B79FCA9C-B129-428D-9A87-C1AD041FB7DB@supinfo.com>,NO,-2.998,,"No, score=-2.998 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, J_CHICKENPOX_42=0.6, RCVD_IN_DNSWL_LOW=-1]",False,3.8,False,0.49999999999999784
11,<00af01ccfed4$113c0610$33b41230$@gmail.com>,NO,-3.53,,"No, score=-3.53 tagged_above=-999 required=5 tests=[AWL=0.068, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.6,False,0.49999999999999784
12,<51865E1A72F61D48A247348DCCBA5CFB05C47595@XMB-AMS-105.cisco.com>,NO,-10.566,,"No, score=-10.566 tagged_above=-999 required=5 tests=[AWL=0.033, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,1.4,False,0.49999999999999784
13,<CAOqz15pjd7SOdHzi0LjO+kCgCb4SJQ5-6v=L6w0WD99510hUPw@mail.gmail.com>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
14,<CAD0O2n=jd50tf4wyqw3Uu48bZAqtdEq9k_52fE46DPEwMX3MRQ@mail.gmail.com>,NO,-3.598,,"No, score=-3.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
15,<CAD0O2nnkBVWSx61CcKo+tdQDKWUjeHz+K4SpdjzRRP6za1b6fQ@mail.gmail.com>,NO,-3.598,,"No, score=-3.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
16,<5602BDDC-8C3F-4CC5-A572-98ECD5C4AAD6@netapp.com>,NO,-11.687,,"No, score=-11.687 tagged_above=-999 required=5 tests=[AWL=0.801, BAYES_00=-2.599, GB_I_INVITATION=-2, RCVD_IN_DNSWL_HI=-8, SARE_NETPROD=0.111]",False,-2.0,False,0.49999999999999784
17,<61F2D743-18D5-4831-A568-17145391DC0C@apnic.net>,NO,-101.048,,"No, score=-101.048 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FH_RELAY_NODNS=1.451, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,1.4,False,0.22737794128918348
