imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20080717150421.95C4.E4FE2133@sfc.wide.ad.jp>,,,,,False,4.2,False,2.410380909874428e-05
2,<C4A4AE7B.140F5%basavaraj.patil@nokia.com>,,,,,False,4.2,False,1.0521995690852036e-08
3,<4127007e0807171418s1cae9d2bs3535763f8c76c167@mail.gmail.com>,,,,,False,4.2,False,0.775504258962516
4,<4D35478224365146822AE9E3AD4A2666033E2260@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,2.0337988829091026e-05
5,<5F09D220B62F79418461A978CA0921BD02C06A9E@pslexc01.psl.local>,,,,,False,4.2,False,7.318397223233013e-12
6,<4889BA77.3020801@cs.uni-goettingen.de>,,,,,False,4.2,False,1.1113844263757374e-06
7,<488DB891.9060700@research.telcordia.com>,,,,,False,4.2,False,0.015925427371905287
8,<4D35478224365146822AE9E3AD4A2666035AAA0E@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,2.988710864932926e-05
9,<488DD75A.9090905@cs.uni-goettingen.de>,,,,,False,4.2,True,0.9623599655076072
10,<74387629-F725-4669-844E-A656E06DE5FE@gmail.com>,,,,,False,4.2,False,4.978138561133806e-05
11,<C4B5E12F.15F70%basavaraj.patil@nokia.com>,,,,,False,4.2,False,0.0233510114535079
12,<5F09D220B62F79418461A978CA0921BD02C07869@pslexc01.psl.local>,,,,,False,4.2,False,6.840324378662703e-12
13,<4D35478224365146822AE9E3AD4A2666035AAA22@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,4.25963257736604e-10
14,<5F09D220B62F79418461A978CA0921BD02C07876@pslexc01.psl.local>,,,,,False,4.2,False,2.24706835682867e-09
15,<DE33046582DF324092F2A982824D6B030403AFCD@mse15be2.mse15.exchange.ms>,,,,,False,4.9,False,2.5598718472279725e-09
16,<48B10F36.4060704@kddilabs.jp>,,,,,False,4.2,False,9.437189362002355e-14
17,<032601c91eee$805a96c0$150ca40a@china.huawei.com>,,,,,True,7.9,False,0.28004249948620036
18,<48EAF66F.50003@piuha.net>,,,,,False,4.2,False,5.1389793361169984e-11
19,<C50FC230.1ABF0%basavaraj.patil@nokia.com>,,,,,False,4.2,False,8.609860959174102e-14
20,<853DD750D9C3724FBF2DF7164FCF641C021C9347@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,False,7.600098912253122e-10
21,<48E9B72D.4030402@piuha.net>,,,,,False,4.2,False,2.2203327952981586e-13
22,<DE33046582DF324092F2A982824D6B03045B2669@mse15be2.mse15.exchange.ms>,,,,,False,4.2,False,2.2021573827916945e-07
23,<853DD750D9C3724FBF2DF7164FCF641C021C94B3@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,False,6.249357662233624e-06
24,<48EA109A.9060609@piuha.net>,,,,,False,4.2,False,0.0007383699789214917
25,<5F09D220B62F79418461A978CA0921BD02EA22EE@pslexc01.psl.local>,,,,,False,4.2,False,7.858510289295268e-10
26,<C5A96676FCD00745B64AE42D5FCC9B6E1B3F9B4C@zrc2hxm0.corp.nortel.com>,,,,,False,4.2,False,3.0580436763099526e-08
27,<DE33046582DF324092F2A982824D6B0304865A62@mse15be2.mse15.exchange.ms>,,,,,False,4.2,False,4.534702477711575e-08
28,<C5A96676FCD00745B64AE42D5FCC9B6E1B3F9A31@zrc2hxm0.corp.nortel.com>,,,,,False,4.2,False,1.2400368739544024e-11
29,<4D35478224365146822AE9E3AD4A266604B455A1$0001@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,1.1189954670345634e-06
30,<5F09D220B62F79418461A978CA0921BD02F57E84@pslexc01.psl.local>,,,,,False,4.2,False,1.6318231729885954e-09
31,<4D35478224365146822AE9E3AD4A266604FFE0C5@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,3.4246064497868676e-11
32,<5F09D220B62F79418461A978CA0921BD02FB639B@pslexc01.psl.local>,,,,,False,4.2,False,1.8291299943252075e-09
33,<1226606191.4876.6.camel@localhost>,,,,,False,4.2,False,5.098787931413274e-05
34,<853DD750D9C3724FBF2DF7164FCF641C02401134@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,False,8.210871698944224e-08
35,<4D35478224365146822AE9E3AD4A266605124235@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,1.7108684271597075e-10
36,<84840efa0811171709y7cdb1afajcc0c7fe7bec08973@mail.gmail.com>,,,,,False,4.2,True,0.9956376195988792
37,<4267D27F-8B58-4A94-82AB-585288DDB609@gmail.com>,,,,,False,4.2,True,0.999982163808776
38,<000001c9492b$dff497e0$a1946f0a@china.huawei.com>,,,,,True,7.9,False,6.032533877230631e-05
39,<1226990909.5319.22.camel@localhost>,,,,,False,4.2,False,2.511537457471407e-10
40,<00b401c9495b$b6a5f1b0$430ca40a@china.huawei.com>,,,,,True,7.9,False,0.07687950719125568
41,<F98E4FD6-3579-4101-BC78-F6567349FB5B@gmail.com>,,,,,False,4.2,True,0.9956707676504337
42,<20090113115659.XZUS8485.fed1rmmtao105.cox.net@fed1rmimpo01.cox.net>,,,,,False,4.2,False,0.49999999999999784
43,<200901201015.n0KAFNpX076455@mobilegravity.sfc.wide.ad.jp>,,,,,False,4.2,True,0.9999999999999979
44,<5F09D220B62F79418461A978CA0921BD0321A168@pslexc01.psl.local>,,,,,False,4.2,False,3.4451252679957486e-10
45,<5F09D220B62F79418461A978CA0921BD0321A2FC@pslexc01.psl.local>,,,,,False,4.2,False,5.4142931137985745e-11
46,<5F09D220B62F79418461A978CA0921BD0321A30E@pslexc01.psl.local>,,,,,False,4.2,False,2.527621325222101e-13
47,<C5A8C310.21C4C%basavaraj.patil@nokia.com>,,,,,False,4.2,False,1.120160307841537e-09
48,<1765B169-3053-47E4-B4B5-F02A8887D2BC@gmail.com>,,,,,False,4.2,False,0.32522721414354167
49,<5F09D220B62F79418461A978CA0921BD0321A8BC@pslexc01.psl.local>,,,,,False,4.2,False,0.06318377661561743
50,<01f901c98517$39743970$150ca40a@china.huawei.com>,,,,,True,7.9,False,0.014799805050606638
51,<49882BE8.306@cs.uni-goettingen.de>,,,,,False,4.2,False,3.635027577951804e-07
52,<016301c985b1$b32e9590$150ca40a@china.huawei.com>,,,,,True,7.9,False,0.03774248897085233
53,<FAAB54171A6C764E969E6B4CB3C2ADD206D9962009@NOK-EUMSG-03.mgdnok.nokia.com>,,,,,False,4.2,False,1.2612514442640953e-05
54,<5F09D220B62F79418461A978CA0921BD03269B13@pslexc01.psl.local>,,,,,False,4.2,False,0.04726803454084541
55,<00b001c98672$e35a7600$150ca40a@china.huawei.com>,,,,,True,7.9,True,0.9546285691466221
56,<5F09D220B62F79418461A978CA0921BD03269B1A@pslexc01.psl.local>,,,,,False,4.2,False,7.940387849602395e-06
57,<498AF8B1.1020303@nw.neclab.eu>,,,,,False,4.2,False,3.642858283688949e-08
58,<4D35478224365146822AE9E3AD4A26660666C5FB@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,0.20414498569025827
59,<C5B0C9E6.22541%basavaraj.patil@nokia.com>,,,,,False,4.2,False,0.008741391900481102
60,<498AE21C.8070906@piuha.net>,,,,,False,4.2,False,2.1405886242884497e-08
61,<4D35478224365146822AE9E3AD4A26660666C8CC@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,0.00042854463179042585
62,<00b701c9873c$e355fa60$150ca40a@china.huawei.com>,,,,,True,7.9,True,0.9975719448904992
63,<5F09D220B62F79418461A978CA0921BD03269E30@pslexc01.psl.local>,,,,,False,4.2,False,0.0011305957281562684
64,<5F09D220B62F79418461A978CA0921BD03269F1D@pslexc01.psl.local>,,,,,False,4.2,False,0.013802621964397006
65,<498C0399.1030903@nw.neclab.eu>,,,,,False,4.2,False,2.0764968255200202e-07
66,<498BEE75.20003@kddilabs.jp>,,,,,False,4.2,False,1.7126784535952173e-11
67,<C5B0D3A3.2254C%basavaraj.patil@nokia.com>,,,,,False,4.2,False,4.7059594019172426e-15
68,<4D35478224365146822AE9E3AD4A26660666D09D@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,0.0006124082469418381
69,<C5B5E9C3.228E2%basavaraj.patil@nokia.com>,,,,,False,4.2,False,3.278362915003556e-08
70,<076BDB7F-4E02-4EF5-B4EA-0EBA8E9083C9@gmail.com>,,,,,False,4.2,False,1.547280180587473e-05
71,<49900A62.2090709@kddilabs.jp>,,,,,False,4.2,False,7.344099536182577e-05
72,<498FF628.4080101@nw.neclab.eu>,,,,,False,4.2,False,0.00014065418317971655
73,<49900D6A.4090306@piuha.net>,,,,,False,4.2,False,0.00045843623792486855
74,<498FC352.60803@research.telcordia.com>,,,,,False,4.2,False,0.0029669518197792412
75,<4990ADEE.8060506@ericsson.com>,,,,,False,4.2,False,1.7424690668851115e-10
76,<498FF463.2020704@nw.neclab.eu>,,,,,False,4.2,False,1.027331178123167e-06
77,<49917B82.7000006@piuha.net>,,,,,False,4.2,False,4.5178563595458165e-09
78,<499170FC.7030101@research.telcordia.com>,,,,,False,4.2,False,0.004313971555656219
79,<4D35478224365146822AE9E3AD4A266606815C67@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,0.07120730419701599
80,<1234371603.5174.26.camel@localhost>,,,,,False,4.2,True,0.9999993766551644
81,<4992E321.7090701@nw.neclab.eu>,,,,,False,4.2,False,0.00023530780371532826
82,<1234339777.21602.198.camel@localhost>,,,,,False,4.2,True,0.9939267368658078
83,<1234370715.5174.9.camel@localhost>,,,,,False,4.2,False,0.0877242134429107
84,<49929954.4010500@nw.neclab.eu>,,,,,False,4.2,False,0.7216815307863407
85,<4993E37E.4090407@nw.neclab.eu>,,,,,False,4.2,False,0.8902073072072614
86,<853DD750D9C3724FBF2DF7164FCF641C0292167E@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,False,0.00019418983619352015
87,<4D35478224365146822AE9E3AD4A26660690D389@exchtewks3.starentnetworks.com>,,,,,False,4.2,False,0.6074885482924522
88,<122302.78217.qm@web111415.mail.gq1.yahoo.com>,,,,,False,4.2,True,0.9068891643958918
89,<1234809135.5187.77.camel@localhost>,,,,,False,4.2,False,0.03933415902660521
90,<4D35478224365146822AE9E3AD4A26660690DA20@exchtewks3.starentnetworks.com>,,,,,False,4.2,True,0.9797109313807543
91,<499997D1.4010503@nw.neclab.eu>,,,,,False,4.2,True,0.9980738424358305
92,<49994B20.7010702@nw.neclab.eu>,,,,,False,4.2,False,0.12031535098609349
93,<004d01c9908b$33f09af0$420c7c0a@china.huawei.com>,,,,,True,7.9,True,0.9779436382025839
94,<49999ADF.30509@nw.neclab.eu>,,,,,False,4.2,False,0.00010689731532038099
95,<000601c990a2$b5c9e920$0301a8c0@china.huawei.com>,,,,,True,7.9,False,0.1306053526266173
96,<499958D8.50402@kddilabs.jp>,,,,,False,4.2,False,0.00012521957903763667
97,<9B8AFEEF81CE43818736EBC96E924411@ww300.siemens.net>,,,,,False,4.2,False,0.4369233252519016
98,<853DD750D9C3724FBF2DF7164FCF641C02921A6E@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,True,0.9848740243850271
99,<1234810902.5187.92.camel@localhost>,,,,,False,4.2,False,0.0008445382010340538
100,<499A87BC.4040001@nw.neclab.eu>,,,,,False,4.2,True,0.9950131464163832
101,<5F09D220B62F79418461A978CA0921BD032B4EDB@pslexc01.psl.local>,,,,,False,4.2,False,1.4842449008587906e-15
102,<1B4A3FB319DC438DBD3741D385276713@ww300.siemens.net>,,,,,False,4.2,False,2.5450855807867733e-08
103,<499A83D7.805@nw.neclab.eu>,,,,,False,4.2,False,5.948645581388886e-05
104,<5F09D220B62F79418461A978CA0921BD032B4DDD@pslexc01.psl.local>,,,,,False,4.2,False,1.9781999018227738e-07
105,<499A4010.5050906@kddilabs.jp>,,,,,False,4.2,False,2.9634112818300134e-14
106,<499ABD0C.4010006@kddilabs.jp>,,,,,False,4.2,False,0.000848812514930313
107,<499AB687.7070701@nw.neclab.eu>,,,,,False,4.2,False,0.453371024826158
108,<853DD750D9C3724FBF2DF7164FCF641C0295A101@FRVELSMBS14.ad2.ad.alcatel.com>,,,,,False,4.2,False,0.17903094924051127
109,<1234865905.5187.143.camel@localhost>,,,,,False,4.2,False,0.7542753635783779
