imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20130310181245.4575.49587.idtracker@ietfa.amsl.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<C1C530E5-5C58-4349-B4F6-7D6209FA6721@piuha.net>,NO,-102.601,,"No, score=-102.601 tagged_above=-999 required=5 tests=[AWL=-0.002, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-0.7,False,0.49999999999999784
3,<513E11D3.9010808@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
4,<513E5223.5080401@gmail.com>,NO,-1.988,,"No, score=-1.988 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_ORG=0.611]",False,-1.9,False,0.49999999999999784
5,<6ede43b57c5ff8f73bd3eb3d1aee6782@xs4all.nl>,NO,-0.504,,"No, score=-0.504 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_NL=0.55, HOST_EQ_NL=1.545]",False,-2.0,False,0.49999999999999784
6,<107CF371-438D-40C8-B16C-DBE1D8346D72@webhistory.org>,NO,-1.391,,"No, score=-1.391 tagged_above=-999 required=5 tests=[AWL=1.207, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
7,<2F1D9541-67A5-4EB7-BA3C-3C8DABC07606@earthlink.net>,NO,-0.739,,"No, score=-0.739 tagged_above=-999 required=5 tests=[BAYES_20=-0.74, HTML_MESSAGE=0.001]",False,3.9,False,0.49999999999999784
8,<519E00B4.5080600@internet2.edu>,NO,-3.099,,"No, score=-3.099 tagged_above=-999 required=5 tests=[AWL=-0.500, BAYES_00=-2.599]",False,3.5,False,0.49999999999999784
9,<C5D33F76-1014-4945-BAE7-C7E580C1B108@hopcount.ca>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
10,<519E188B.3040406@braga.eti.br>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-2.0,False,0.49999999999999784
11,<6.2.5.6.2.20130523080242.06dd24c8@resistor.net>,NO,-102.549,,"No, score=-102.549 tagged_above=-999 required=5 tests=[AWL=0.050, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.5,False,0.49999999999999784
12,<A8D1A2D1-F2F2-4B40-AD16-CB43A8735362@earthlink.net>,NO,-1.669,,"No, score=-1.669 tagged_above=-999 required=5 tests=[AWL=0.929, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.4,False,0.49999999999999784
13,<A83B43BA-7495-4FD9-B1B1-BA1D6D8192BC@earthlink.net>,NO,-2.134,,"No, score=-2.134 tagged_above=-999 required=5 tests=[AWL=0.465, BAYES_00=-2.599]",False,3.9,False,0.49999999999999784
14,<519E7940.9090401@gmail.com>,NO,-102.702,,"No, score=-102.702 tagged_above=-999 required=5 tests=[AWL=-0.103, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
15,<51A02900.7010507@3kitty.org>,NO,-1.307,,"No, score=-1.307 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MISSING_HEADERS=1.292]",False,-0.8,False,0.49999999999999784
16,<51A1681B.5030206@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
17,<CAKr6gn2j30TXG2G0iocRe7BAcAHRjVvpUqfj3N2-mXY=n-ALjA@mail.gmail.com>,NO,-1.31,,"No, score=-1.31 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, SARE_HTML_USL_OBFU=1.666]",False,1.2,False,0.49999999999999784
18,<51A179A9.2030708@gmail.com>,NO,-102.733,,"No, score=-102.733 tagged_above=-999 required=5 tests=[AWL=-0.134, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
19,<B83B5CF1-925E-448B-B7CC-E31FE4372DD2@webhistory.org>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
20,<4A016A56-4A4B-4A8A-8EF3-048CE24FE86D@stevens.edu>,NO,-4.332,,"No, score=-4.332 tagged_above=-999 required=5 tests=[BAYES_50=0.001, GB_I_LETTER=-2, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, SARE_HTML_USL_OBFU=1.666]",False,-2.0,False,0.5160519647388344
21,<98F6AD70-7882-445C-8DE2-52E38E3719F8@earthlink.net>,NO,-0.932,,"No, score=-0.932 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_HTML_USL_OBFU=1.666]",False,3.9,False,0.49999999999999784
22,<7A795ABA-BA2F-4299-AEF2-B1F18F050B8E@EARTHLINK.NET>,NO,-1.765,,"No, score=-1.765 tagged_above=-999 required=5 tests=[AWL=0.833, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.4,False,0.49999999999999784
23,<51A50B8A.9040708@internet2.edu>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,3.5,False,0.49999999999999784
24,<51A51022.5020902@gmail.com>,NO,-101.3,,"No, score=-101.3 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
25,<CAJLkZP=4qx53UXrqTGG9OrTihoEN+xFOAQSSqiRTh+gw9_umdQ@mail.gmail.com>,NO,-1.977,,"No, score=-1.977 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622]",False,-1.0,False,0.49999999999999784
26,<51A67C68.6050407@ieee.org>,NO,0.001,,"No, score=0.001 tagged_above=-999 required=5 tests=[BAYES_50=0.001]",False,-2.0,False,0.49999999999999784
27,<51A69F9B.2050108@pacbell.net>,NO,-1.11,,"No, score=-1.11 tagged_above=-999 required=5 tests=[BAYES_05=-1.11]",False,-1.9,False,0.49999999999999784
28,<D4308B11-B5C2-482D-9090-EB0DA9EF9587@stevens.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
29,<47C42B44-FDAC-4336-90E3-7448602BF348@earthlink.net>,NO,-1.244,,"No, score=-1.244 tagged_above=-999 required=5 tests=[AWL=-1.245, BAYES_50=0.001]",False,3.9,False,0.49999999999999784
30,<20130906.231300.223479566.yasuhiro@jprs.co.jp>,NO,0.601,,"No, score=0.601 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, CHARSET_FARAWAY_HEADER=3.2]",False,-2.0,False,0.49999999999999784
31,<CAPv4CP9SeouXqXgBpGs6JCLmo71V36O115KaEqwYnXGVdia=Aw@mail.gmail.com>,NO,-102.241,,"No, score=-102.241 tagged_above=-999 required=5 tests=[AWL=0.059, BAYES_00=-2.599, MIME_8BIT_HEADER=0.3, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
32,<02603282-0DDA-4B62-B492-C9DC6224CC91@stevens.edu>,NO,-4.602,,"No, score=-4.602 tagged_above=-999 required=5 tests=[BAYES_50=0.001, GB_I_INVITATION=-2, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
33,<CABWuLVfWWdywKBLfVJvb410B2=uFKtZNS93UX1ZfSNRJbwu03A@mail.gmail.com>,NO,1.323,*,"No, score=1.323 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,0.4,False,0.49999999999999784
34,<CABWuLVdY=ry2dZPgNs1_hdx_JkoP7LSwEF+0DxrJCmmfDYM=dQ@mail.gmail.com>,NO,1.323,*,"No, score=1.323 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,0.4,False,0.49999999999999784
35,<6556602F029841FBB522589C7C4C6473@Toshiba>,NO,0.1,,"No, score=0.1 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.8037307242061429
36,<CABWuLVd4oqSR-ngB7S6ULcJJQVCzrqcHxQY6EfdzPOX2EVqPaQ@mail.gmail.com>,NO,-1.377,,"No, score=-1.377 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
37,<9258928CFA2E4B369370D278F97D20BB@Toshiba>,NO,0.1,,"No, score=0.1 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.8037307242061429
38,<52C43532.8030609@tamu.edu>,NO,-4.738,,"No, score=-4.738 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.538] autolearn=ham",False,-1.0,False,0.49999999999999784
39,<7142F289-9739-40B1-AF35-1C3F7F42575E@ieee.org>,NO,-1.235,,"No, score=-1.235 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_SOFTFAIL=0.665] autolearn=no",False,-2.0,False,0.22737794128918348
40,<6C814C63-0172-4BA8-966C-045ED6EB553A@ieee.org>,NO,1.512,*,"No, score=1.512 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, RCVD_IN_BL_SPAMCOP_NET=1.347, RCVD_IN_DNSWL_NONE=-0.0001, SPF_SOFTFAIL=0.665] autolearn=no",False,-2.0,False,0.07970566712219727
41,<0E1552BD-4A14-4FB9-AC28-0DEC53324DE2@webhistory.org>,NO,0,,"No, score=0 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HTML_MESSAGE=0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
42,<1523300C-0D97-4BEB-B637-5B529F62E955@earthlink.net>,NO,0.249,,"No, score=0.249 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,3.9,False,0.22737794128918348
43,<CAA=duU0pE2MpWicJN_vR6u5Pe2YpOORvLRVNuzZyS+t4FEpqWw@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
44,<alpine.NEB.2.02.1503231841070.16218@t1.m.reedmedia.net>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[BAYES_20=-0.001] autolearn=ham",False,-1.0,False,0.006803068167124697
45,<1F08630B-AF0F-4A74-8D06-DC9839E41022@webhistory.org>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
46,<585D8550-E15D-4CE5-AB43-C1C49DA233E3@earthlink.net>,NO,-0.801,,"No, score=-0.801 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, DKIMWL_WL_MED=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.9,False,0.004088705845905678
47,<CAHZk5WdmJK9Jb0-a+CSk+Gx27bPcHmNn87ThLwB_T2mgPz41vg@mail.gmail.com>,NO,-1.748,,"No, score=-1.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-0.6,False,0.49999999999999784
