imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<E33E01DFD5BEA24B9F3F18671078951F24815EB3@nkgeml501-mbs.china.huawei.com>,NO,-4.202,,"No, score=-4.202 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
2,<E33E01DFD5BEA24B9F3F18671078951F248161A5@nkgeml501-mbs.china.huawei.com>,NO,-4.202,,"No, score=-4.202 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
3,<A6A061BEE5DDC94A9692D9D81AF776DF3A4D1F05@SZXEMA512-MBX.china.huawei.com>,NO,-4.202,,"No, score=-4.202 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.03481168340193519
4,<004b01cef705$082199c0$1864cd40$@chinamobile.com>,NO,1.721,*,"No, score=1.721 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, RELAY_IS_221=2.222, RP_MATCHES_RCVD=-0.001] autolearn=no",False,-2.0,False,0.03481168340193519
5,<E33E01DFD5BEA24B9F3F18671078951F24827A37@nkgeml501-mbs.china.huawei.com>,NO,-2.036,,"No, score=-2.036 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.535, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.03481168340193519
6,<3B0A1BED22CAD649A1B3E97BE5DDD68B5A6D0884@szxema506-mbs.china.huawei.com>,NO,-4.736,,"No, score=-4.736 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.535, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
7,<52DD0664.4020404@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
8,<E4DE949E6CE3E34993A2FF8AE79131F82608EE@DEMUMBX005.nsn-intra.net>,NO,-6.9,,"No, score=-6.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
9,<E33E01DFD5BEA24B9F3F18671078951F2482E117@nkgeml501-mbs.china.huawei.com>,NO,-4.749,,"No, score=-4.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.548, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
10,<77748736-91BD-4207-8C25-B304FB44308B@lucidvision.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.548] autolearn=ham",False,0.2,False,0.05293206580006849
11,<53061E3F.4040200@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
12,<E33E01DFD5BEA24B9F3F18671078951F2482E436@nkgeml501-mbs.china.huawei.com>,NO,-4.749,,"No, score=-4.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.548, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
13,,NO,-2.851,,"No, score=-2.851 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.548, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.49999999999999784
14,<E4DE949E6CE3E34993A2FF8AE79131F8290080@DEMUMBX005.nsn-intra.net>,NO,-3.5,,"No, score=-3.5 tagged_above=-999 required=5 tests=[BAYES_60=1.5, RCVD_IN_DNSWL_HI=-5] autolearn=no",False,0.0,False,0.49999999999999784
15,<20140223164146.GA98040@elstar.local>,NO,3.503,***,"No, score=3.503 tagged_above=-999 required=5 tests=[BAYES_99=3.5, BAYES_999=0.2, HELO_EQ_DE=0.35, RP_MATCHES_RCVD=-0.547] autolearn=no",False,-1.0,False,0.49999999999999784
16,<E4DE949E6CE3E34993A2FF8AE79131F8290C3B@DEMUMBX005.nsn-intra.net>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
17,<FA1A9BC2-7FB3-4F72-A599-DA6DBEF3D17F@lucidvision.com>,NO,0.253,,"No, score=0.253 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,0.2,False,0.49999999999999784
18,<E4DE949E6CE3E34993A2FF8AE79131F829192C@DEMUMBX005.nsn-intra.net>,NO,-6.899,,"No, score=-6.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
19,<530B7060.8000406@joelhalpern.com>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
20,<6A4705EB-6A35-4671-BC0B-F7640A3158E5@tail-f.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
21,<E4DE949E6CE3E34993A2FF8AE79131F8291A9C@DEMUMBX005.nsn-intra.net>,NO,-6.9,,"No, score=-6.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
22,<B78E9C7B-872F-45B1-AB3B-931D62F73AAD@lucidvision.com>,NO,-2.446,,"No, score=-2.446 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,0.2,False,0.49999999999999784
23,<D4AD4A14-7F85-4859-8878-9F68C96D9D46@lucidvision.com>,NO,-2.447,,"No, score=-2.447 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,0.2,False,0.49999999999999784
24,<D57A44D1-2798-4886-A92E-3AB022CAF9A9@tail-f.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
25,<3A9432A7-AEFE-4B33-840A-50CAA375BF06@tail-f.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
26,<42C9BE1C-E898-4D39-86FC-2B1005703C73@tail-f.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
27,<E33E01DFD5BEA24B9F3F18671078951F650ACB77@nkgeml501-mbs.china.huawei.com>,NO,-4.748,,"No, score=-4.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
28,<53124D47.1010703@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
29,<E33E01DFD5BEA24B9F3F18671078951F650ACB9B@nkgeml501-mbs.china.huawei.com>,NO,-4.748,,"No, score=-4.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
30,<53125204.3070806@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
31,<5312606C.4000206@cisco.com>,NO,-10.048,,"No, score=-10.048 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham",False,-1.9,False,0.49999999999999784
32,,NO,-4.749,,"No, score=-4.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
33,<E33E01DFD5BEA24B9F3F18671078951F650ACC7B@nkgeml501-mbs.china.huawei.com>,NO,-4.748,,"No, score=-4.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.49999999999999784
34,,NO,-3.349,,"No, score=-3.349 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
35,<E4DE949E6CE3E34993A2FF8AE79131F829C722@DEMUMBX005.nsn-intra.net>,NO,-6.9,,"No, score=-6.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
36,<E33E01DFD5BEA24B9F3F18671078951F650B0053@nkgeml501-mbs.china.huawei.com>,NO,-4.748,,"No, score=-4.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
37,<E4DE949E6CE3E34993A2FF8AE79131F82A23F7@DEMUMBX005.nsn-intra.net>,NO,-6.9,,"No, score=-6.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_HI=-5] autolearn=ham",False,-2.0,False,0.49999999999999784
38,<53187115.20005@cnit.it>,NO,0.645,,"No, score=0.645 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, SPF_SOFTFAIL=0.665] autolearn=no",False,-2.0,False,0.49999999999999784
39,<E33E01DFD5BEA24B9F3F18671078951F650B03A9@nkgeml501-mbs.china.huawei.com>,NO,-4.748,,"No, score=-4.748 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
40,<E33E01DFD5BEA24B9F3F18671078951F650E4BD7@nkgeml501-mbs.china.huawei.com>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
41,<E33E01DFD5BEA24B9F3F18671078951F650E54DA@nkgeml501-mbs.china.huawei.com>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
42,,NO,-4.853,,"No, score=-4.853 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.49999999999999784
43,<E33E01DFD5BEA24B9F3F18671078951F650E5541@nkgeml501-mbs.china.huawei.com>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.49999999999999784
44,<FF1A9612A94D5C4A81ED7DE1039AB80F4F475E49@EXMBX23.ad.utwente.nl>,NO,0.1,,"No, score=0.1 tagged_above=-999 required=5 tests=[BAYES_50=0.8,  RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,3.8,False,0.49999999999999784
45,<538335C0.7090401@cnit.it>,NO,0.645,,"No, score=0.645 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, SPF_SOFTFAIL=0.665] autolearn=no",False,-2.0,False,0.49999999999999784
46,<E33E01DFD5BEA24B9F3F18671078951F650E5AFB@nkgeml501-mbs.china.huawei.com>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
47,<E33E01DFD5BEA24B9F3F18671078951F650E5B15@nkgeml501-mbs.china.huawei.com>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
48,<E33E01DFD5BEA24B9F3F18671078951F650E5B35@nkgeml501-mbs.china.huawei.com>,NO,-3.546,,"No, score=-3.546 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001, TRACKER_ID=1.306] autolearn=ham",False,-2.0,False,0.006803068167124697
