imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<C7634EB63EFD984A978DFB46EA5174F2C005006085@HQ1-EXCH01.corp.brocade.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.669270692071739
2,<C7634EB63EFD984A978DFB46EA5174F2C00500618D@HQ1-EXCH01.corp.brocade.com>,NO,-1.471,,"No, score=-1.471 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, MIME_HTML_MOSTLY=0.428, SPF_PASS=-0.001, TVD_SPACE_RATIO=0.001] autolearn=ham",False,0.3,False,0.06802176027741377
3,<50cee4a5544643bca68758bb7d29f2ee@BY2PR01MB380.prod.exchangelabs.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.8,False,0.49999999999999784
4,<98d9f5258f5647a6bf96e60132584088@exrad6.ad.rad.co.il>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_PASS=-0.001, UNPARSEABLE_RELAY=0.001] autolearn=ham",False,-2.0,False,0.001299156153328721
5,<9D9F4F29-B00A-4BF0-ACF7-4B2C2ECA174F@etri.re.kr>,NO,-96.601,,"No, score=-96.601 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, CHARSET_FARAWAY_HEADER=3.2, HTML_MESSAGE=0.001, MIME_8BIT_HEADER=0.3, MIME_CHARSET_FARAWAY=2.45, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001, USER_IN_WHITELIST=-100] autolearn=ham",False,0.3,False,0.49999999999999784
6,<C9B5F12337F6F841B35C404CF0554ACB5FF4B094@SZXEMA509-MBS.china.huawei.com>,NO,-3.251,,"No, score=-3.251 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.006803068167124697
7,<55409EC1-CC55-4267-8214-7861CFAEC6A3@netapp.com>,NO,-6.887,,"No, score=-6.887 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_HI=-5, RP_MATCHES_RCVD=-0.651, SPF_HELO_PASS=-0.001, SPF_SOFTFAIL=0.665] autolearn=ham",False,-2.0,False,0.001299156153328721
8,<CF50ADA9BA4A474C8983D1E915E2FBE907FA7468@GAALPA1MSGUSRAH.ITServices.sbc.com>,NO,-2.951,,"No, score=-2.951 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,2.6,False,0.15960297761042466
9,<F34F73D3-911B-4494-A7EB-6DCEC14430C6@telefonica.com>,NO,0.159,,"No, score=0.159 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,-2.0,False,0.006803068167124697
10,<CF50ADA9BA4A474C8983D1E915E2FBE907FA74C6@GAALPA1MSGUSRAH.ITServices.sbc.com>,NO,-4.84,,"No, score=-4.84 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,0.3,False,0.15960297761042466
11,<006b01cfa11c$cc93d3b0$65bb7b10$@rozanak.com>,NO,-2.54,,"No, score=-2.54 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.651, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,-2.0,True,0.9997566589364524
12,<007001cfa11d$54986230$fdc92690$@rozanak.com>,NO,-2.55,,"No, score=-2.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<CF50ADA9BA4A474C8983D1E915E2FBE907FA751C@GAALPA1MSGUSRAH.ITServices.sbc.com>,NO,-4.84,,"No, score=-4.84 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,0.3,False,0.49999999999999784
14,<C7634EB63EFD984A978DFB46EA5174F2C14FFB96B6@HQ1-EXCH01.corp.brocade.com>,NO,-1.89,,"No, score=-1.89 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,-2.0,True,0.9998797348665412
15,<CF50ADA9BA4A474C8983D1E915E2FBE907FA75E0@GAALPA1MSGUSRAH.ITServices.sbc.com>,NO,-4.84,,"No, score=-4.84 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,0.3,False,0.15960297761042466
16,<A46D9C092EA46F489F135060986AD9FF0F830F25@G5W2718.americas.hpqcorp.net>,NO,-4.84,,"No, score=-4.84 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,0.3,False,0.006803068167124697
17,<C7634EB63EFD984A978DFB46EA5174F2C14FFB96EF@HQ1-EXCH01.corp.brocade.com>,NO,-1.89,,"No, score=-1.89 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,-2.0,True,0.9998797348665412
18,<CAAFAkD9s_cRXCdTn-DwaDJ1JwmGfOZKAEBFsuLBS81hLO36qvA@mail.gmail.com>,NO,-1.978,,"No, score=-1.978 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-0.7] autolearn=unavailable",False,-1.0,False,0.49999999999999784
19,<5B1198B1-1EBF-40D6-BDE7-31A2AD498636@juniper.net>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=unavailable",False,3.8,False,0.49999999999999784
20,<78609102-67A6-4AE3-A27D-E8BB8C697A11@niven-jenkins.co.uk>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.05293206580006849
21,<C7634EB63EFD984A978DFB46EA5174F2C150F524F9@HQ1-EXCH01.corp.brocade.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.27762026472190465
22,<C7634EB63EFD984A978DFB46EA5174F2C150F528A7@HQ1-EXCH01.corp.brocade.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.06802176027741377
23,<C7634EB63EFD984A978DFB46EA5174F2C150F528D1@HQ1-EXCH01.corp.brocade.com>,NO,-3.89,,"No, score=-3.89 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, GB_I_INVITATION=-2, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,-2.0,False,0.669270692071739
24,<38808220F4B7AC4D9EB05DEF5C592FE721CADB3E@G2W2437.americas.hpqcorp.net>,NO,-6.19,,"No, score=-6.19 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, GB_I_INVITATION=-2, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001, T_FILL_THIS_FORM_SHORT=0.01] autolearn=ham",False,0.3,False,0.001299156153328721
