imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9202100412.AA26211@home.merit.edu>,,,,,False,0.0,False,2.4211881691064943e-12
2,<9202101335.AA01229@merit.edu>,,,,,False,-0.0,False,1.5159522380198366e-15
3,<1992.3.6.19.26.57.Gene.Hastings@boole>,,,,,False,0.8,False,3.5427540731067457e-07
4,<9203062103.AA28288@home.merit.edu>,,,,,False,-0.0,False,7.769493513929392e-13
5,<9203242234.AA12553@nisc.jvnc.net>,,,,,False,-0.0,False,3.419125028620765e-13
6,<9203252112.AA19168@r2d2.jvnc.net>,,,,,False,0.0,False,0.005429106321000026
7,<1992.3.26.4.37.6.Gene.Hastings@boole>,,,,,False,0.8,False,0.49999999999999784
8,<Pine.2.15-experimental.9203301037.H7905@linus.cac.washington.edu>,,,,,False,-0.0,False,1.8467152341998407e-06
9,<9203302324.AA27656@nisc.jvnc.net>,,,,,False,0.0,False,1.0231167145636239e-08
10,<9203302337.AA28687@merit.edu>,,,,,False,0.0,False,6.616340680402483e-14
11,<9203302356.AA27894@nisc.jvnc.net>,,,,,False,-0.0,True,0.9904506417980629
12,<92Apr6.084951met_dst.35850@gshegering1.informatik.tu-muenchen.de>,,,,,False,-0.0,True,0.9913073957674019
13,<9204061923.AA19806@home.merit.edu>,,,,,False,0.0,False,6.268162143978782e-11
14,<9204142109.AA00573@nisc.jvnc.net>,,,,,False,0.0,False,3.6794576084755755e-09
15,<1992.4.20.3.46.11.Gene.Hastings@boole>,,,,,False,0.8,False,1.3648818258307894e-12
16,<1992.4.30.14.49.41.Gene.Hastings@boole>,,,,,False,0.8,False,3.8303058248016595e-15
17,<1992.5.20.13.35.13.Gene.Hastings@boole>,,,,,False,0.8,False,2.9010694959275695e-14
18,<1992.6.9.13.10.53.Gene.Hastings@boole>,,,,,False,0.8,False,6.373842836719904e-10
19,<9208142158.AA03229@mailer.psc.edu>,,,,,False,0.0,False,0.018050484884474853
20,<9209161332.AA20870@nisc.jvnc.net>,,,,,False,-0.0,False,3.8170684752667294e-11
21,<Pine.3.05.9209160903.A23690-c100000@linus.cac.washington.edu>,,,,,False,-0.0,False,7.403006136432064e-07
22,<1992.11.9.0.48.4.Gene.Hastings@boole>,,,,,False,0.8,False,2.9099299107846705e-13
23,<9301070429.AA00500@merit.edu>,,,,,False,-0.0,False,1.0677623454320275e-18
24,<9302082344.AA04571@r2d2.jvnc.net>,,,,,False,-0.0,False,9.700894280184939e-10
25,<9302082359.AA03329@merit.edu>,,,,,False,-0.0,False,8.557990436992095e-14
26,<9302100442.AA08928@is.rice.edu>,,,,,False,-0.0,False,2.033950362119028e-14
27,<9302092249.AA07640@pepper.merit.edu>,,,,,False,-0.0,False,3.295818819623209e-14
28,<9302111953.AA02932@sabine.is.rice.edu>,,,,,False,-0.0,False,1.9077426927874883e-11
29,<24psfq$chq@cyberspace.com>,,,,,False,-0.0,True,0.999153085748071
30,<9308171406.AA09422@relay1.UU.NET>,,,,,False,-0.0,False,2.145861381420413e-05
31,<1993.10.25.3.26.39.Gene.Hastings@boole>,,,,,False,0.8,False,1.8949615099767107e-11
32,<1993.11.15.15.26.3.Gene.Hastings@boole>,,,,,False,0.8,False,2.8042273285553434e-13
33,<9311192217.AA18231@mailer.psc.edu>,,,,,False,2.5,False,0.5476769105405007
34,<9403240118.AA25127@mailer.psc.edu>,,,,,False,-0.0,False,3.468195643782447e-07
35,<63940523162636/0006489618PK1EM@mcimail.com>,,,,,False,1.6,False,4.364861342020643e-05
36,<9407222009.AA09477@mailer.psc.edu>,,,,,False,-0.0,False,2.1023377428097657e-09
37,<9408101140.AA06128@mailer.psc.edu>,,,,,False,-0.0,False,1.7920108488711653e-11
38,<199408111659.MAA04104@merit.edu>,,,,,False,0.0,False,6.039331047256454e-11
39,<199408121937.MAA21461@mystic.cerf.net>,,,,,False,-0.0,False,1.2606120524770659e-08
40,<9408122003.AA19788@us.psi.com>,,,,,False,-0.0,False,2.839248618229923e-09
41,<9408131921.AA06785@mailer.psc.edu>,,,,,False,0.0,False,0.49999999999999784
42,<9408160109.AA20860@wawa.ans.net>,,,,,False,-0.0,False,0.49999999999999784
43,<12941013203821/0006489618PK3EM@MCIMAIL.COM>,,,,,False,1.6,False,0.03211600197518689
44,<aadd7831000210048de2@[147.72.21.240]>,,,,,False,-0.0,False,1.5988756153099277e-13
