imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<B4B37A0BBB6A0F43B07F12F1056472D6013BF7E8@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
2,<64E292383724EA4C84A339DAD98C18F799356C@prime.SBS.office>,,0.1 (/),,,False,0.4,False,0.09664973062220814
3,<B4B37A0BBB6A0F43B07F12F1056472D601411E0B@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
4,<B4B37A0BBB6A0F43B07F12F1056472D601473C6D@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,1.3,False,0.006803068167124697
5,<B4B37A0BBB6A0F43B07F12F1056472D6015293E7@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,1.3,False,0.006803068167124697
6,<B4B37A0BBB6A0F43B07F12F1056472D601529717@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,1.3,False,0.006803068167124697
7,<26B8C5D9-8D1F-4BBC-93F6-ACD28399EF78@cisco.com>,,0.0 (/),,,False,-1.9,False,0.07970566712219727
8,<44B50157.2060309@gmx.net>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
9,<B4B37A0BBB6A0F43B07F12F1056472D601529E63@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.15960297761042466
10,<B4B37A0BBB6A0F43B07F12F1056472D60161E64F@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.3731062104301369
11,<F09324DCDD2F5D488EAC603D6B299DC701E6F185@jsrvr8.jaalam.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
12,<B4B37A0BBB6A0F43B07F12F1056472D60161EB5E@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
13,<F09324DCDD2F5D488EAC603D6B299DC701E6F43C@jsrvr8.jaalam.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
14,<B4B37A0BBB6A0F43B07F12F1056472D60161EF7E@xmb-hkg-411.apac.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
