imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<8F242B230AD6474C8E7815DE0B4982D70B99D3D1@EXV1.corp.adtran.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.3,False,0.49999999999999784
2,<C7148FEA-BA90-4BC8-99B7-F4DBAB1986E6@noao.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.49999999999999784
3,<481B18CC.3020308@innovationslab.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.5,False,0.15960297761042466
4,<8F242B230AD6474C8E7815DE0B4982D70B99D3DA@EXV1.corp.adtran.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.3,False,0.03481168340193519
5,<481B2E51.6080807@cisco.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[AWL=0.000,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.49999999999999784
6,<481B3357.1050207@ntp.isc.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.16528121032310528
7,<CB45EB047BD43041BF1F4CC7D6DB21BFD759FC@sjmail2.symmetricom.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.669270692071739
8,<CB45EB047BD43041BF1F4CC7D6DB21BFD759FE@sjmail2.symmetricom.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.669270692071739
9,<E1Jrxe7-0005q4-3s@stasis.kostecke.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.0,False,0.49999999999999784
10,<001701c8ac6d$103cec60$0a01a8c0@tsg1>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.006803068167124697
11,<CB45EB047BD43041BF1F4CC7D6DB21BFD75A4B@sjmail2.symmetricom.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.669270692071739
12,<CB45EB047BD43041BF1F4CC7D6DB21BFD75A68@sjmail2.symmetricom.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.669270692071739
13,<481B4370.4040308@udel.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.16528121032310528
14,<005d01c8ac75$99b2c480$0a01a8c0@tsg1>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.49999999999999784
15,<20080503074405.9CA4239E74@mail1.ntp.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.023392728452421806
16,<481C9314.4030604@udel.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.16528121032310528
17,<20080503165037.B83A539E79@mail1.ntp.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.15960297761042466
18,<481CED27.2000409@ntp.isc.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.3601011493542564
19,<481CEDAA.7070709@ntp.isc.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.09655431956683733
20,<481D471F.6010607@udel.edu>,NO,-5.953,,"No, score=-5.953 tagged_above=-999 required=5 tests=[AWL=-0.646, BAYES_00=-2.599, MISSING_HEADERS=1.292, RCVD_IN_DNSWL_MED=-4]",False,1.7,False,0.49999999999999784
21,<00d001c8adf6$80feee50$6501a8c0@tsg1>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.006178575630935582
22,<481DE729.30504@udel.edu>,NO,-5.792,,"No, score=-5.792 tagged_above=-999 required=5 tests=[AWL=-0.484, BAYES_00=-2.599, MISSING_HEADERS=1.292, RCVD_IN_DNSWL_MED=-4]",False,1.7,False,0.49999999999999784
23,<20080504175705.C6EC739E72@mail1.ntp.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.023392728452421806
24,<481DFAC0.6000307@udel.edu>,NO,-6.341,,"No, score=-6.341 tagged_above=-999 required=5 tests=[AWL=0.258,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.49999999999999784
25,<481E02B7.40500@udel.edu>,NO,-6.384,,"No, score=-6.384 tagged_above=-999 required=5 tests=[AWL=0.215,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.5,False,0.49999999999999784
26,<00f201c8ae18$a00e77d0$6501a8c0@tsg1>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.03481168340193519
27,<20080504191737.9709B39E5A@mail1.ntp.org>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.15960297761042466
