imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20121011202921.11098.33827.idtracker@ietfa.amsl.com>,NO,-102.642,,"No, score=-102.642 tagged_above=-999 required=5 tests=[AWL=-0.043, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<4E1F6AAD24975D4BA5B16804296739436684BBC4@TK5EX14MBXC284.redmond.corp.microsoft.com>,NO,-3.122,,"No, score=-3.122 tagged_above=-999 required=5 tests=[AWL=-0.524, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.3,False,0.49999999999999784
3,<4E1F6AAD24975D4BA5B16804296739436684D196@TK5EX14MBXC284.redmond.corp.microsoft.com>,NO,-3.098,,"No, score=-3.098 tagged_above=-999 required=5 tests=[AWL=-0.500, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.3,False,0.49999999999999784
4,<4E1F6AAD24975D4BA5B168042967394366914BA4@TK5EX14MBXC283.redmond.corp.microsoft.com>,NO,-3.884,,"No, score=-3.884 tagged_above=-999 required=5 tests=[AWL=-0.286, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.3,False,0.49999999999999784
5,<20121221110426.258520@gmx.net>,NO,-101.98,,"No, score=-101.98 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_SORBS_WEB=0.619, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<20121221111005.258530@gmx.net>,NO,-101.98,,"No, score=-101.98 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_SORBS_WEB=0.619, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<4E1F6AAD24975D4BA5B16804296739436B734AA3@TK5EX14MBXC284.redmond.corp.microsoft.com>,NO,-5.22,,"No, score=-5.22 tagged_above=-999 required=5 tests=[AWL=1.378, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,0.3,False,0.49999999999999784
8,<4E1F6AAD24975D4BA5B16804296739436B7821D4@TK5EX14MBXC283.redmond.corp.microsoft.com>,NO,-3.448,,"No, score=-3.448 tagged_above=-999 required=5 tests=[AWL=0.150, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.3,False,0.49999999999999784
9,<5217461B.4010405@gmx.net>,NO,-102.682,,"No, score=-102.682 tagged_above=-999 required=5 tests=[AWL=-0.083, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<4E1F6AAD24975D4BA5B16804296739439ADE7E36@TK5EX14MBXC293.redmond.corp.microsoft.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
11,<4E1F6AAD24975D4BA5B16804296739439AE1F276@TK5EX14MBXC293.redmond.corp.microsoft.com>,NO,-2.601,,"No, score=-2.601 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
12,<53F7026F.60200@gmx.net>,NO,-2.568,,"No, score=-2.568 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.668, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<53F70360.9060306@gmx.net>,NO,-2.568,,"No, score=-2.568 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.668, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
14,<BY2PR03MB4424406C33CD644C5B95956F5110@BY2PR03MB442.namprd03.prod.outlook.com>,NO,-2.001,,"No, score=-2.001 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.4,False,0.49999999999999784
15,<56544B70.2090502@gmx.net>,NO,-1.785,,"No, score=-1.785 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
16,<BY2PR03MB442D8119F0D936B3B18A335F5050@BY2PR03MB442.namprd03.prod.outlook.com>,NO,-2.002,,"No, score=-2.002 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.4,False,0.49999999999999784
17,<5656395F.5050509@gmx.net>,NO,-3.185,,"No, score=-3.185 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
18,<565752FC.3060007@gmx.net>,NO,-3.185,,"No, score=-3.185 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
19,<255B9BB34FB7D647A506DC292726F6E13BFED73FC6@WSMSG3153V.srv.dir.telstra.com>,NO,-2.619,,"No, score=-2.619 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_MSPIKE_H3=-0.01, RCVD_IN_MSPIKE_WL=-0.01] autolearn=ham autolearn_force=no",False,4.8,False,0.49999999999999784
20,<001a113536b2836fe8053daa9475@google.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,0.1,False,0.49999999999999784
21,<CAMPbGmguVObYrbV5urxQV=tVFg1srfo3G8m1sQqDF1r+1XXuUg@mail.gmail.com>,NO,-2.699,,"No, score=-2.699 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
22,<CAMPbGmg4PAyiq9Doci72aqjBQpC2hK3CF1yEwi61pfU9zdmpsg@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
23,<CAMPbGmh0t+2o4_fD+3shyUVsOw7=4NUXrcg1CypA_bhfHbcjBg@mail.gmail.com>,NO,-2.699,,"No, score=-2.699 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
24,<CAMPbGmgxLrXGRgO056MvFU2y4vxP5gq6-RMUWtKKGu9C0vvf1Q@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
