imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20110317010417.67F983A69CD@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<CD18C9C4-C1A3-4D3E-B734-5DC9844FC914@softarmor.com>,NO,-103.659,,"No, score=-103.659 tagged_above=-999 required=5 tests=[AWL=-0.060, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<4D838C8E.1080007@acm.org>,NO,-102.153,,"No, score=-102.153 tagged_above=-999 required=5 tests=[AWL=0.112, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
4,<4D839063.70302@abenaki.wabanaki.net>,NO,-2.488,,"No, score=-2.488 tagged_above=-999 required=5 tests=[AWL=0.111, BAYES_00=-2.599]",False,3.3,False,0.49999999999999784
5,<AANLkTim_EmFWszP0qN7R11Y2kjYqADui1BYm-v=EDekZ@mail.gmail.com>,NO,-102.976,,"No, score=-102.976 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.03481168340193519
6,<832F218C-F5B0-450E-8793-8C13A167CB39@gmail.com>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
7,<4D83A0DC.80708@abenaki.wabanaki.net>,NO,-2.497,,"No, score=-2.497 tagged_above=-999 required=5 tests=[AWL=0.102, BAYES_00=-2.599]",False,3.3,False,0.49999999999999784
8,<8B8F35A7-EC5F-49BD-966D-1211A5F0CFF5@gmx.net>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<97403FBC-8530-4E7F-A441-3A73516C33D5@softarmor.com>,NO,-103.355,,"No, score=-103.355 tagged_above=-999 required=5 tests=[AWL=-0.356, BAYES_00=-2.599, J_CHICKENPOX_31=0.6, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<4D83EE8A.9060208@abenaki.wabanaki.net>,NO,-2.205,,"No, score=-2.205 tagged_above=-999 required=5 tests=[AWL=-0.206, BAYES_00=-2.599, J_CHICKENPOX_31=0.6]",False,3.3,False,0.49999999999999784
11,<72387669-0E58-4F61-9B88-23107ADB3A31@softarmor.com>,NO,-102.683,,"No, score=-102.683 tagged_above=-999 required=5 tests=[AWL=-0.943, BAYES_20=-0.74, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
12,<4C32EC9B-E2F6-4352-BE65-29E7D5CEEEA3@softarmor.com>,NO,-103.563,,"No, score=-103.563 tagged_above=-999 required=5 tests=[AWL=0.036, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<22F6318E46E26B498ABC828879B08D4F0E2BF3@TK5EX14MBXW653.wingroup.windeploy.ntdev.microsoft.com>,NO,-10.576,,"No, score=-10.576 tagged_above=-999 required=5 tests=[AWL=0.023, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,0.3,False,0.49999999999999784
14,<4D88D1F2.1050909@acm.org>,NO,-102.16,,"No, score=-102.16 tagged_above=-999 required=5 tests=[AWL=0.105, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
15,<09677888-DF8F-4E55-91AC-BFDA47B0B6BF@softarmor.com>,NO,-103.566,,"No, score=-103.566 tagged_above=-999 required=5 tests=[AWL=0.032, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
16,<22F6318E46E26B498ABC828879B08D4F0E331B@TK5EX14MBXW653.wingroup.windeploy.ntdev.microsoft.com>,NO,-10.577,,"No, score=-10.577 tagged_above=-999 required=5 tests=[AWL=0.021, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,0.3,False,0.49999999999999784
17,<F33FAFFF-1FE5-46F5-8C8D-D26F7C221C7C@softarmor.com>,NO,-103.567,,"No, score=-103.567 tagged_above=-999 required=5 tests=[AWL=0.031, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
18,<4D8B8DB2.4060005@acm.org>,NO,-101.616,,"No, score=-101.616 tagged_above=-999 required=5 tests=[AWL=-0.434, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, URIBL_RHS_DOB=1.083, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
19,<F009AB37-EEB3-4208-AC8C-AE7CA229D009@softarmor.com>,NO,-103.027,,"No, score=-103.027 tagged_above=-999 required=5 tests=[AWL=-0.512, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, URIBL_RHS_DOB=1.083, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
20,<E24427CE-4FD8-49FA-8667-9037D9FDA0C5@softarmor.com>,NO,-103.006,,"No, score=-103.006 tagged_above=-999 required=5 tests=[AWL=-0.490, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, URIBL_RHS_DOB=1.083, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
21,<F87B50F2-8121-4919-887F-87B83C104F35@gmx.net>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
22,<AANLkTi=nvw3HmsxvxMqM-=_Kcpki_drxeSKC=zBtzz15@mail.gmail.com>,NO,-102.976,,"No, score=-102.976 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
23,<4D9067BD.3090807@acm.org>,NO,-101.923,,"No, score=-101.923 tagged_above=-999 required=5 tests=[AWL=-0.110, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, MIME_8BIT_HEADER=0.3, SARE_SUB_ENC_UTF8=0.152, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
24,<AANLkTimLkOpjpwzWxmQ3Q_tkE-+=h4TGm3tLQQE-FAA9@mail.gmail.com>,NO,-102.826,,"No, score=-102.826 tagged_above=-999 required=5 tests=[AWL=-0.150, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
25,<2C0BE422-A590-4EF0-AEB0-EAE7CF9F5163@gmail.com>,NO,-2.202,,"No, score=-2.202 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
26,<AANLkTi=84x3E=yRW6250oosm--048uTAtEAg-Ku_rf6N@mail.gmail.com>,NO,-102.946,,"No, score=-102.946 tagged_above=-999 required=5 tests=[AWL=0.030, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
27,<AANLkTi=D_sUJzHyDx+12x2c742vN7JAj14XxVj=xFS7Z@mail.gmail.com>,NO,-102.651,,"No, score=-102.651 tagged_above=-999 required=5 tests=[AWL=-0.275, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, J_CHICKENPOX_72=0.6, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
28,<4D936D36.5020709@KingsMountain.com>,NO,-100.359,,"No, score=-100.359 tagged_above=-999 required=5 tests=[AWL=1.306, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, J_CHICKENPOX_72=0.6, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
29,<BA8D6F6E-C927-480B-95FB-211B26F377DC@softarmor.com>,NO,-103.228,,"No, score=-103.228 tagged_above=-999 required=5 tests=[AWL=-0.229, BAYES_00=-2.599, J_CHICKENPOX_72=0.6, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
30,<5512E271-208F-4F4B-BD25-DD5DA0CDB284@softarmor.com>,NO,-103.349,,"No, score=-103.349 tagged_above=-999 required=5 tests=[AWL=0.249, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
