imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<3.0.2.32.19970722093924.0097d770@mail.pgp.com>,,,,,False,1.3,False,1.0006626376477709e-06
2,<v0311070aaffc07472ddf@[158.98.7.94]>,,,,,False,0.2,False,0.0011602260357755382
3,<3.0.2.32.19970723124214.00aa1210@mail.pgp.com>,,,,,False,1.3,False,8.339898339187302e-06
4,<199707231950.VAA10789@tiger.cert.dfn.de>,,,,,False,2.0,True,0.9654066716274237
5,<v0311070caffc1680c2d5@[158.98.7.94]>,,,,,False,0.2,False,0.8391010702195761
6,<v03102801affc26f9a959@[10.0.2.15]>,,,,,False,-1.0,False,0.003165789349018202
7,<v03102802affc27ede2ba@[10.0.2.15]>,,,,,False,-1.0,False,0.01239126976362463
8,<199707232205.RAA28465@mailhub.amaranth.com>,,,,,False,0.0,False,0.7033273553436793
9,<3.0.2.32.19970723152413.00b225b0@mail.pgp.com>,,,,,False,1.3,False,1.3200530650200378e-05
10,<01BC9948.BB823920@ts900-12008.singnet.com.sg>,,,,,False,-0.0,False,1.1136181249784259e-06
11,<19970731000235.11138.qmail@peace.netris.org>,,,,,False,0.0,False,0.5247436434332635
12,<Pine.LNX.3.95.970731013356.20328A-100000@foo.hhhh.org>,,,,,False,0.8,False,4.8133079783281397e-08
13,<199708030149.DAA16496@ns.adis.at>,,,,,False,0.3,False,0.522237809964356
14,<9708060733.AA04453@h2np.suginami.tokyo.jp>,,,,,False,0.8,False,4.6122526272776925e-07
15,<6413.wsimpson@greendragon.com>,,,,,False,0.0,False,0.29179043449180864
16,<970806142537.20202033@hobbes.orl.lmco.com>,,,,,False,0.9,False,0.49999999999999784
17,<199708061836.LAA03384@fusebox.pgp.com>,,,,,False,0.3,False,0.11757784853588259
18,<87089371903111@cs26.cs.auckland.ac.nz>,,,,,False,2.5,True,0.9991161255641476
19,<6414.wsimpson@greendragon.com>,,,,,False,0.0,False,2.3921545961059433e-05
20,<v03102800b00fe019d193@[194.0.130.21]>,,,,,False,0.6,False,0.23112419978688808
21,<v03102802b00fe464d3e4@[194.0.130.21]>,,,,,False,0.6,False,0.0002217319579049702
22,<3.0.2.32.19970807183309.0069cb34@popd.netcruiser>,,,,,False,0.0,False,0.015107267342125922
23,<199708080248.WAA08984@homeport.org>,,,,,False,0.0,False,0.29179043449180864
24,<v03102809b01044505b8f@[207.67.207.179]>,,,,,False,1.1,False,0.0015765679636320893
25,<5lafite3q8.fsf@assaris.sics.se>,,,,,False,-0.0,False,0.0005172969230180758
26,<199708080739.JAA29738@bofh.cdg.openlinksw.com>,,,,,False,-1.0,False,0.7989071419359132
27,<CMM.0.88.871037979.bygg@bar.pilsnet.sunet.se>,,,,,False,-0.0,False,1.221303473642745e-06
28,<1.5.4.16.19970808103739.253fb452@pop.rz.tu-clausthal.de>,,,,,False,0.0,False,0.00016573785227186788
29,<199708081216.NAA00311@server.test.net>,,,,,False,0.0,False,0.49999999999999784
30,<199708081257.IAA02598@sulphur.osf.org>,,,,,False,-0.0,False,1.7428371813082925e-08
31,<5liuxgdcf0.fsf@assaris.sics.se>,,,,,False,-0.0,False,0.0016700161057284777
32,<97Aug8.095547edt.32258@brickwall.ceddec.com>,,,,,False,-0.0,False,0.0012117472240909125
33,<199708081554.IAA28689@nova.botz.org>,,,,,False,-1.0,False,1.502292989871916e-05
34,<sjmzpqslcvm.fsf@charon.MIT.EDU>,,,,,False,-0.0,False,0.026444087418126393
35,<970808152219.20203308@hobbes.orl.lmco.com>,,,,,False,0.9,False,0.49999999999999784
36,<97Aug8.155336edt.32258@brickwall.ceddec.com>,,,,,False,-0.0,False,0.5247436434332635
37,<199708081921.UAA01720@server.test.net>,,,,,False,0.0,True,0.9102939457039536
38,<87110925527324@cs26.cs.auckland.ac.nz>,,,,,False,2.5,False,0.49999999999999784
39,<v03102804b010d4c779dd@[194.0.130.16]>,,,,,False,1.4,False,0.0007372504886876725
40,<v03102803b010d30b1159@[194.0.130.16]>,,,,,False,1.4,False,5.817445773403183e-06
41,<3.0.2.32.19970809075908.00688c34@popd.netcruiser>,,,,,False,0.0,False,0.0653684552353823
42,<199708091220.NAA00229@server.test.net>,,,,,False,-0.0,True,0.9947312631565617
43,<Pine.A32.3.91.970809180934.20540B-100000@risky.bit3.com>,,,,,False,0.8,False,0.5247436434332635
44,<6428.wsimpson@greendragon.com>,,,,,False,0.8,False,4.647344598164067e-06
45,<Pine.3.89.9708102227.A474-0100000@marui>,,,,,False,0.0,True,0.9988144261342633
46,<3.0.2.32.19970811101249.006a69d4@q9f47.dmst02.telekom.de>,,,,,False,0.0,False,1.4933033257062333e-06
47,<3.0.1.32.19970811104139.008132f0@pop3.pn.com>,,,,,False,2.4,False,7.742208018688516e-05
48,<970811083807.20204005@hobbes.orl.lmco.com>,,,,,False,0.9,False,0.49999999999999784
49,<97Aug11.094900edt.32261@brickwall.ceddec.com>,,,,,False,-0.0,False,0.0003064665038770537
50,<1.5.4.16.19970811135241.32efdc48@pop.rz.tu-clausthal.de>,,,,,False,0.0,False,0.1343045093248685
51,<97Aug11.095448edt.32260@brickwall.ceddec.com>,,,,,False,-0.0,False,0.0010805139831815721
52,<97Aug11.100114edt.32261@brickwall.ceddec.com>,,,,,False,-0.0,False,5.592449601687155e-05
53,<33EEDB20.66DEC874@geocities.com>,,,,,False,2.1,False,3.6493313481679714e-06
54,<97Aug11.105134edt.32259@brickwall.ceddec.com>,,,,,False,-0.0,False,0.00019955522543304012
55,<97Aug11.105656edt.32258@brickwall.ceddec.com>,,,,,False,-0.0,False,0.02878405768811745
56,<199708112151.OAA00345@cygnus.com>,,,,,False,0.9,False,0.06382511203658424
57,<199708121440.HAA13812@mail.proper.com>,,,,,False,0.7,False,0.024011245344488032
58,<97Aug12.144004edt.32258@brickwall.ceddec.com>,,,,,False,-0.0,False,0.14553917792724141
59,<3.0.1.32.19970813095148.0080cc80@pop3.pn.com>,,,,,False,2.4,False,0.0007372504886876725
60,<97Aug13.135241edt.32263@brickwall.ceddec.com>,,,,,False,-0.0,False,0.010821665813132895
61,<970821080425.ZM29973@boeing.rutgers.edu>,,,,,False,0.8,False,0.00010561141729315129
