imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<749623340.2096331.1242284638277.JavaMail.app@ech3-cdn11.prod>,NO,-10.898,,"No, score=-10.898 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_BSP_TRUSTED=-4.3, RCVD_IN_DNSWL_MED=-4]",False,3.2,False,0.001299156153328721
2,<20140418082506.2560.74593.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,True,12.0,False,9.206095125169814e-13
3,<20140418082507.2560.70342.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,False,2.6,False,0.6140204118267555
7,<20140418082507.2560.3895.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,True,13.9,False,3.366784199210405e-12
15,<20140418082507.2560.7427.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,True,20.2,False,9.429356378682242e-07
20,<20140418082508.2560.63700.ARCHIVE@ietfa.amsl.com>,,2.8 (++),,,True,5.4,False,0.49999999999999784
21,<20140418082508.2560.4277.ARCHIVE@ietfa.amsl.com>,,2.8 (++),,,True,5.4,False,0.49999999999999784
22,<20140418082508.2560.75882.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,7.6,False,0.03094336628603545
25,<20140418082508.2560.35818.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,13.3,False,0.014610167152834988
27,<20140418082508.2560.77196.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,17.1,True,0.9999941760843877
28,<20140418082508.2560.12499.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,True,7.2,True,0.9716844142446645
29,<20140418082508.2560.59214.ARCHIVE@ietfa.amsl.com>,,3.9 (+++),,,True,9.3,False,6.555047963964342e-06
31,<20140418082508.2560.87431.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,18.9,False,0.49999999999999784
33,<20140418082508.2560.62358.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,True,13.3,False,7.464956882999733e-09
34,<20140418082508.2560.62550.ARCHIVE@ietfa.amsl.com>,,0.4 (/),,,True,5.1,False,1.4041282134832516e-06
35,<20140418082508.2560.53654.ARCHIVE@ietfa.amsl.com>,,-1.7 (-),,,True,10.5,False,1.4041282134832516e-06
36,<20140418082508.2560.68950.ARCHIVE@ietfa.amsl.com>,,4.5 (++++),,,True,7.5,False,3.4219789569107514e-07
37,<20140418082508.2560.32899.ARCHIVE@ietfa.amsl.com>,,1.8 (+),,,True,5.0,False,0.06979397192170542
38,<20140418082509.2560.42283.ARCHIVE@ietfa.amsl.com>,,2.6 (++),,,True,17.0,False,0.16156650501341424
40,<20140418082509.2560.46707.ARCHIVE@ietfa.amsl.com>,,1.9 (+),,,True,7.7,False,5.668884632218329e-05
41,<20140418082509.2560.45574.ARCHIVE@ietfa.amsl.com>,,4.9 (++++),,,True,18.7,True,0.9909165861808853
42,<20140418082509.2560.28149.ARCHIVE@ietfa.amsl.com>,,3.7 (+++),,,True,7.8,True,0.98434183837519
43,<20140418082509.2560.91033.ARCHIVE@ietfa.amsl.com>,,1.9 (+),,,True,6.6,False,0.8580700548084533
44,<20140418082509.2560.16825.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,True,7.4,False,0.7541295382748107
45,<20140418082509.2560.40596.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,False,4.4,False,0.0837739877531409
46,<20140418082509.2560.44727.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,7.0,False,0.007651572499032295
47,<20140418082509.2560.71291.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,"No, hits=-0.7 required=5.0",True,11.2,True,0.9997274032357808
49,<20140418082509.2560.42267.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,3.8,False,4.8414343667942893e-05
50,<20140418082509.2560.65380.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,True,6.1,False,8.884574791790305e-05
51,<20140418082509.2560.76822.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,True,6.5,False,2.8330350802839333e-16
54,<20140418082509.2560.44059.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,False,1.3,False,3.5111019921455554e-05
55,<20140418082509.2560.68383.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,True,8.0,False,5.4932762779643036e-08
57,<20140418082510.2560.39396.ARCHIVE@ietfa.amsl.com>,,3.3 (+++),,,False,1.5,False,3.099575489350273e-08
60,<20140418082510.2560.6543.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,False,3.9,False,3.6245033115123405e-05
67,<20140418082511.2560.78404.ARCHIVE@ietfa.amsl.com>,,3.2 (+++),,,False,3.9,False,0.0004055645660722293
68,<20140418082511.2560.43221.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,True,7.9,False,0.007093390131591743
69,<20140418082511.2560.26115.ARCHIVE@ietfa.amsl.com>,,3.2 (+++),,,True,5.4,False,0.4148319751356824
70,<20140418082511.2560.89310.ARCHIVE@ietfa.amsl.com>,,4.5 (++++),,,True,11.2,False,0.006803068167124697
74,<20140418082511.2560.38634.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,False,2.9,False,0.003011353741244979
