imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<E1GV2x1-0000Uq-Ld@megatron.ietf.org>,,4.9 (++++),,,True,12.0,False,0.0007371904666585022
2,<452E7060.6090808@dante.org.uk>,,0.0 (/),,,False,-0.8,False,0.018787007454676746
3,<AAB4B3D3CF0F454F98272CBE187FDE2F0B76F4ED@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
4,<AAB4B3D3CF0F454F98272CBE187FDE2F0B7C6B50@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,0.4,False,0.4597309738520134
5,<7D5D48D2CAA3D84C813F5B154F43B1550ADAA3C6@nl0006exch001u.nl.lucent.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
6,<060501c6f203$1700f440$540110ac@your029b8cecfe>,,0.1 (/),,,False,0.3,False,0.15960297761042466
7,<AAB4B3D3CF0F454F98272CBE187FDE2F0B9557AB@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
8,<AAB4B3D3CF0F454F98272CBE187FDE2F0B9557BF@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,0.4,False,0.13912089038711925
9,<AAB4B3D3CF0F454F98272CBE187FDE2F0B95595D@is0004avexu1.global.avaya.com>,,0.2 (/),,,False,-0.6,False,0.13912089038711925
10,<AAB4B3D3CF0F454F98272CBE187FDE2F0B95595E@is0004avexu1.global.avaya.com>,,1.8 (+),,,False,-0.6,False,0.4597309738520134
11,<AAB4B3D3CF0F454F98272CBE187FDE2F0B955968@is0004avexu1.global.avaya.com>,,0.2 (/),,,False,-0.6,False,0.13912089038711925
12,<Pine.LNX.4.10.10610272201050.18884-100000@shell4.bayarea.net>,,0.0 (/),,,False,-1.0,False,0.0030690715499257244
13,<Pine.LNX.4.44.0610300314290.18070-100000@piper.av8.net>,,1.0 (+),,,False,-2.0,False,0.006803068167124697
14,<AAB4B3D3CF0F454F98272CBE187FDE2F0B9BC10E@is0004avexu1.global.avaya.com>,,0.2 (/),,,False,-0.6,False,0.13912089038711925
15,<20061102042315.GD4219@nokia.com>,,0.0 (/),,,False,-1.0,False,0.006803068167124697
16,<20061106005202.GA27452@nokia.com>,,0.0 (/),,,False,-1.0,False,0.006803068167124697
17,<20061106005814.GA27508@nokia.com>,,0.0 (/),,,False,-1.0,False,0.006803068167124697
18,<20061106095400.34090.qmail@web57811.mail.re3.yahoo.com>,,0.1 (/),,,False,0.4,False,0.49999999999999784
19,<7D5D48D2CAA3D84C813F5B154F43B1550AEB7B32@nl0006exch001u.nl.lucent.com>,,0.0 (/),,,False,-1.0,False,0.03481168340193519
20,<Pine.LNX.4.10.10611061731100.22844-100000@shell4.bayarea.net>,,0.0 (/),,,False,-1.0,False,0.011985317440352992
21,<AAB4B3D3CF0F454F98272CBE187FDE2F0BB68B22@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
22,<6B9C4B97B82F924485E26968EB05A6EE0257BB89@xmb-sjc-224.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
23,<AAB4B3D3CF0F454F98272CBE187FDE2F0BB68B25@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
24,<6B9C4B97B82F924485E26968EB05A6EE0257BB96@xmb-sjc-224.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
25,<20061110182825.GD11161@boskop.local>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
26,<6B9C4B97B82F924485E26968EB05A6EE0257BCF2@xmb-sjc-224.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
27,<20061110213550.GB11579@boskop.local>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
28,<6B9C4B97B82F924485E26968EB05A6EE0257BD8D@xmb-sjc-224.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
29,<4554EDE4.6090302@cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
30,<AAB4B3D3CF0F454F98272CBE187FDE2F0BB68CF3@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
31,<20061113.103105.28.1437089@webmail04.lax.untd.com>,,0.0 (/),,,False,2.3,False,0.49999999999999784
32,<20061117.105013.717.1003510@webmail53.lax.untd.com>,,0.0 (/),,,False,2.3,False,0.49999999999999784
33,<AAB4B3D3CF0F454F98272CBE187FDE2F0BC269C6@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
34,<AAB4B3D3CF0F454F98272CBE187FDE2F0BCDF5EB@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
35,<AAB4B3D3CF0F454F98272CBE187FDE2F0BCDFAA7@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
