imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<7cc56a960608061219j31c6e3b5k444d6be480d7724@mail.gmail.com>,,0.0 (/),,,False,0.1,False,0.49999999999999784
2,<7cc56a960608061223n26bfa493ideae69186ac9e9f2@mail.gmail.com>,,0.0 (/),,,False,0.1,False,0.49999999999999784
3,<006c01c6e085$542bb2e0$9fe18380@turion641>,,0.0 (/),,"No, hits=-4.6 required=5.0 tests=AWL,BAYES_00,HTML_MESSAGE  autolearn=ham version=2.64",False,1.3,False,0.49999999999999784
4,<7cc56a960609250848l469dc76em3ce3bca7af13393b@mail.gmail.com>,,0.1 (/),,,False,1.1,False,0.49999999999999784
5,<7cc56a960610090115u7b038ec5r3523a6d6d85f2784@mail.gmail.com>,,0.3 (/),,,False,1.1,False,0.49999999999999784
6,<454963F2.10408@research.telcordia.com>,,0.0 (/),,,False,0.1,False,0.49999999999999784
7,<AAB4B3D3CF0F454F98272CBE187FDE2F0BA139BC@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
8,<AAB4B3D3CF0F454F98272CBE187FDE2F0BA627CE@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
9,<AAB4B3D3CF0F454F98272CBE187FDE2F0BAC603D@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.4597309738520134
10,<AAB4B3D3CF0F454F98272CBE187FDE2F0BAC676B@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
11,<aec953cee810099d33dd65ed0985b83c@manhtho-laptop>,,1.5 (+),,"No, hits=-4.5 required=5.0 tests=AWL,BAYES_00,HTML_MESSAGE, MIME_HTML_ONLY autolearn=no version=2.64",False,1.3,False,0.49999999999999784
12,<036301c70109$0e9a5fc0$0600a8c0@china.huawei.com>,,0.0 (/),,,False,-1.0,False,0.06893698557460663
13,<007701c701d6$2f956ee0$6601a8c0@oemcomputer>,,0.0 (/),,,False,3.9,False,0.03481168340193519
14,<043201c701e0$2509f4a0$0600a8c0@china.huawei.com>,,0.0 (/),,,False,-0.6,False,0.006803068167124697
15,<7D5D48D2CAA3D84C813F5B154F43B1550AEB7B30@nl0006exch001u.nl.lucent.com>,,0.0 (/),,,False,-1.0,False,0.006803068167124697
16,<003501c701e5$73baa9a0$6601a8c0@oemcomputer>,,0.0 (/),,,False,3.9,False,0.03481168340193519
17,<4915F014FDD99049A9C3A8C1B832004F015AB2E3@IMCSRV2.MITRE.ORG>,,0.0 (/),,,False,0.3,False,0.49999999999999784
18,<4F212C41-4DF4-499C-9EC3-31A1F5760F97@jdscons.com>,,0.0 (/),,,False,3.2,False,0.49999999999999784
19,<052901c7020e$36357820$0600a8c0@china.huawei.com>,,0.0 (/),,,False,-0.6,False,0.03481168340193519
20,<AAB4B3D3CF0F454F98272CBE187FDE2F0BAC6AA3@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
21,<AAB4B3D3CF0F454F98272CBE187FDE2F0BAC6AA1@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.042120885279236
22,<003c01c70228$7673dac0$6601a8c0@oemcomputer>,,0.0 (/),,,False,3.9,False,0.15960297761042466
23,<7cc56a960611070848q3f4366aby612bdd8ca4a38466@mail.gmail.com>,,0.0 (/),,,False,0.1,False,0.49999999999999784
24,<7cc56a960611070846x5fdfc2b6mb3514b1b3354566d@mail.gmail.com>,,0.0 (/),,,False,0.1,False,0.49999999999999784
25,<1B8AF39CACF71744BE07006131091BBE432CBD@atnets15na.ww300.siemens.net>,,0.1 (/),,,False,0.3,False,0.49999999999999784
26,<4915F014FDD99049A9C3A8C1B832004F0161DE63@IMCSRV2.MITRE.ORG>,,0.0 (/),,,False,0.3,False,0.570543887991382
27,<AAB4B3D3CF0F454F98272CBE187FDE2F0BB1A11D@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.4597309738520134
28,<05f501c7029e$f2ba9170$0600a8c0@china.huawei.com>,,0.0 (/),,,False,-0.6,False,0.03481168340193519
29,<AAB4B3D3CF0F454F98272CBE187FDE2F0BB1A132@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.4597309738520134
30,<096f7a1b1d089f6a4692ae85e47b5ac1@manhtho-laptop>,,0.0 (/),,"No, hits=-4.7 required=5.0 tests=AWL,BAYES_00 autolearn=ham  version=2.64",False,0.3,False,0.49999999999999784
31,<009b01c702f3$4061acc0$6601a8c0@oemcomputer>,,0.0 (/),,,False,3.9,False,0.03481168340193519
32,<03c665e910d3db604c4ddc85ba6e6c35@manhtho-laptop>,,0.0 (/),,"No, hits=-4.7 required=5.0 tests=AWL,BAYES_00 autolearn=ham  version=2.64",False,0.3,False,0.49999999999999784
33,<AAB4B3D3CF0F454F98272CBE187FDE2F0BBC04CC@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
34,<AAB4B3D3CF0F454F98272CBE187FDE2F0BC269C6@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
35,<AAB4B3D3CF0F454F98272CBE187FDE2F0BCDF5EB@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
36,<AAB4B3D3CF0F454F98272CBE187FDE2F0BCDFAA7@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
37,<AAB4B3D3CF0F454F98272CBE187FDE2F0BE49B63@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
38,<AAB4B3D3CF0F454F98272CBE187FDE2F0BE87929@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,0.4,False,0.4597309738520134
39,<AAB4B3D3CF0F454F98272CBE187FDE2F0BF3628A@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
40,<AAB4B3D3CF0F454F98272CBE187FDE2F0BF36406@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,1.9,False,0.49999999999999784
41,<AAB4B3D3CF0F454F98272CBE187FDE2F0BF3667F@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
42,<191a01c723bf$dd9b80f0$0600a8c0@china.huawei.com>,,0.0 (/),,,False,2.9,False,0.15960297761042466
43,<45898A91.70305@andybierman.com>,,0.1 (/),,,False,3.8,False,0.31853667704185223
44,<4915F014FDD99049A9C3A8C1B832004F017732AB@IMCSRV2.MITRE.ORG>,,0.0 (/),,,False,0.3,False,0.49999999999999784
45,<AAB4B3D3CF0F454F98272CBE187FDE2F0BF6EF3E@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
46,<458A8C0C.3020805@zurich.ibm.com>,,0.0 (/),,,False,1.2,False,0.49999999999999784
47,<458AB03E.9010907@andybierman.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
48,<AAB4B3D3CF0F454F98272CBE187FDE2F0C08CAF8@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,-0.6,False,0.49999999999999784
49,<AAB4B3D3CF0F454F98272CBE187FDE2F0C0C7AF8@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
50,<AAB4B3D3CF0F454F98272CBE187FDE2F0C13410E@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.4597309738520134
51,<AAB4B3D3CF0F454F98272CBE187FDE2F0C1E1B20@is0004avexu1.global.avaya.com>,,0.0 (/),,,False,-0.6,False,0.13912089038711925
52,<AAB4B3D3CF0F454F98272CBE187FDE2F0C210417@is0004avexu1.global.avaya.com>,,0.1 (/),,,False,-0.6,False,0.49999999999999784
