imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<6.2.1.2.2.20050808234256.0325f220@localhost>,,,,,False,4.2,True,0.9974201066615794
2,<14FD20369E52DE478BD9612D63BE21B4059508C4@ftrdmel3.rd.francetelecom.fr>,,,,,False,4.2,True,0.9999999999985923
3,<8b27699305081208523092cfc9@mail.gmail.com>,,,,,False,4.2,True,0.9999999907147094
4,<8b2769930508120741605901f1@mail.gmail.com>,,,,,False,4.2,False,0.876881249340085
5,<8b27699305081218327edcbcb6@mail.gmail.com>,,,,,False,4.2,True,0.9999997179758635
6,<BF22433E.4BC80%fluffy@cisco.com>,,,,,False,4.2,True,0.9988557220167016
7,<004801c59f71$1527ae10$6a01a996@MAHFUZT12K>,,,,,True,7.9,True,0.9999998181962872
8,<42FCBFE1.1010608@research.panasonic.com>,,,,,False,4.2,True,0.9999986662884928
9,<005901c59f76$666d17b0$6a01a996@MAHFUZT12K>,,,,,True,7.9,True,0.9999999701904523
10,<BF224E79.4BCAD%fluffy@cisco.com>,,,,,False,4.2,False,0.20757323546924414
11,<32755D354E6B65498C3BD9FD496C7D4613C0B8@oefeg-s04.oefeg.loc>,,,,,False,4.2,True,0.9999984085064101
12,<ECDC9C7BC7809340842C0E7FCF48C39363CD63@MCHP7IEA.ww002.siemens.net>,,,,,False,4.2,False,0.010181151638113745
13,<8b27699305081411174e34cddf@mail.gmail.com>,,,,,False,4.2,True,0.9999981554451739
14,<200508160101.j7G11Dsw018806@cs.columbia.edu>,,,,,False,4.2,True,0.999999999983245
15,<1fc32c8f050816081741c4296e@mail.gmail.com>,,,,,False,4.2,True,0.9999999999991515
16,<1fc32c8f050816102044143fb7@mail.gmail.com>,,,,,False,4.2,True,0.9999999908311012
17,<73FAF24321CE9E419AD5747A215472730101BAEF@exchange.adpw.pacwest.com>,,,,,False,4.2,True,0.9926960805998885
18,<03bb01c5a26f$ccca80a0$6a01010a@keywest>,,,,,True,7.9,True,0.9999999999589939
19,<1fc32c8f05081610485102c5f9@mail.gmail.com>,,,,,False,4.2,True,0.9999871628848528
20,<a9994e9405081606065d300acf@mail.gmail.com>,,,,,False,4.2,True,0.9999999947363695
21,<f691ca772e94ee9013b22ca6bb5cd128@softarmor.com>,,,,,False,4.2,True,0.9999999999182265
22,<17155.11557.244559.813603@rautu.tutpro.com>,,,,,False,4.2,True,0.999999999895959
23,<32755D354E6B65498C3BD9FD496C7D4613C0CE@oefeg-s04.oefeg.loc>,,,,,False,4.2,True,0.9999967492026313
24,<17155.15755.942210.722717@rautu.tutpro.com>,,,,,False,4.2,True,0.9999999958567454
25,<73FAF24321CE9E419AD5747A21547273011A85D4@exchange.adpw.pacwest.com>,,,,,False,4.2,True,0.9999999748657049
