imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<0BDFFF51DC89434FA33F8B37FCE363D508F9F3B3@zcarhxm2.corp.nortel.com>,,0.1 (/),,,False,0.0,False,0.49999999999999784
2,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CBF9@E03MVZ1-UKDY.domain1.systemhost.net>,,0.6 (/),,,False,0.3,False,0.008867068703469181
3,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CC6B@E03MVZ1-UKDY.domain1.systemhost.net>,,0.6 (/),,,False,1.3,False,0.49999999999999784
4,<62D92A9A02BCC845B202323D49A48426230E94@0591-ITS-EXMP02.us.saic.com>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
5,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CC84@E03MVZ1-UKDY.domain1.systemhost.net>,,0.6 (/),,,False,0.3,False,0.03481168340193519
6,<44FEBF54.5000102@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
7,<62D92A9A02BCC845B202323D49A48426230E9D@0591-ITS-EXMP02.us.saic.com>,,0.0 (/),,,False,-1.0,False,0.03481168340193519
8,<BABC859E6D0B9A4D8448CC7F41CD2B0702543150@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
9,<9671A92C3C8B5744BC97F855F7CB64650BE3B699@zcarhxm1.corp.nortel.com>,,0.3 (/),,,False,-1.0,False,0.49999999999999784
10,<4501601C.4040202@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.6152907348201759
11,<BABC859E6D0B9A4D8448CC7F41CD2B070254399D@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
12,,,0.0 (/),,,False,2.8,False,0.6152907348201759
13,<BABC859E6D0B9A4D8448CC7F41CD2B07025B96DB@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.15960297761042466
14,,,0.0 (/),,,False,2.8,False,0.23297681581746044
15,<6.2.5.6.0.20060913181104.03c888d8@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
16,<6.2.5.6.0.20060914125822.03c06a20@nortel.com>,,0.1 (/),,,False,3.8,False,0.0013544535559484522
17,<BABC859E6D0B9A4D8448CC7F41CD2B0702625D9B@xmb-rtp-203.amer.cisco.com>,,0.1 (/),,,False,1.4,False,0.49999999999999784
18,<BABC859E6D0B9A4D8448CC7F41CD2B0702625DB4@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,1.4,False,0.49999999999999784
19,<6.2.5.6.0.20060914173823.03313d50@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
20,<6439282641581441A36F7F6F83ED2ED2CBF845@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
21,,,0.0 (/),,,False,-2.0,False,0.054538661247964706
22,<BABC859E6D0B9A4D8448CC7F41CD2B0702626378@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
23,<6.2.5.6.0.20060918102736.06188688@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
24,<52A41712-0CCB-4064-B6E8-56EAD386751B@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
25,<450FC491.5040509@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.8035799187328447
26,<9671A92C3C8B5744BC97F855F7CB64650C208A4D@zcarhxm1.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
27,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CCEB@E03MVZ1-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,0.3,False,0.49999999999999784
28,<C76CF2F1-ED02-4800-967A-B80C4619F04B@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
29,<6.2.5.6.0.20060919093100.03d9ebd8@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
30,<6.2.5.6.0.20060919100148.03d9e198@nortel.com>,,0.1 (/),,,False,3.8,False,0.007090971233707393
31,<BABC859E6D0B9A4D8448CC7F41CD2B0702626884@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
32,<5A00DF2C-4781-4F1F-BEB3-3B298C230B5C@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.22737794128918348
33,<C2206F3C-9FEC-458D-8E7D-386C678D64A6@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
34,<9671A92C3C8B5744BC97F855F7CB64650C267D22@zcarhxm1.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
35,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CCED@E03MVZ1-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,0.3,False,0.49999999999999784
36,<BABC859E6D0B9A4D8448CC7F41CD2B07026A1012@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
37,<6.2.5.6.0.20060919112217.03de4e50@nortel.com>,,0.1 (/),,,False,3.8,False,0.03624164767921282
38,<FAF99029-5EEB-4445-BD7D-49C422765A09@cs.ucl.ac.uk>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
39,<BABC859E6D0B9A4D8448CC7F41CD2B07026A10CE@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
40,<6.2.5.6.0.20060919170712.03cfd1a8@nortel.com>,,0.1 (/),,,False,3.8,False,0.03624164767921282
41,<4510E339.6030607@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
42,<4510EA40.80702@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
43,<6439282641581441A36F7F6F83ED2ED2CBF854@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
44,<45110AFD.3080707@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
45,<CF4C6D9117FCD24DA38E1EA747C0722404AA05@bby1exm07.pmc_nt.nt.pmc-sierra.bc.ca>,,0.1 (/),,,False,-1.0,False,0.0030690715499257244
46,<6439282641581441A36F7F6F83ED2ED2CBF85B@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
47,<A996501B-26FE-4C63-9574-BA51C77AAAB0@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
48,<451151EF.7060009@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
49,<6439282641581441A36F7F6F83ED2ED2CBF860@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
50,<45115E68.2040405@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
51,<6.2.5.6.0.20060920113532.03deadb8@nortel.com>,,0.1 (/),,,False,3.8,False,0.03624164767921282
52,<6.2.5.6.0.20060920115719.033af3d8@nortel.com>,,0.1 (/),,,False,3.8,False,0.007090971233707393
53,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CCFD@E03MVZ1-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,0.3,False,0.49999999999999784
54,<C9E711D7-1EBF-47E7-8388-3D5FDEAF1D9E@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
55,<E3EF9D52-F83C-4170-9856-C50CD9CC2FEF@g11.org.uk>,,0.0 (/),,,False,-2.0,False,0.07970566712219727
56,<6.2.5.6.0.20060920125957.03f3c838@nortel.com>,,0.1 (/),,,False,3.8,False,0.03624164767921282
57,<7D096A439A3D0D48A3D10872022CFD091B4A84@ILEXC1U02.ndc.lucent.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
58,<6.2.5.6.0.20060920131301.032beee8@nortel.com>,,0.1 (/),,,False,3.8,False,0.007090971233707393
59,<BABC859E6D0B9A4D8448CC7F41CD2B07026A1596@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
60,<6.2.5.6.0.20060920135249.05849ca8@nortel.com>,,0.1 (/),,,False,3.8,False,0.007090971233707393
61,<9646D5FC-A95A-4BF2-9152-12CFFE7C1BCB@cisco.com>,,0.0 (/),,,False,0.6,False,0.49999999999999784
62,<6.2.5.6.0.20060920145041.0333ba88@nortel.com>,,0.1 (/),,,False,3.8,False,0.007090971233707393
63,<4.3.2.7.2.20060920134620.03b430a0@email.cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
64,<BABC859E6D0B9A4D8448CC7F41CD2B07026A1619@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.15960297761042466
65,<4.3.2.7.2.20060920150045.03a55cf0@email.cisco.com>,,0.0 (/),,,False,-1.9,False,0.04094549988045966
66,<9671A92C3C8B5744BC97F855F7CB64650C2C31E0@zcarhxm1.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
67,<4.3.2.7.2.20060920211811.02f9c948@email.cisco.com>,,0.0 (/),,,False,-1.9,False,0.007090971233707393
68,<45122FD5.504@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
69,<6439282641581441A36F7F6F83ED2ED2CBF862@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
70,<6439282641581441A36F7F6F83ED2ED2CBF863@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
71,<6439282641581441A36F7F6F83ED2ED2CBF865@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
72,<451259A7.8060201@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
73,<BABC859E6D0B9A4D8448CC7F41CD2B07026A17E9@xmb-rtp-203.amer.cisco.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
74,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CD01@E03MVZ1-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,0.3,False,0.49999999999999784
75,<45129056.5080709@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
76,<6.2.5.6.0.20060921112301.0612d030@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
77,<6.2.5.6.0.20060921121512.03bdbc30@nortel.com>,,0.6 (/),,,True,6.2,False,0.0013544535559484522
78,<4512C0B6.3070608@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
79,<6.2.5.6.0.20060921125432.03404840@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
80,<4513E837.4020301@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
81,<4513E83B.7060204@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
82,<75A199C5D243C741BF3D3F1EBCEF9BA5A2CD08@E03MVZ1-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,0.3,False,0.49999999999999784
83,<7D096A439A3D0D48A3D10872022CFD091B580E@ILEXC1U02.ndc.lucent.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
84,<4517BD18.4080400@ericsson.com>,,0.0 (/),,,False,0.5,False,0.49999999999999784
85,<6.2.5.6.0.20060925104536.05c26538@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
86,<6.2.5.6.0.20060925104843.05c26160@nortel.com>,,0.1 (/),,,False,3.8,False,0.03624164767921282
87,<BABC859E6D0B9A4D8448CC7F41CD2B070272956E@xmb-rtp-203.amer.cisco.com>,,-2.0 (--),,,False,0.4,False,0.49999999999999784
88,<6439282641581441A36F7F6F83ED2ED2CBF880@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
89,<6.2.5.6.0.20060926101250.03e7bc40@nortel.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
90,<7D096A439A3D0D48A3D10872022CFD092003D6@ILEXC1U02.ndc.lucent.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
91,<6439282641581441A36F7F6F83ED2ED2CBF88B@S4DE8PSAAFQ.mitte.t-com.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
92,<451A1BC6.4080200@informatik.uni-wuerzburg.de>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
