imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<F2F760C942EBD411B98800A0CC733FCF1796AF@longmail2.lboard.com>,,,,,False,-1.0,False,2.528322106909454e-10
2,<001901c13149$61731470$0a312509@lmr>,,,,,False,-0.6,False,1.0401608337772688e-09
3,<000901c13235$a0cefde0$0a312509@lmr>,,,,,False,-0.6,False,1.830263341597407e-08
4,<F2F760C942EBD411B98800A0CC733FCF179711@longmail2.lboard.com>,,,,,False,-1.0,False,1.2709239276381262e-08
5,<F2F760C942EBD411B98800A0CC733FCF179746@longmail2.lboard.com>,,,,,False,-1.0,False,0.00024698759636400435
6,<3BA7BFB4.1C4DB08A@americasm01.nt.com>,,,,,False,-1.0,False,2.124163405631152e-06
7,<002501c14118$dedc61d0$2c302509@lmrbrq>,,,,,False,-0.6,False,1.331282066452524e-08
8,<003d01c1411b$03351f20$2c302509@lmrbrq>,,,,,False,-0.6,False,2.358185666117073e-08
9,<3BA8FC76.52A13176@americasm01.nt.com>,,,,,False,-1.0,False,4.053356412279661e-08
10,<p05100303b7ce7b67b45f@[137.138.47.45]>,,,,,False,1.1,False,2.727059293489316e-11
11,<200109201108.HAA05459@ietf.org>,,,,,False,-2.0,False,0.002787824574720343
12,<009101c14208$9626eeb0$2c302509@lmrbrq>,,,,,False,-0.6,False,0.15960297761042466
13,<3BAA676F.64FABE2A@americasm01.nt.com>,,,,,False,-1.0,False,4.732685800709228e-07
14,<003b01c142a2$b78ef8a0$2c302509@lmrbrq>,,,,,False,-0.6,False,5.07458346410183e-07
15,<3BAB6A68.3B33FFEC@americasm01.nt.com>,,,,,False,-1.0,False,2.124163405631152e-06
16,<006701c1450f$154dc9d0$2c302509@lmrbrq>,,,,,False,-0.6,False,6.122259300234906e-11
17,<4.2.2.20010924143707.00c5e5e0@localhost>,,,,,False,1.9,False,7.604943222863789e-07
18,<006201c14786$4e664700$2c302509@lmrbrq>,,,,,False,0.1,False,1.0401608337772688e-09
19,<FCEKLEHMPIHFNLCMKHAMIEJOCLAA.john.strassner@intelliden.com>,,,,,False,3.8,False,1.358732765157329e-07
20,<OF91CAC6A3.CB2EB8C4-ON85256AD8.00528E35@raleigh.ibm.com>,,,,,False,-1.0,False,1.6921978570433495e-06
21,<F2F760C942EBD411B98800A0CC733FCF1797C3@longmail2.lboard.com>,,,,,False,-1.0,False,3.7320456562727066e-08
22,<5.1.0.14.2.20011002093621.02f5c3e8@pop.doc.ic.ac.uk>,,,,,False,-1.0,False,0.49999999999999784
23,<002801c14b49$f5dbc0c0$2c302509@lmrbrq>,,,,,False,-0.6,False,0.00024698759636400435
24,<FCEKLEHMPIHFNLCMKHAMGEMFCLAA.john.strassner@intelliden.com>,,,,,False,1.5,False,1.7059433646390431e-10
25,<2413FED0DFE6D111B3F90008C7FA61FB0DAAE6BD@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,5.970277702221961e-13
26,<002a01c151bb$e1706be0$2c302509@lmrbrq>,,,,,False,0.4,False,8.286354850458251e-10
27,<200110121111.HAA21669@ietf.org>,,,,,False,-2.0,False,0.004585509657190307
28,<513C6DDEB3949D4BB43097D0BF18654F036658@ARKMAIL.arkivio.com>,,,,,False,1.3,False,2.953209695056495e-08
29,<016D1D1E0314D5118A7F00508BD95252DE3D7A@exvan01.x509.com>,,,,,False,-1.0,False,4.629428873800967e-11
30,<GGEOLLMKEOKMFKADFNHOOENOEDAA.andreaw@cisco.com>,,,,,False,-2.0,False,4.691573569925807e-05
31,<513C6DDEB3949D4BB43097D0BF18654F03666A@ARKMAIL.arkivio.com>,,,,,False,0.3,False,5.682890880444423e-07
32,<513C6DDEB3949D4BB43097D0BF18654F03665C@ARKMAIL.arkivio.com>,,,,,False,0.3,False,6.153330047186731e-08
33,<GGEOLLMKEOKMFKADFNHOOEOBEDAA.andreaw@cisco.com>,,,,,False,-2.0,False,4.4973323958206665e-06
34,<F2F760C942EBD411B98800A0CC733FCF2FCAB9@longmail2.lboard.com>,,,,,False,-1.0,False,1.53398824789723e-07
35,<5.1.0.14.0.20011012171314.048ede40@mailsrv1.mitre.org>,,,,,False,-1.0,False,0.00014948026376625202
36,<FCEKLEHMPIHFNLCMKHAMKEMBCMAA.john.strassner@intelliden.com>,,,,,False,3.8,False,0.15960297761042466
37,<200110161300.JAA14631@ietf.org>,,,,,False,-2.0,False,1.5288566343841819e-18
38,<GGEOLLMKEOKMFKADFNHOEEBCEEAA.andreaw@cisco.com>,,,,,False,-2.0,False,1.6350185147194045e-05
39,<GGEOLLMKEOKMFKADFNHOCECEEEAA.andreaw@cisco.com>,,,,,False,-2.0,False,6.721865767519233e-05
40,<513C6DDEB3949D4BB43097D0BF18654F036755@ARKMAIL.arkivio.com>,,,,,False,1.4,False,1.6025276202388197e-05
41,<200110191110.HAA13962@ietf.org>,,,,,False,-2.0,False,0.002787824574720343
42,<B3C3D3ED61A3D511B6FA00508B5EEDC8367A29@comex4>,,,,,False,-1.0,False,4.318889021813152e-10
43,<OFF359DA69.3295C19F-ON85256AEA.0043EAA7@raleigh.ibm.com>,,,,,False,-1.0,False,5.605982434255294e-07
44,<3BD6FF48.DFB699F7@parnelli.indy.cr.irs.gov>,,,,,False,-2.0,False,0.49999999999999784
45,<5.1.0.14.0.20011026104629.01701cb0@127.0.0.1>,,,,,False,0.3,False,1.4608817784088969e-09
