imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200404061626.MAA02604@ietf.org>,,,,"No, hits=0.5 required=5.0 tests=AWL,MIME_BOUND_NEXTPART, NO_REAL_NAME autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
2,<16514.53436.507867.723526@gargle.gargle.HOWL>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,True,0.9991640761569033
3,<16514.55373.834390.299097@gargle.gargle.HOWL>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,True,0.9991640761569033
4,<200404182010.i3IKAjht098364@calcite.rhyolite.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
5,<FFFC48AEAA5F7447929F4F0D93FCC12D05D0A22A@zcard031.ca.nortel.com>,,,,"No, hits=0.1 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
6,<s083e04d.043@sinclair.provo.novell.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
7,<200404200002.i3K02JSL089100@calcite.rhyolite.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
8,<200404200111.SAA00406@grigri.eng.ascend.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-0.6,False,0.8035799187328447
9,<FFFC48AEAA5F7447929F4F0D93FCC12D05D0A248@zcard031.ca.nortel.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
10,<200404201433.i3KEXYfW012291@cichlid.raleigh.ibm.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.8035799187328447
11,<200404201441.i3KEfIaP022485@calcite.rhyolite.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
12,<20040420235318.3194E58938@segue.merit.edu>,,,,"No, hits=3.3 required=5.0 tests=AWL,HTML_30_40,HTML_MESSAGE, HTML_RELAYING_FRAME,MISSING_MIMEOLE,NO_REAL_NAME,PRIORITY_NO_NAME  autolearn=no version=2.60",False,4.9,False,0.7189408625521978
13,<16525.21382.74834.977948@gargle.gargle.HOWL>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.8035799187328447
14,<dc7be32f0d7584b8d6b69d294dc1fba6@192.168.1.43>,,,,"No, hits=1.8 required=5.0 tests=HTML_MESSAGE, HTML_MIME_NO_HTML_TAG,MIME_HTML_ONLY autolearn=no version=2.60",False,-0.3,False,0.8035799187328447
15,<4.3.2.7.2.20040510130157.022796d0@mira-sjcm-4.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.8035799187328447
16,<005c01c436c1$ea536b20$710b000a@amer.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
17,<Pine.LNX.4.56.0405101243520.32408@internaut.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
18,<000901c436e5$1c39d7a0$bf4ba5ce@amer.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
19,<b2f49393b94c20bb360d90715945b3cc@192.168.1.43>,,,,"No, hits=2.1 required=5.0 tests=AWL,HTML_20_30,HTML_MESSAGE, HTML_MIME_NO_HTML_TAG,MIME_HTML_ONLY autolearn=no version=2.60",False,-0.3,False,0.7189408625521978
20,<nxduvlvchfednjnsgob@merit.edu>,,,,"No, hits=0.5 required=5.0 tests=AWL,HTML_MESSAGE, MIME_HTML_ONLY autolearn=no version=2.60",False,0.3,False,0.7189408625521978
21,<16544.44721.697973.281653@gargle.gargle.HOWL>,,,,"No, hits=0.0 required=5.0 tests=AWL, HTML_MESSAGE autolearn=no  version=2.60",False,-1.0,False,0.8035799187328447
22,<5.1.0.14.0.20040517205948.02a57f60@172.16.1.10>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
23,<200411231334.iANDY5dN000028@phorcys.East.Sun.COM>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
24,<200411231725.iANHPcft020752@sj-core-4.cisco.com>,,0.0 (/),,,False,-2.0,False,0.7189408625521978
25,<16803.30196.252410.196857@gargle.gargle.HOWL>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
26,<2A5E4540D4D5934D9A1E7E0B0FDB2D69E18F99@MAANDMBX2.ets.enterasys.com>,,0.0 (/),,,False,0.3,False,0.8035799187328447
27,<200411231827.iANIR2ft019657@sj-core-4.cisco.com>,,0.0 (/),,,False,-2.0,False,0.7189408625521978
28,<16803.36537.648863.250806@gargle.gargle.HOWL>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
29,<16811.7922.778940.799381@gargle.gargle.HOWL>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
30,<16811.11096.370401.888642@gargle.gargle.HOWL>,,0.1 (/),,,False,-1.0,True,0.9237150307021861
31,<7F1DD89B-420D-11D9-82C1-000A95DC4DB6@tzi.org>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
32,<764E1B80-4210-11D9-82C1-000A95DC4DB6@tzi.org>,,0.1 (/),,,False,-1.0,True,0.9237150307021861
33,<5C79C992-421B-11D9-9FED-000D9335A2B4@columbus.rr.com>,,0.1 (/),,,False,-2.0,False,0.7189408625521978
34,<00b901c4d7b2$ed63aea0$1e09040a@future.futsoft.com>,,0.2 (/),,,False,-1.2,False,0.7189408625521978
35,<7C078C66B7752B438B88E11E5E20E72E01095539@general.hq.farsitecommunications.com>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
36,<ED19AD8D-43D7-11D9-82C1-000A95DC4DB6@tzi.org>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
37,<Pine.GSO.4.30.0412141743450.23120-100000@sunrnd2.sasken.com>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
38,<16830.65465.383061.588669@gargle.gargle.HOWL>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
39,<200501282057.PAA12622@ietf.org>,,0.4 (/),,,False,-2.0,False,0.49999999999999784
40,<16890.46912.369189.324499@gargle.gargle.HOWL>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
41,<41FC5916.9030501@cisco.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
42,<200501300421.j0U4L9t8016465@calcite.rhyolite.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
43,<41FE471D.6010602@cisco.com>,,0.0 (/),,,False,-0.4,False,0.49999999999999784
44,<42012232.3020708@cisco.com>,,0.0 (/),,,False,-0.4,False,0.42069953925179354
45,<200502031105.59849.fitz@jfitz.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
