imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20100611190002.1B84F3A6991@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<4C12B454.6070400@viagenie.ca>,NO,-0.186,,"No, score=-0.186 tagged_above=-999 required=5 tests=[BAYES_40=-0.185, NO_RELAYS=-0.001]",False,-2.0,False,0.49999999999999784
3,<4C324297.3000703@viagenie.ca>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_210=0.6]",False,-2.0,False,0.49999999999999784
4,<4C3253BE.40601@viagenie.ca>,NO,-2.299,,"No, score=-2.299 tagged_above=-999 required=5 tests=[AWL=0.300, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
5,<4C333AC2.9090601@viagenie.ca>,NO,-2.149,,"No, score=-2.149 tagged_above=-999 required=5 tests=[AWL=-0.150, BAYES_00=-2.599, J_CHICKENPOX_210=0.6]",False,-2.0,False,0.49999999999999784
6,<87lj9oy6yl.fsf@mocca.josefsson.org>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-0.9,False,0.49999999999999784
7,<4C3368B2.5090205@viagenie.ca>,NO,-2.449,,"No, score=-2.449 tagged_above=-999 required=5 tests=[AWL=0.150, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
8,<4C33CA48.1050500@it.aoyama.ac.jp>,NO,3.11,***,"No, score=3.11 tagged_above=-999 required=5 tests=[AWL=-0.300, BAYES_50=0.001, HELO_EQ_JP=1.244, HOST_EQ_JP=1.265, J_CHICKENPOX_210=0.6, MIME_8BIT_HEADER=0.3]",False,0.3,False,0.49999999999999784
9,<20100708200713.1001760b.yoshiro.yoneya@jprs.co.jp>,NO,1.117,*,"No, score=1.117 tagged_above=-999 required=5 tests=[AWL=-1.207, BAYES_40=-0.185, HELO_EQ_JP=1.244, HOST_EQ_JP=1.265]",False,-2.0,False,0.49999999999999784
10,<4C367287.20100@viagenie.ca>,NO,-2.479,,"No, score=-2.479 tagged_above=-999 required=5 tests=[AWL=0.120, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
11,<4C40D5E9.1010505@stpeter.im>,NO,-2.663,,"No, score=-2.663 tagged_above=-999 required=5 tests=[AWL=-0.064, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
12,<4C512692.30406@stpeter.im>,NO,-2.549,,"No, score=-2.549 tagged_above=-999 required=5 tests=[AWL=0.050, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
13,<4C512FE9.8050506@stpeter.im>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[AWL=0.048, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
14,<4C51A925.7050008@stpeter.im>,NO,-2.589,,"No, score=-2.589 tagged_above=-999 required=5 tests=[AWL=0.010, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
15,<4C51B89B.305@viagenie.ca>,NO,-2.554,,"No, score=-2.554 tagged_above=-999 required=5 tests=[AWL=0.046, BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-2.0,False,0.49999999999999784
16,<4C51CEA2.2000800@viagenie.ca>,NO,-2.557,,"No, score=-2.557 tagged_above=-999 required=5 tests=[AWL=0.043, BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-2.0,False,0.49999999999999784
17,<C2D311A6F086424F99E385949ECFEBCB034F912C@CORPUSMX80B.corp.emc.com>,NO,-6.384,,"No, score=-6.384 tagged_above=-999 required=5 tests=[AWL=0.215, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
