imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<467866DA-9289-4C26-B2D4-14CAD4CA1F09@icann.org>,NO,-6.517,,"No, score=-6.517 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-2.316, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.49999999999999784
2,<6B2CC97F-ACD3-4322-BA59-9079759A4C0A@icann.org>,NO,-7.301,,"No, score=-7.301 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-3.1, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.0012818940078230985
3,<CF71BAD9-3857-46FE-96AC-24AA385736AF@vigilsec.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham autolearn_force=no",False,-2.0,False,0.010502887815873057
4,<2DFBC454-948E-4B24-AEF1-7BA33714D864@icann.org>,NO,-7.301,,"No, score=-7.301 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-3.1, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.001299156153328721
5,<6802F7ED-4FC5-4954-AB8F-C778A18B3C85@vigilsec.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham autolearn_force=no",False,-2.0,False,0.05293206580006849
6,<C520880D-668F-4D46-BF46-0796D60877F1@piuha.net>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001] autolearn=ham autolearn_force=no",False,-0.7,False,0.22737794128918348
7,<CAKKJt-fZDghV0YpZQ-XqkqUHkFC6PwA6ZCNpHQvGkDbR8A+dww@mail.gmail.com>,NO,-2.698,,"No, score=-2.698 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
8,<2f8d2c50-02f4-5732-6035-0c7daff442c0@cisco.com>,NO,-14.5,,"No, score=-14.5 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-5, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham autolearn_force=no",False,-1.9,False,0.49999999999999784
9,<FA30179C-7932-4E4D-B875-2E6715E3D7A3@piuha.net>,NO,0.8,,"No, score=0.8 tagged_above=-999 required=5 tests=[BAYES_50=0.8] autolearn=ham autolearn_force=no",False,-0.7,False,0.49999999999999784
10,<203E0138-02F6-44F0-B8AE-1FD18AD2FA9F@piuha.net>,NO,-0.5,,"No, score=-0.5 tagged_above=-999 required=5 tests=[BAYES_05=-0.5] autolearn=ham autolearn_force=no",False,-0.8,False,0.49999999999999784
11,<B43AB5A3-481E-4936-850A-530445656D34@gmail.com>,NO,-2.7,,"No, score=-2.7 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.49999999999999784
12,<20171003161610.3omoq6zdpcdcr45f@mx4.yitter.info>,NO,-0.5,,"No, score=-0.5 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.49999999999999784
13,<20264F85-19D3-4CFD-859E-5CF0978B45F2@trammell.ch>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=unavailable autolearn_force=no",False,-2.0,False,0.49999999999999784
14,<D64B06D2.8DB33%lee@asgard.org>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
15,<5348257a-649b-8cc9-d61d-2ec1640d9ba6@cs.tcd.ie>,NO,-1.916,,"No, score=-1.916 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, BODY_SINGLE_WORD=2.385, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.15960297761042466
16,<20190510095937.Horde.gskIcCXTWvh9luvKBqlJ-68@cp85.box.co.il>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_PASS=-0.001,  URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.5876668185585097
17,<20190517160626.Horde.lEXCJU4yRm4iaZPeta6EqqD@cp85.box.co.il>,NO,-2.001,,"No, score=-2.001 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.5,False,0.49999999999999784
18,<dc97bdbe-29ec-312b-a661-f564ab0b49ef@si6networks.com>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_NONE=0.001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
19,<1824BC44-D846-4FE1-8601-C7473ED682C1@puck.nether.net>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
