imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20001214164453K.liman@sunet.se>,,,,,False,-0.8,False,0.00012217005753245203
2,<DF737E620579D411A8E400D0B77E671D75038A@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,0.009823000346839885
3,<200012201341.OAA06357@bartok.sidn.nl>,,,,,False,-0.6,True,0.9953443225917298
4,<20001220095040.A37763@bruno.bbn.com>,,,,,False,0.2,False,0.025263850499714992
5,<3.0.5.32.20001220100648.03d4f100@mail.nic.nu>,,,,,False,-0.8,False,3.885490032106435e-06
6,<20001220101530.B37763@bruno.bbn.com>,,,,,False,0.2,False,1.123326657617426e-05
7,<037401c06a99$b967c4e0$dd4ffea9@rader>,,,,,True,9.1,False,0.00023984247436767032
8,<200012201536.QAA07266@bartok.sidn.nl>,,,,,False,-0.6,False,0.7479363901303653
9,<DF737E620579D411A8E400D0B77E671D750392@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,7.232340925980677e-05
10,<DF737E620579D411A8E400D0B77E671D750394@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,2.0097637586309737e-07
11,<DF737E620579D411A8E400D0B77E671D750395@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,0.00155920516042023
12,<03ab01c06a9e$230856e0$dd4ffea9@rader>,,,,,True,9.1,False,1.1156736058448117e-09
13,<DF737E620579D411A8E400D0B77E671D750397@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,3.0720507208834775e-08
14,<200012201606.RAA07458@bartok.sidn.nl>,,,,,False,-0.6,True,0.9994686496457362
15,<008001c06abd$9a073260$140a0a0a@ambler.net>,,,,,False,4.3,False,4.147533139321602e-08
16,<20001220152544.A38157@bruno.bbn.com>,,,,,False,0.2,False,7.724991995740178e-05
17,,,,,,True,6.7,False,0.393805578397567
18,<00bf01c06b29$fa3b5f00$140a0a0a@ambler.net>,,,,,False,4.3,False,1.2447200977129043e-08
19,<008401c06b2e$5e8647a0$dd4ffea9@rader>,,,,,True,9.1,False,2.123746308194449e-10
20,<DF737E620579D411A8E400D0B77E671D7503A7@regdom-ex01.prod.netsol.com>,,,,,False,0.2,False,1.805284631451404e-05
21,<20001221093108.B38157@bruno.bbn.com>,,,,,False,0.2,False,0.00034546142350764354
22,<5.0.2.1.0.20001221094557.02b04e98@mail.register.com>,,,,,False,-0.8,False,2.527887315125614e-06
23,<3.0.5.32.20001221102150.03d16630@mail.nic.nu>,,,,,False,-0.8,False,3.560523144914117e-08
24,<5.0.2.1.0.20001221112034.02a32e28@mail.register.com>,,,,,False,-0.8,False,4.5317139041987724e-08
