imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<199611011753.JAA20016@gate.dpc.com>,,,,,False,-0.0,False,7.672836231289331e-08
2,<199611020006.QAA06180@woden.eng.sun.com>,,,,,False,0.8,False,2.9590015872705878e-09
3,<327A8F97.6CA5@sharplabs.com>,,,,,False,-0.0,False,1.0226614053309372e-08
4,<199611021728.JAA22249@gate.dpc.com>,,,,,False,-0.0,False,6.627479324061572e-07
5,<009AAC61.0CA3AF20.1@nls.com>,,,,,False,0.0,False,0.49999999999999784
6,<00007234.1337@digprod.com>,,,,,False,-0.0,False,0.0014377976435227683
7,<327D739D.1406@sharplabs.com>,,,,,False,0.0,False,1.4247779162944214e-07
8,<199611041850.AA13877@interlock.lexmark.com>,,,,,False,0.0,False,8.721522530672707e-08
9,<9611042305.AA17215@zazen>,,,,,False,-0.0,False,3.7016503042998207e-05
10,<327E82F8.A86@sharplabs.com>,,,,,False,0.0,False,8.427822991993173e-08
11,<9611050056.AA17284@zazen>,,,,,False,-0.0,False,0.0003262470927988856
12,<9611051827.AA17484@zazen>,,,,,False,0.0,False,0.00032629821667083295
13,<199611051834.AA08939@interlock.lexmark.com>,,,,,False,-0.0,False,7.2273359023689e-07
14,<m0vKr7s-000US2C@uscore.underscore.com>,,,,,False,-0.0,False,4.123536821598468e-11
15,<01BBCB21.324D32E0@hpb15767.boi.hp.com>,,,,,False,-0.0,False,7.924484276015177e-05
16,<199611052226.RAA09839@lists.underscore.com>,,,,,False,-0.0,False,0.0038456889811677875
17,<199611052257.RAA10159@lists.underscore.com>,,,,,False,-0.0,False,0.002331869645182706
18,<9611060048.AA23347@snorkel.eso.mc.xerox.com>,,,,,False,-0.0,False,0.008955542346157693
19,"<""<0EA1803281262D79>0EA1803281262D79@x-wb-0311-ms1.xerox""@-SMF->",,,,,False,2.0,False,1.7102034877166876e-05
20,<9611061625.AA17963@zazen>,,,,,False,-0.0,False,7.794081272027578e-07
21,<9611061641.AA17984@zazen>,,,,,False,-0.0,False,8.136842145483897e-07
22,<0000785B.1337@digprod.com>,,,,,False,-0.0,False,2.406308659223641e-07
23,<2.2.32.19961106174702.0072a29c@elroy>,,,,,False,-0.0,False,1.4513149033782997e-06
24,<961107002531_76247.31_FHU66-3@CompuServe.COM>,,,,,False,0.6,False,6.704855411514553e-06
25,<9611080656.AB18546@zazen>,,,,,False,-0.0,False,1.5346296246676595e-06
26,<9611080656.AA18546@zazen>,,,,,False,-0.0,False,2.4410692169702745e-06
27,<961108020703_702420.204300_BHD50-29@CompuServe.COM>,,,,,False,0.8,False,1.0272998458049305e-08
28,<199611082310.AA07763@interlock.lexmark.com>,,,,,False,0.0,False,4.312186356005764e-07
29,<5030100002004868000002*@MHS>,,,,,False,1.8,False,0.0035108675261553623
30,<3284E076.446B9B3D@underscore.com>,,,,,False,0.0,False,0.00024403121458590506
31,<9611111943.AA19245@zazen>,,,,,False,-0.0,False,0.0007437198244878269
32,<s287291c.002@novell.com>,,,,,False,0.0,False,0.001299156153328721
33,<199611112202.AA25781@interlock.lexmark.com>,,,,,False,-0.0,False,8.356749168066357e-07
34,<s2874873.061@novell.com>,,,,,False,-0.0,False,4.382868468882846e-10
35,<v02140b01aeade6f46893@[203.7.176.92]>,,,,,False,-0.0,False,0.00011947912515488284
36,<3287D561.2E5E@sharplabs.com>,,,,,False,1.0,False,1.5210621281359736e-09
37,<m0vN6fD-000US2C@uscore.underscore.com>,,,,,False,-0.0,False,1.6439378949501164e-08
38,<199611130745.XAA17617@woden.eng.sun.com>,,,,,False,0.8,False,3.0447846496986354e-12
39,<s28872ea.096@novell.com>,,,,,False,0.0,False,0.03352109537563378
40,<01BBD0A4.DDBA2B00@hpb15767.boi.hp.com>,,,,,False,-0.0,False,0.00040872901796614624
41,<000083F3.1337@digprod.com>,,,,,False,-0.0,False,2.6069478210878415e-05
42,<9610138479.AA847954923@ccmail.fcpa.fujitsu.com>,,,,,False,0.0,False,0.001299156153328721
43,<199611131557.AA00939@interlock.lexmark.com>,,,,,False,-0.0,False,0.0008390505175333602
44,<01BBD171.CFCF4E80@hpb15767.boi.hp.com>,,,,,False,-0.0,False,7.318843451509791e-05
45,<Pine.SUN.3.93.961113140855.15932D-100000@iwl.iwl.com>,,,,,False,1.8,False,4.449468368300726e-05
46,<9611140810.AA20473@zazen>,,,,,False,0.0,False,1.3881405791663213e-08
47,<199611140520.QAA09613@oznet02.ozemail.com.au>,,,,,False,-0.0,False,4.5568227566221566e-07
48,<328B4017.63DECDAD@underscore.com>,,,,,False,0.0,False,1.4388214258188877e-08
49,<9611141748.AA20637@zazen>,,,,,False,-0.0,False,6.716185754144262e-08
50,<199611141840.AA27455@interlock.lexmark.com>,,,,,False,0.0,False,2.625947678360454e-09
51,<9611141837.AA20670@zazen>,,,,,False,-0.0,False,0.7422062465333269
52,<199611142031.AA00979@interlock.lexmark.com>,,,,,False,0.0,False,3.114807617450195e-06
