imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200102220515.WAA23208@tcb.net>,,,,,False,-2.0,False,1.5806890763491525e-12
2,<00b101c09dc0$b162fcb0$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,0.001299156153328721
3,<4.3.2.7.2.20010223150102.06a62cf8@bucket.cisco.com>,,,,,False,0.3,False,4.891527200991178e-05
4,<5.0.2.1.2.20010223220451.03c06a78@viva.vivacenet.com>,,,,,False,-1.0,False,0.0013544535559484522
5,<8FA6CEF9A4E42B48A5F8DC038655B3533702F5@mxtlv1.corrigent.com>,,,,,False,-1.0,False,2.4366032663870777e-09
6,<5.0.2.1.2.20010226072321.03b5fd58@viva.vivacenet.com>,,,,,False,-1.0,False,6.0639290352105904e-05
7,<00ba01c0a0db$95e74ea0$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,4.691573569925807e-05
8,<4.3.2.7.2.20010227115409.03bde708@pilgrim.cisco.com>,,,,,False,-2.0,False,6.36343521875345e-08
9,<200102271912.LAA25628@kummer.juniper.net>,,,,,False,-1.0,False,2.476189958600598e-15
10,<20010227113157.I575@routingloop.com>,,,,,False,-1.0,False,9.960085230096842e-08
11,<012001c0a0f6$a3a25e20$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,1.1790222004981604e-08
12,<20010227120741.A1599@routingloop.com>,,,,,False,-1.0,False,1.6921978570433495e-06
13,<016101c0a112$1b726920$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,8.910283483791313e-06
14,<0E2DFCE7E586904DA0F583CB5EAD73CC03046D@WATERTOWN.litchfieldcomm.com>,,,,,False,-0.6,False,0.001299156153328721
15,<200102281425.JAA27807@erosen-sun.cisco.com>,,,,,False,-1.0,False,2.074602943542318e-07
16,<AF5018AC03D1D411ABB70002A5091326039C43@TLV1>,,,,,False,-1.0,False,8.493617330379428e-11
17,<0E2DFCE7E586904DA0F583CB5EAD73CC0306F3@WATERTOWN.litchfieldcomm.com>,,,,,False,-0.6,False,3.801772149298532e-05
18,<006e01c0a1a3$83439740$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,2.074602943542318e-07
19,<007301c0a1a5$2da3a8f0$7203010a@ennovatenetworks.com>,,,,,False,-2.0,False,4.945708464920214e-08
20,<F03A5CDD25F1D411BE6C00508BAFACB23413F6@tera-email.terabeam.com>,,,,,False,0.0,False,0.49999999999999784
21,<0E2DFCE7E586904DA0F583CB5EAD73CC03129B@WATERTOWN.litchfieldcomm.com>,,,,,False,-0.6,False,0.006803068167124697
22,<AFC76835727DD211A7C20008C71EAF1E01145F74@MCHH230E>,,,,,False,-1.0,False,0.006926841194195792
23,<5.0.2.1.2.20010302111036.07ebdb88@viva.vivacenet.com>,,,,,False,0.3,False,4.891527200991178e-05
24,<NFBBIMJKOINEKLGBAOMBGECLCAAA.ellanti@home.com>,,,,,False,3.8,False,4.691573569925807e-05
25,<0E2DFCE7E586904DA0F583CB5EAD73CC030E14@WATERTOWN.litchfieldcomm.com>,,,,,False,-0.6,False,0.03481168340193519
26,<NFBBIMJKOINEKLGBAOMBMECNCAAA.ellanti@home.com>,,,,,False,3.8,False,0.001299156153328721
27,<200103022051.NAA02376@tcb.net>,,,,,False,-2.0,False,6.646969527692869e-09
28,<5.0.2.1.2.20010302164958.03c0eda0@viva.vivacenet.com>,,,,,False,0.3,False,0.007090971233707393
29,<5.0.2.1.2.20010302165404.04d66bd8@viva.vivacenet.com>,,,,,False,0.3,False,0.49999999999999784
30,<NEBBKJPHCLKELBGJCKOIAEJOCCAA.motty@radusa.com>,,,,,False,2.9,False,0.0003100164454880354
31,<5.0.2.1.2.20010305194142.039bdd00@viva.vivacenet.com>,,,,,False,2.6,False,0.0015374734642754487
32,<5.0.2.1.2.20010306000013.03abc1f8@viva.vivacenet.com>,,,,,False,2.6,False,0.16528121032310528
33,<Pine.LNX.4.21.0103060838030.16554-100000@boyle.eng.level3.com>,,,,,False,-1.0,False,0.00024698759636400435
34,<5.0.2.1.2.20010306121249.0552c620@viva.vivacenet.com>,,,,,False,2.6,False,4.891527200991178e-05
35,<017801c0a662$fcd3f910$5305a8c0@rsh.hou.wayport.net>,,,,,False,-2.0,False,0.00016092171246814024
36,<NEBBKJPHCLKELBGJCKOIIEKJCCAA.motty@radusa.com>,,,,,False,-1.0,False,0.49999999999999784
37,<5.0.2.1.2.20010306161349.03b6be98@viva.vivacenet.com>,,,,,False,3.8,False,0.007090971233707393
38,<F03A5CDD25F1D411BE6C00508BAFACB2341417@tera-email.terabeam.com>,,,,,False,-1.0,False,0.07970566712219727
39,<NEBBKJPHCLKELBGJCKOIIELECCAA.motty@radusa.com>,,,,,False,-1.0,False,0.00024698759636400435
40,<H000098808068ef6.0984667292.kcopmp02@MHS>,,,,,False,-0.0,False,2.3033328090959947e-12
41,<004601c0ad88$ad4ce870$d00c2a80@hrfu.ece.rice.edu>,,,,,False,-1.0,False,4.336798215638572e-12
42,<4.3.2.7.2.20010319190043.03d31998@pilgrim.cisco.com>,,,,,False,-2.0,False,3.3506959823005523e-07
43,<Pine.BSF.4.33.0103191821590.1751-100000@oak.packetdesign.com>,,,,,False,-2.0,False,1.6921978570433495e-06
44,<001701c0b47f$45a4ac00$6741a8c0@thefsb.org>,,,,,False,-2.0,False,3.268954509348233e-07
45,<200103272348.QAA14798@tcb.net>,,,,,False,-2.0,False,0.0004893155330331627
46,<000601c0b7a1$b4eb48b0$6741a8c0@thefsb.org>,,,,,False,-2.0,False,2.2015197356807926e-09
47,<200103281616.JAA25557@tcb.net>,,,,,False,-2.0,False,6.254783416662648e-09
48,<200103290128.SAA32208@tcb.net>,,,,,False,-2.0,False,3.247038844568608e-10
49,<0E2DFCE7E586904DA0F583CB5EAD73CC030E31@WATERTOWN.litchfieldcomm.com>,,,,,False,0.3,False,0.00015945564029806495
50,<200103302236.PAA09301@tcb.net>,,,,,False,-2.0,False,1.485650893365962e-07
51,<1361621686b420e04f8e430b1e1667949dbecaef5e_@ewebbcst.info>,NO,1.919,*,"No, score=1.919 tagged_above=-999 required=5 tests=[AWL=0.520, BAYES_50=0.001, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, URIBL_RED=0.001]",False,0.3,False,0.4462654085861514
52,<1368708049b420e04f8e430b1e1667949dbecaef5e_@bitinfonet.info>,NO,4.897,****,"No, score=4.897 tagged_above=-999 required=5 tests=[BAYES_99=3.5, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396]",False,0.3,False,0.013647966152873149
53,<1377359341b420e04f8e430b1e1667949dbecaef5e_@portinfoport.info>,NO,4.897,****,"No, score=4.897 tagged_above=-999 required=5 tests=[BAYES_99=3.5, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396]",False,0.3,False,0.4462654085861514
