imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<E19lu4c-000JXS-Pn@ran.psg.com>,,,,,False,-0.0,False,0.01088427414719083
2,<Pine.LNX.4.53.0308112236070.7351@internaut.com>,,,,,False,-0.0,False,0.49999999999999784
3,<Pine.LNX.4.53.0308120540520.31612@internaut.com>,,,,,False,-0.0,False,0.000304213311916432
4,<3F3A1B65.8050201@piuha.net>,,,,,False,-0.0,False,0.6890094200398137
5,<Pine.LNX.4.53.0308171418290.10844@internaut.com>,,,,,False,-0.0,False,0.0004219078044905248
6,<Pine.LNX.4.53.0308171417380.10844@internaut.com>,,,,,False,-0.0,False,0.49999999999999784
7,<Pine.LNX.4.53.0308190723240.6460@internaut.com>,,,,,False,-0.0,False,1.2648395958821378e-09
8,<3F42724B.5040301@piuha.net>,,,,,False,-0.0,False,4.9924009567829425e-06
9,<200308201358.JAA05146@cisco.com>,,,,,False,-0.0,False,2.3465394893395182e-06
10,<Pine.LNX.4.53.0308212234170.6481@internaut.com>,,,,,False,-0.0,False,0.0013254940055090095
11,<A675D99D53706742B50619249A8EBF04832C1F@MAANDMBX2.ets.enterasys.com>,,,,,False,1.2,False,0.00015360938180138892
12,<Pine.LNX.4.53.0308212231060.6481@internaut.com>,,,,,False,-0.0,False,1.7050506242278958e-08
13,<F17FB067A86B2D488382C923C532EAA79EB788@exch01.bridgewatersys.com>,,,,,False,-0.0,False,1.1958811181272842e-06
14,<Pine.LNX.4.53.0308211346550.9318@internaut.com>,,,,,False,-0.0,False,5.5779416954756605e-08
15,<20030821223820.GA12376@pit.databus.com>,,,,,False,-0.0,False,2.5993866062830887e-05
16,<F17FB067A86B2D488382C923C532EAA79EB7A5@exch01.bridgewatersys.com>,,,,,False,-0.0,False,6.097382656337238e-07
17,<Pine.LNX.4.53.0308212222520.6481@internaut.com>,,,,,False,-0.0,False,1.5218552072425577e-06
18,<F17FB067A86B2D488382C923C532EAA79EB784@exch01.bridgewatersys.com>,,,,,False,-0.0,False,5.157528867431728e-05
19,<F17FB067A86B2D488382C923C532EAA79EB7B6@exch01.bridgewatersys.com>,,,,,False,-0.0,False,9.730307638580365e-06
20,<3F4500C1.7080008@piuha.net>,,,,,False,-0.0,False,2.2454270375316552e-05
21,<F17FB067A86B2D488382C923C532EAA79EB7C4@exch01.bridgewatersys.com>,,,,,False,-0.0,False,5.541087658313027e-06
22,<F17FB067A86B2D488382C923C532EAA79EB7F0@exch01.bridgewatersys.com>,,,,,False,-0.0,False,0.00016594102961049848
23,<071f01c36928$779aae20$50944104@amer.cisco.com>,,,,,False,3.7,False,0.036112680358972096
24,<3F453A92.7090906@piuha.net>,,,,,False,-0.0,False,0.49999999999999784
25,<Pine.LNX.4.53.0308221015220.16485@internaut.com>,,,,,False,-0.0,False,1.0994117055847947e-06
26,<F17FB067A86B2D488382C923C532EAA79EB7E9@exch01.bridgewatersys.com>,,,,,False,-0.0,False,1.6444876792927403e-05
27,<A675D99D53706742B50619249A8EBF04832C26@MAANDMBX2.ets.enterasys.com>,,,,,False,-0.0,False,0.07204844857785822
28,<Pine.LNX.4.53.0308221344100.27490@internaut.com>,,,,,False,-0.0,False,2.053544221634275e-06
29,<F17FB067A86B2D488382C923C532EAA79EB80B@exch01.bridgewatersys.com>,,,,,False,-0.0,False,8.131945296637251e-05
30,<A675D99D53706742B50619249A8EBF04832C27@MAANDMBX2.ets.enterasys.com>,,,,,False,-0.0,False,0.06582664374089135
31,<Pine.LNX.4.53.0308221028040.16844@internaut.com>,,,,,False,-0.0,False,1.1583687773218704e-08
32,<A675D99D53706742B50619249A8EBF04832C29@MAANDMBX2.ets.enterasys.com>,,,,,False,-0.0,False,0.0005818284720985843
33,<499DC368E25AD411B3F100902740AD651C6286D9@xrose03.rose.hp.com>,,,,,False,-0.0,False,6.080888797722148e-07
34,<Pine.LNX.4.53.0308231551280.21307@internaut.com>,,,,,False,-0.0,False,0.00016557937991090667
35,<A675D99D53706742B50619249A8EBF04832C2D@MAANDMBX2.ets.enterasys.com>,,,,,False,-0.0,False,0.032071058729926105
36,<07b701c36991$2bb62e80$50944104@amer.cisco.com>,,,,,False,3.7,False,0.0014280074691026489
37,<Pine.LNX.4.53.0308230925310.31817@internaut.com>,,,,,False,-0.0,False,0.0006060632864256854
38,<Pine.LNX.4.53.0308230647330.22697@internaut.com>,,,,,False,-0.0,False,5.411409267122323e-09
39,<Pine.LNX.4.53.0308241422510.1859@internaut.com>,,,,,False,-0.0,False,3.2324014775793115e-05
40,<F17FB067A86B2D488382C923C532EAA79EB85D@exch01.bridgewatersys.com>,,,,,False,-0.0,False,7.338174172679219e-05
41,<Pine.LNX.4.53.0308251614500.26728@internaut.com>,,,,,False,-0.0,False,5.22439598775828e-10
42,<014d01c36b35$cd0cc230$909c4104@amer.cisco.com>,,,,,False,3.7,False,0.7001617770386719
43,<Pine.LNX.4.53.0308250818400.31751@internaut.com>,,,,,False,-0.0,False,0.00010926766446915271
44,<Pine.LNX.4.53.0308251620080.26728@internaut.com>,,,,,False,-0.0,False,0.6529487624227772
45,<BB6FF468.15DD4%perl@lucent.com>,,,,,False,-0.0,False,0.000822344280989188
46,<F17FB067A86B2D488382C923C532EAA79EB868@exch01.bridgewatersys.com>,,,,,False,-0.0,False,4.1578086619961795e-08
