imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<84F8C466-472D-467E-9F84-96999C086A34@cisco.com>,,0.0 (/),,,False,-1.9,False,0.22737794128918348
2,<F488C7FA-A0AB-44D2-A995-1A44AE183FF6@cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
3,<45B13215.7060500@cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
4,<B373FBF1-8901-4705-B825-D8B5A1EE7696@lurchi.franken.de>,,2.6 (++),,,False,4.9,False,0.49999999999999784
5,<A105099A-3E9A-4F1A-A888-25871BE01384@cisco.com>,,0.0 (/),,,False,-0.9,False,0.49999999999999784
6,<468EA43D.2060500@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
7,<469C1A1F.2090102@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
8,<46A04C8B.4010509@gmx.net>,,0.0 (/),,,False,-1.7,False,0.49999999999999784
9,<46A507C5.5060206@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
10,<46A8C983.4060302@cisco.com>,,-4.0 (----),,,False,-1.6,False,0.49999999999999784
11,<A8F1F5ED-0F28-4C82-82FA-4059ECC1DE1D@cisco.com>,,0.0 (/),,,False,-1.6,False,0.22737794128918348
12,<8A2D7F45-F2DF-4302-8FF8-661AD90BD37A@cisco.com>,,-4.0 (----),,,False,-1.6,False,0.22737794128918348
13,<204FC261-0A32-45E2-A921-5AD50F214559@cisco.com>,,-4.0 (----),,,False,0.9,False,0.49999999999999784
14,<E3F9D87C63E2774390FE67C924EC99BB16E79B43@zrc2hxm1.corp.nortel.com>,,0.0 (/),,,False,0.2,False,0.49999999999999784
15,<24CCCC428EFEA2469BF046DB3C7A8D22EF618B@namail5.corp.adobe.com>,,0.0 (/),,,False,-1.8,False,0.6582410393277521
16,<1ECE0EB50388174790F9694F77522CCF1238C608@zrc2hxm0.corp.nortel.com>,,0.0 (/),,,False,0.2,False,0.5691897720629061
17,<9AAEDF491EF7CA48AB587781B8F5D7C66D5467@srvxchg3.cablelabs.com>,,0.0 (/),,,False,-1.8,False,0.5462914204000534
18,<4704DC02.7030004@netlab.hut.fi>,,0.0 (/),,,False,0.4,False,0.5462914204000534
19,<24CCCC428EFEA2469BF046DB3C7A8D22EF64FA@namail5.corp.adobe.com>,,0.0 (/),,,False,-1.8,False,0.6140204118267555
20,<47050E2C.70800@acm.org>,,0.0 (/),,,False,4.3,False,0.5462914204000534
