imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<4.0.2.19991028092551.03b52500@mail.well.com>,,,,,False,3.8,False,0.03624164767921282
2,<199910281507.LAA31088@domains.invweb.net>,,,,,False,-1.0,False,0.03481168340193519
3,<7D0C2EAEF250D3119BD10008C791823C114C16@zbl6c008.corpeast.baynetworks.com>,,,,,False,-0.0,False,0.5247436434332635
4,<19991028175520.B717741F16@SIGABA.research.att.com>,,,,,False,-2.0,False,0.5247436434332635
5,<199910281811.OAA02301@ietf.org>,,,,,False,-1.0,False,0.15960297761042466
6,<199910281825.OAA03555@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
7,<199910281825.OAA03591@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
8,<199910281828.OAA03894@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
9,<m34sfbz5mq.fsf@flash.localdomain>,,,,,False,-1.0,False,0.0063099854482926545
10,<19991028121322.A29308@ideath.parrhesia.com>,,,,,False,-1.0,False,0.49999999999999784
11,<000f01bf2176$6cdc55e0$bbbafea9@local>,,,,,False,0.2,False,0.006803068167124697
12,<199910281952.PAA09029@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
13,<199910282027.QAA10787@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
14,<m3bt9jmcsr.fsf@flash.localdomain>,,,,,False,-1.0,False,0.0011167517070881487
15,<003801bf2186$576c1aa0$bbbafea9@local>,,,,,False,0.2,False,0.006803068167124697
16,<199910282148.RAA14866@ietf.org>,,,,,False,-1.0,False,0.00704569439817316
17,<19991028151656.B29890@ideath.parrhesia.com>,,,,,False,-1.0,False,0.1655806401199389
18,<199910282224.SAA04257@domains.invweb.net>,,,,,False,-1.0,False,3.222576094156881e-05
19,<199910282256.SAA18182@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
20,<38189CB7.6C53C971@sympatico.ca>,,,,,False,1.0,False,0.6942914984873222
21,<003901bf219a$622a9020$d964c8c7@genesis>,,,,,False,-1.0,False,0.15960297761042466
22,<000b01bf21a2$0698a9b0$5c0754d2@here>,,,,,False,2.6,False,0.49999999999999784
23,<199910290018.UAA21986@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
24,<199910290052.UAA23107@ietf.org>,,,,,False,-1.0,False,0.03601699148786218
25,<007301bf21aa$9cc6e2a0$bbbafea9@local>,,,,,False,0.2,False,0.006803068167124697
26,<008701bf21af$d74e75a0$bbbafea9@local>,,,,,False,0.2,False,0.006803068167124697
27,<00a301bf21b4$2986e740$bbbafea9@local>,,,,,False,0.2,False,0.006803068167124697
28,<38192214.2B31CF33@greendragon.com>,,,,,False,3.8,False,0.49999999999999784
29,<199910290458.XAA16235@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
30,<199910290557.BAA09763@domains.invweb.net>,,,,,False,-1.0,False,0.013301046338181577
31,<38190270.7A2E4A34@sympatico.ca>,,,,,False,1.0,False,0.49999999999999784
32,<000101bf21dd$eddaed20$ce0954d2@here>,,,,,False,2.6,False,0.004402304269146109
33,<000201bf21df$69fcebf0$ce0954d2@here>,,,,,False,2.6,False,0.03481168340193519
34,<381951C5.7963599A@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.49999999999999784
35,<000601bf21e9$e53c63e0$ce0954d2@here>,,,,,False,2.6,False,0.49999999999999784
36,<4.2.0.58.19991029070529.00978360@willers.employees.org>,,,,,False,0.3,False,0.6507071206102908
37,<21565C751365D211BB2D0060089624CC1FBB91@TERRA>,,,,,False,-0.2,False,0.23277756734684618
38,,,,,,False,-0.2,False,0.49999999999999784
39,,,,,,False,-0.2,False,0.5674197612663752
40,<4.2.0.58.19991029085058.0097b740@willers.employees.org>,,,,,False,0.3,False,0.31201870306680335
41,<21ZG4kW2vntX092yn@daina.bga.com>,,,,,False,0.3,False,0.49999999999999784
42,<003901bf2212$353fe9c0$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
43,<3819B3E1.912DA037@greendragon.com>,,,,,False,3.8,False,0.49999999999999784
44,<86wvs6duwd.fsf@ironbridgenetworks.com>,,,,,False,-1.0,False,0.49999999999999784
45,<3819C56F.FA9A71A1@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.49999999999999784
46,<19991029090306.A30998@progressive-systems.com>,,,,,False,-1.0,False,0.19604033675640567
47,<19991029091723.B30998@progressive-systems.com>,,,,,False,-1.0,False,0.03481168340193519
48,<199910291646.KAA29388@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
49,<199910291648.MAA05771@ietf.org>,,,,,False,-1.0,False,0.03481168340193519
50,<199910291652.MAA05890@ietf.org>,,,,,False,-1.0,False,0.010049515178104611
51,<199910291711.NAA07090@ietf.org>,,,,,False,-1.0,False,0.009907905466416988
52,<199910291714.NAA07293@ietf.org>,,,,,False,-1.0,False,0.8973361624517496
53,<199910291707.NAA06845@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
54,<3819D6BA.A6148760@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.49999999999999784
55,<199910291717.NAA07389@ietf.org>,,,,,False,-1.0,False,0.044202006716869004
56,<199910291738.LAA00490@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
57,<199910291742.NAA09352@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
58,<3819E4BF.7D71A3F2@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.49999999999999784
59,<000901bf2239$a11436c0$d964c8c7@genesis>,,,,,False,-1.0,False,0.15960297761042466
60,<21565C751365D211BB2D0060089624CC1FBB9F@TERRA>,,,,,False,-0.2,False,0.15960297761042466
61,<199910291846.MAA02208@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
62,<001101bf223d$70b4a6a0$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
63,<199910291915.MAA09601@cyberpass.net>,,,,,False,-1.0,False,0.49999999999999784
64,<86vh7qdkxj.fsf@ironbridgenetworks.com>,,,,,False,-1.0,False,0.49999999999999784
65,<vpr9ieneps.fsf@sten.sten.org>,,,,,False,-1.0,False,0.49999999999999784
66,<3819FA82.CBE45CA6@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.49999999999999784
67,<3819FB68.78787704@dnrc.bell-labs.com>,,,,,False,-0.2,False,0.15960297761042466
68,<19991029121128.A31209@progressive-systems.com>,,,,,False,-1.0,False,0.001299156153328721
69,<19991029120712.A2712@ideath.parrhesia.com>,,,,,False,-1.0,False,0.042655586288441245
70,<000f01bf2247$489044e0$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
71,<86r9idetg1.fsf@ironbridgenetworks.com>,,,,,False,-1.0,False,0.49999999999999784
72,<87256819.00791CC5.00@d53mta08h.boulder.ibm.com>,,,,,False,-1.0,False,0.006803068167124697
73,<7D0C2EAEF250D3119BD10008C791823C114C1B@zbl6c008.corpeast.baynetworks.com>,,,,,False,0.0,False,0.49999999999999784
74,<381A1EB6.2FC67537@dnrc.bell-labs.com>,,,,,False,0.2,False,0.03481168340193519
75,<199910292308.RAA09787@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
76,<4.2.0.58.19991029185859.00983c20@willers.employees.org>,,,,,False,1.1,False,0.05667166928439936
77,<381A2BF3.BF64CAC7@dnrc.bell-labs.com>,,,,,False,0.2,False,0.49999999999999784
78,<Pine.GSO.3.96.991030013333.22122B-100000@nix>,,,,,False,-1.0,False,0.49999999999999784
79,<199910292344.RAA10502@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
80,<381A41F3.63932E18@dnrc.bell-labs.com>,,,,,False,0.2,False,0.49999999999999784
81,<199910300107.TAA12478@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
82,<199910300151.VAA23242@newdev.harvard.edu>,,,,,False,-1.0,False,0.15960297761042466
83,<000601bf2285$73778270$9d0f54d2@here>,,,,,False,2.6,False,0.15960297761042466
84,<000701bf2286$e04259b0$9d0f54d2@here>,,,,,False,2.6,False,0.03481168340193519
85,<381AC0AD.D60615A@sympatico.ca>,,,,,False,1.0,False,0.49999999999999784
86,<002901bf230a$9a9d2be0$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
87,<381B19AF.297910CE@sympatico.ca>,,,,,False,1.0,False,0.15960297761042466
88,<199910311047.EAA04772@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9881669032018124
89,<381C9276.25E09761@opa.gt.owl.de>,,,,,False,-1.0,False,0.49999999999999784
90,<0.329f118b.254dfb0f@aol.com>,,,,,False,-1.0,False,0.49999999999999784
91,<000b01bf23e9$85141060$d964c8c7@genesis>,,,,,False,-1.0,False,0.010657727536393895
92,<001301bf23eb$4b0579c0$d964c8c7@genesis>,,,,,False,-1.0,False,0.31201870306680335
93,<000701bf23f5$0cf7f680$6e0754d2@here>,,,,,False,2.6,False,0.15960297761042466
94,<7D0C2EAEF250D3119BD10008C791823C114C1C@zbl6c008.corpeast.baynetworks.com>,,,,,False,-0.0,False,0.49999999999999784
95,<21565C751365D211BB2D0060089624CC1FBBC4@TERRA>,,,,,False,-0.2,False,0.49999999999999784
96,<199911011915.OAA20517@ietf.org>,,,,,False,-1.0,False,0.8973361624517496
97,<4.2.0.58.19991101084553.00bede80@pop.a001.sprintmail.com>,,,,,False,-1.0,False,0.007090971233707393
98,<6D1A8E7871B9D211B3B00008C7490AA501A81F43@treis03nok>,,,,,False,-1.0,False,0.49999999999999784
99,<4.2.0.58.19991101083522.00be1a70@pop.a001.sprintmail.com>,,,,,False,-1.0,False,0.49999999999999784
100,<381DBC16.7644FAAC@greendragon.com>,,,,,False,3.8,False,0.49999999999999784
101,<001d01bf24b0$da303660$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
102,<199911012056.PAA13849@ietf.org>,,,,,False,-1.0,False,0.15960297761042466
103,<199911012108.QAA16538@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
104,<199911012143.QAA25478@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
105,<199911012137.QAA23576@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
106,<199911012217.RAA08379@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
107,<21565C751365D211BB2D0060089624CC1FBBD0@TERRA>,,,,,False,-0.2,False,0.49999999999999784
108,<199911012219.RAA09006@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
109,<199911012214.RAA06897@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
110,<4.2.0.58.19991101182221.009657c0@willers.employees.org>,,,,,False,0.3,False,0.33346645842728045
111,<199911020019.TAA28361@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
112,<4.2.0.58.19991101183104.009612a0@willers.employees.org>,,,,,False,0.3,False,0.03624164767921282
113,<002101bf24ba$64adec20$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
114,<4.2.0.58.19991101162028.00aef590@pop1.yahoo.com>,,,,,False,-1.0,False,0.0008646426248945131
115,<4.2.0.58.19991101192146.0095c810@willers.employees.org>,,,,,False,0.3,False,2.7357785389576958e-05
116,<199911020012.BAA07610@sofuku.monster.org>,,,,,False,-1.0,False,0.006334604544683584
117,<002c01bf24d0$a536e920$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
118,<381E0B9E.606C3E72@sympatico.ca>,,,,,False,1.0,False,0.49999999999999784
119,<4.1.19991101190027.045ab100@popserver.com21.com>,,,,,False,3.8,False,0.2860679947043797
120,<007d01bf24f8$d9234580$020210ac@austin.rr.com>,,,,,False,2.0,False,0.49999999999999784
121,<000e01bf24fa$d292c040$9b0b54d2@here>,,,,,False,2.6,False,0.34379231330069565
122,<199911020651.AAA16308@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
123,<199911020651.AAA16314@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
124,<199911020651.AAA16317@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
125,<199911020651.AAA16304@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
126,<199911020718.BAA21391@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
127,<199911020751.BAA27608@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
128,<381E8245.8D82494D@sympatico.ca>,,,,,False,1.0,False,0.15960297761042466
129,<4.2.0.58.19991102070824.0095bb20@willers.employees.org>,,,,,False,0.3,False,0.006553289663050516
130,<199911021217.HAA25084@ietf.org>,,,,,False,-1.0,False,0.8973361624517496
131,,,,,,False,-0.2,False,0.49999999999999784
132,,,,,,False,-0.2,False,0.49999999999999784
133,,,,,,False,-0.2,False,0.49999999999999784
134,<199911021353.NAA07982@orchard.arlington.ma.us>,,,,,False,-1.0,False,0.49999999999999784
135,<199911021512.KAA25815@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
136,<199911021506.KAA23866@ietf.org>,,,,,False,-1.0,False,0.8973361624517496
137,<8725681D.00580717.00@d53mta08h.boulder.ibm.com>,,,,,False,-1.0,False,0.008121725245187004
138,<8525681D.00626CF5.00@notes4.nmss.com>,,,,,False,-1.0,False,0.22737794128918348
139,<199911021802.NAA28803@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
140,"<""16473*mjmccut@cs.ubc.ca""@MHS>",,,,,False,1.1,False,0.49999999999999784
141,<000c01bf256a$7de95cf0$c80154d2@here>,,,,,False,2.6,False,0.2396864047693445
142,<000f01bf256a$1d40a480$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
143,<000f01bf256d$5edfc710$c80154d2@here>,,,,,False,2.6,False,0.49999999999999784
144,<000e01bf256b$ef69cd00$c80154d2@here>,,,,,False,2.6,False,0.03481168340193519
145,<4.2.0.58.19991102160139.00967a90@willers.employees.org>,,,,,False,0.3,False,0.49999999999999784
146,<199911022134.QAA19250@ietf.org>,,,,,False,-1.0,False,0.001323183580486561
147,<199911022144.QAA23889@ietf.org>,,,,,False,-1.0,False,0.05558699310081169
148,<004d01bf257b$2f2a4e10$170210ac@journee.com>,,,,,False,-2.0,False,0.49999999999999784
149,<199911030648.AAA24435@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9985046699109685
150,<199911030659.AAA27056@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
151,<199911030659.AAA27044@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
152,<199911030659.AAA27049@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9870795745907076
153,<199911030729.BAA03394@sys32.hou.wt.net>,,,,,False,-0.6,True,0.9985046699109685
154,<6D1A8E7871B9D211B3B00008C7490AA501A81F4E@treis03nok>,,,,,False,-1.0,False,0.5774108217104913
155,<86r9i7u36g.fsf@ironbridgenetworks.com>,,,,,False,-1.0,False,0.49999999999999784
156,<4.2.0.58.19991103085109.0096dee0@willers.employees.org>,,,,,False,0.3,False,0.49999999999999784
157,<Pine.OSF.3.96.991103092753.32626C-100000@fn3.freenet.tlh.fl.us>,,,,,False,-0.2,False,0.49999999999999784
158,<001701bf260a$8dae44c0$d964c8c7@genesis>,,,,,False,-1.0,False,0.49999999999999784
159,<19991103075530.A10169@progressive-systems.com>,,,,,False,-1.0,False,0.49999999999999784
160,<D1A6C6C41B4CD311965D00C04F2C8D51256C2C@webaccess.crblaw.com>,,,,,False,-1.0,False,0.49999999999999784
161,<19991103164606.5223.qmail@hotmail.com>,,,,,False,0.3,False,0.03481168340193519
162,<19991103163335.89270.qmail@hotmail.com>,,,,,False,0.3,False,0.15960297761042466
163,<004501bf2620$02cde480$170210ac@journee.com>,,,,,False,-2.0,False,0.006803068167124697
164,<005301bf2622$43c2b2c0$170210ac@journee.com>,,,,,False,-2.0,False,0.49999999999999784
165,<199911031745.MAA17722@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
166,<199911031742.MAA16739@ietf.org>,,,,,False,-1.0,False,0.8973361624517496
167,<199911031757.MAA22893@ietf.org>,,,,,False,-1.0,False,0.15960297761042466
168,<199911031800.NAA24043@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
169,<199911031816.KAA00674@zed.isi.edu>,,,,,False,-1.0,False,0.0021165446839773046
170,<199911031819.LAA20204@calcite.rhyolite.com>,,,,,False,-1.0,False,0.49999999999999784
171,<199911031829.NAA07759@ietf.org>,,,,,False,-1.0,False,0.49999999999999784
