imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<CAAMqZPsFX-2MdAPBKz8MC1vJraSf4v5OXFH_VyJ9RxE8CHxBjA@mail.gmail.com>,NO,-1.118,,"No, score=-1.118 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_NONE=0.001, SPF_NEUTRAL=0.779, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-0.9,False,0.15960297761042466
2,<CAAMqZPty9qWYyoXFY3ZgL4niQymJ59LJrD22B1ZcHb6HpFA7=Q@mail.gmail.com>,NO,-1.118,,"No, score=-1.118 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_NONE=0.001, SPF_NEUTRAL=0.779, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-0.9,False,0.15960297761042466
3,<F44B06E7EBA5CC41AF0268391077E19A0937F1B3@dggemm513-mbx.china.huawei.com>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
4,<CAAMqZPu-JSoK10dU+LfXHqh_CBzaKroA9k_PpQUauaTjLCWj8g@mail.gmail.com>,NO,-1.118,,"No, score=-1.118 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_NONE=0.001, SPF_NEUTRAL=0.779, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-0.9,False,0.49999999999999784
5,<6E58094ECC8D8344914996DAD28F1CCD23D6B64E@DGGEMM506-MBX.china.huawei.com>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.03481168340193519
6,<CE03DB3D7B45C245BCA0D243277949363070F8D1@MX307CL04.corp.emc.com>,NO,-2.698,,"No, score=-2.698 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIMWL_WL_HIGH=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, LOTS_OF_MONEY=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_NONE=0.001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.669270692071739
7,<6E58094ECC8D8344914996DAD28F1CCD23D6B9F5@DGGEMM506-MBX.china.huawei.com>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, LOTS_OF_MONEY=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.15960297761042466
8,<CE03DB3D7B45C245BCA0D2432779493630714FFA@MX307CL04.corp.emc.com>,NO,-2.698,,"No, score=-2.698 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIMWL_WL_HIGH=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, LOTS_OF_MONEY=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_NONE=0.001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.06802176027741377
9,<CAAMqZPu6g56PotHQJcn6vvoex3=EPomCTgrmMm8jo3ozehG-WQ@mail.gmail.com>,NO,-1.119,,"No, score=-1.119 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_NONE=0.001, SPF_NEUTRAL=0.779] autolearn=no autolearn_force=no",False,-0.9,False,0.49999999999999784
10,<1605A4E1-7C7C-4BBD-BE35-960730A678D0@eggert.org>,NO,-0.587,,"No, score=-0.587 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, RCVD_IN_RP_RNBL=1.31, SPF_HELO_NONE=0.001, SPF_NONE=0.001, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-2.0,False,0.49999999999999784
