imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<BAB4DC0CD5148948A86BD047A85CE2A702FD9C11@E03MVZ4-UKDY.domain1.systemhost.net>,,0.6 (/),,,False,1.4,False,0.49999999999999784
2,<5.2.1.1.2.20070626172738.04b8eed0@pop3.jungle.bt.co.uk>,,0.1 (/),,,False,-1.8,False,0.1284236953675931
3,<1182923450.3704.5.camel@pc105-c703.uibk.ac.at>,,0.0 (/),,,False,0.4,False,0.49999999999999784
4,<21162.1182956850@bbn.com>,,0.0 (/),,,False,-1.0,False,0.006803068167124697
5,<1182957737.3704.92.camel@pc105-c703.uibk.ac.at>,,0.0 (/),,,False,0.4,False,0.49999999999999784
6,<0B0A20D0B3ECD742AA2514C8DDA3B0656683A7@VGAEXCH01.hq.corp.viasat.com>,,0.0 (/),,,False,-1.8,False,0.15960297761042466
7,<1182959339.3704.99.camel@pc105-c703.uibk.ac.at>,,0.0 (/),,,False,0.4,False,0.15960297761042466
8,<A006D7FE5B11C445A4353373CDFA01755B210A@E03MVA3-UKBR.domain1.systemhost.net>,,0.3 (/),,,False,2.4,False,0.15960297761042466
9,<5.2.1.1.2.20070627173743.04c70b88@pop3.jungle.bt.co.uk>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
10,<002a01c7b8e0$d544cef0$0200a8c0@fun>,,0.1 (/),,,True,5.0,False,0.49999999999999784
11,<5.2.1.1.2.20070627185931.04ce4b98@pop3.jungle.bt.co.uk>,,0.0 (/),,,False,-1.8,False,0.16528121032310528
12,<BAB4DC0CD5148948A86BD047A85CE2A7017EDA81@E03MVZ4-UKDY.domain1.systemhost.net>,,0.2 (/),,,False,1.4,False,0.03481168340193519
13,<002f01c7b8f3$7dd14960$0200a8c0@fun>,,0.1 (/),,,True,5.0,False,0.49999999999999784
14,<E1F060DA-F29D-4EB4-9DF4-7D085279DF2F@nokia.com>,,0.0 (/),,,False,-1.8,False,0.016182055177790217
15,<BAB4DC0CD5148948A86BD047A85CE2A7034A076B@E03MVZ4-UKDY.domain1.systemhost.net>,,0.3 (/),,,False,2.4,False,0.03481168340193519
16,<BAB4DC0CD5148948A86BD047A85CE2A70350388B@E03MVZ4-UKDY.domain1.systemhost.net>,,0.3 (/),,,False,2.4,False,0.49999999999999784
17,<5.2.1.1.2.20070725170014.042e6d18@pop3.jungle.bt.co.uk>,,1.7 (+),,,False,-1.8,False,0.16528121032310528
18,<BAB4DC0CD5148948A86BD047A85CE2A7035EFA32@E03MVZ4-UKDY.domain1.systemhost.net>,,0.0 (/),,,False,1.4,False,0.03481168340193519
19,<200905220155.n4M1tvp2022022@bagheera.jungle.bt.co.uk>,NO,-1.784,,"No, score=-1.784 tagged_above=-999 required=5 tests=[AWL=0.333, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
20,<ED0A9E9D-F966-4F9C-98DB-5CE1D3F4C3AC@nokia.com>,NO,-2.549,,"No, score=-2.549 tagged_above=-999 required=5 tests=[AWL=0.050, BAYES_00=-2.599]",False,-2.0,False,0.22737794128918348
21,<200905220650.n4M6on2W031172@bagheera.jungle.bt.co.uk>,NO,-1.804,,"No, score=-1.804 tagged_above=-999 required=5 tests=[AWL=0.313, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
22,<935bcf51669a82c07626d62b42dcc394.squirrel@webmail.uio.no>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.669270692071739
23,<200907221800.n6MI0s9a006678@bagheera.jungle.bt.co.uk>,NO,-1.33,,"No, score=-1.33 tagged_above=-999 required=5 tests=[AWL=-0.083, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1, SARE_MLH_Stock1=0.87]",False,-2.0,False,0.007090971233707393
24,<C304DB494AC0C04C87C6A6E2FF5603DB2282E06CFF@NDJSSCC01.ndc.nasa.gov>,NO,-6.164,,"No, score=-6.164 tagged_above=-999 required=5 tests=[AWL=-0.435, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, SARE_MLH_Stock1=0.87]",False,1.2,False,0.49999999999999784
25,<4A677FF6.6030405@informatik.uni-wuerzburg.de>,NO,-1.379,,"No, score=-1.379 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35, SARE_MLH_Stock1=0.87]",False,3.8,False,0.49999999999999784
26,<200907231458.n6NEw5nA006553@bagheera.jungle.bt.co.uk>,NO,-1.779,,"No, score=-1.779 tagged_above=-999 required=5 tests=[AWL=0.338, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
27,<200907300532.n6U5WRXG007200@bagheera.jungle.bt.co.uk>,NO,-2.044,,"No, score=-2.044 tagged_above=-999 required=5 tests=[AWL=0.073, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
28,<200907300809.n6U897rC010948@bagheera.jungle.bt.co.uk>,NO,-2.047,,"No, score=-2.047 tagged_above=-999 required=5 tests=[AWL=0.070, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
29,<00275A5B436CA441900CB10936742A3802B1C1D5@FRVELSMBS22.ad2.ad.alcatel.com>,NO,-2.916,,"No, score=-2.916 tagged_above=-999 required=5 tests=[AWL=-0.667, BAYES_00=-2.599, HELO_EQ_FR=0.35]",False,0.3,False,0.15960297761042466
30,<200908030958.n739wKSi000892@bagheera.jungle.bt.co.uk>,NO,-2.1,,"No, score=-2.1 tagged_above=-999 required=5 tests=[AWL=0.017, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.007090971233707393
31,<4A916DBC72536E419A0BD955EDECEDEC06363718@E03MVB1-UKBR.domain1.systemhost.net>,NO,-1.598,,"No, score=-1.598 tagged_above=-999 required=5 tests=[AWL=-0.989, BAYES_05=-1.11, HTML_MESSAGE=0.001, MIME_ASCII0=1.5, RCVD_IN_DNSWL_LOW=-1]",False,1.2,False,0.49999999999999784
32,<C9BB98B434D19544A9D39022083A558E04C0899F@E03MVB1-UKBR.domain1.systemhost.net>,NO,-0.398,,"No, score=-0.398 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HTML_MESSAGE=0.001, J_CHICKENPOX_21=0.6, RCVD_IN_DNSWL_LOW=-1]",False,1.2,False,0.006803068167124697
33,<200908140059.18467.mirja.kuehlewind@ikr.uni-stuttgart.de>,NO,-1.649,,"No, score=-1.649 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35, J_CHICKENPOX_21=0.6]",False,-2.0,False,0.49999999999999784
34,<200909021632.n82GWiXn012033@bagheera.jungle.bt.co.uk>,NO,-1.846,,"No, score=-1.846 tagged_above=-999 required=5 tests=[AWL=0.271, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
35,<200909021633.n82GXbsp012052@bagheera.jungle.bt.co.uk>,NO,-1.854,,"No, score=-1.854 tagged_above=-999 required=5 tests=[AWL=0.263, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.16528121032310528
36,<4A9EA6BB.1040003@ifi.uio.no>,NO,-6.245,,"No, score=-6.245 tagged_above=-999 required=5 tests=[AWL=0.354, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.1,False,0.669270692071739
37,<834e74250909021024n78c01313s805e5e8375e01ffb@mail.gmail.com>,NO,-1.977,,"No, score=-1.977 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622]",False,-0.8,False,0.03481168340193519
38,<0B0A20D0B3ECD742AA2514C8DDA3B065029068C3@VGAEXCH01.hq.corp.viasat.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.15960297761042466
39,<8A82D1BFEDDE7E4597978355239BBBCB17491B@PACDCEXCMB06.cable.comcast.com>,NO,-6.249,,"No, score=-6.249 tagged_above=-999 required=5 tests=[AWL=1.214, BAYES_00=-2.599, GB_FREEBONUS=1, HELO_EQ_MODEMCABLE=0.768, HOST_EQ_MODEMCABLE=1.368, RCVD_IN_DNSWL_HI=-8]",False,1.2,False,0.15960297761042466
40,<4A9EC991.20505@informatik.uni-wuerzburg.de>,NO,-1.743,,"No, score=-1.743 tagged_above=-999 required=5 tests=[AWL=0.506, BAYES_00=-2.599, HELO_EQ_DE=0.35]",False,0.2,False,0.49999999999999784
41,<018c01ca2c6c$bf94f1a0$0601a8c0@ARISTOTELIS>,NO,0.001,,"No, score=0.001 tagged_above=-999 required=5 tests=[BAYES_50=0.001]",False,4.7,False,0.006803068167124697
42,<200909031029.36824.mirja.kuehlewind@ikr.uni-stuttgart.de>,NO,-1.949,,"No, score=-1.949 tagged_above=-999 required=5 tests=[AWL=0.300, BAYES_00=-2.599, HELO_EQ_DE=0.35]",False,-2.0,False,0.49999999999999784
43,<200909041532.n84FWTKE028559@bagheera.jungle.bt.co.uk>,NO,-1.862,,"No, score=-1.862 tagged_above=-999 required=5 tests=[AWL=0.255, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
44,<200909041536.n84Fah0G028653@bagheera.jungle.bt.co.uk>,NO,-1.869,,"No, score=-1.869 tagged_above=-999 required=5 tests=[AWL=0.248, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.03624164767921282
45,<AEDCAF87EEC94F49BA92EBDD49854CC70CEB7E0A@E03MVZ1-UKDY.domain1.systemhost.net>,NO,-3.227,,"No, score=-3.227 tagged_above=-999 required=5 tests=[AWL=0.372, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,1.2,False,0.49999999999999784
46,<AEDCAF87EEC94F49BA92EBDD49854CC70CEB7E0C@E03MVZ1-UKDY.domain1.systemhost.net>,NO,-3.241,,"No, score=-3.241 tagged_above=-999 required=5 tests=[AWL=0.358, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,1.2,False,0.15960297761042466
47,<60C093A41B5E45409A19D42CF7786DFD4DE889988D@EUSAACMS0703.eamcs.ericsson.se>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.006803068167124697
48,<1D18581A-905A-4DAB-A3B4-AE7CE44D03C1@cisco.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,-1.9,False,0.49999999999999784
49,<4AA15231.6020601@it.uc3m.es>,NO,-6.518,,"No, score=-6.518 tagged_above=-999 required=5 tests=[AWL=0.081, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,3.9,False,0.49999999999999784
50,<4AA14DBD.5020407@rogers.com>,NO,-2.331,,"No, score=-2.331 tagged_above=-999 required=5 tests=[AWL=0.268, BAYES_00=-2.599]",False,0.4,False,0.16528121032310528
