imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<831693C2CDA2E849A7D7A712B24E257F4A154B23@BRN1WNEXMBX01.vcorp.ad.vrsn.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1] autolearn=ham",False,-1.9,False,0.49999999999999784
2,<20160205155253.4D1CB1B3AF2@ietfa.amsl.com>,NO,0.333,,"No, score=0.333 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, IP_NOT_FRIENDLY=0.334, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=no",False,-2.0,False,0.011563872542249198
3,<831693C2CDA2E849A7D7A712B24E257F4A15503B@BRN1WNEXMBX01.vcorp.ad.vrsn.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1] autolearn=ham",False,-1.9,False,0.49999999999999784
4,<20160209173723.16222.94380.idtracker@ietfa.amsl.com>,,,,,False,-1.0,False,0.49999999999999784
5,<CALaySJJetQ43Kd5Dcb0Cm9jqDFiWqo01xtS1NDOcjaS1oEXDtw@mail.gmail.com>,NO,-1.278,,"No, score=-1.278 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
6,<70AB620B-7E63-4307-B267-4ED36136714B@elistx.com>,NO,-101.9,,"No, score=-101.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, USER_IN_WHITELIST=-100] autolearn=ham",False,-1.9,False,0.49999999999999784
7,<87F16900-05A7-4FE5-9440-D3CAA9E425BB@sidn.nl>,NO,0.089,,"No, score=0.089 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HELO_EQ_NL=0.55, HOST_EQ_NL=1.545, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.006, SPF_PASS=-0.001] autolearn=no",False,-1.9,False,0.010502887815873057
8,<831693C2CDA2E849A7D7A712B24E257F4A15DE7C@BRN1WNEXMBX01.vcorp.ad.vrsn.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1] autolearn=ham",False,-1.9,False,0.49999999999999784
9,<CAJ9-zoU+tWRd0L2p48SzJBE-6bq2ucQbbJ2HCyoDKf1A3GOHsA@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001] autolearn=no",False,-0.9,False,0.49999999999999784
10,<9A9EBC85-2F11-4BE8-9515-24197A76AC71@verisign.com>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001] autolearn=ham",False,0.5,False,0.001299156153328721
11,<C059877D829F76429F49E0B48705D888DDD56CAB@EXCH-02.CORP.CIRA.CA>,NO,0.093,,"No, score=0.093 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_LOW=-0.7, RP_MATCHES_RCVD=-0.006, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.15960297761042466
12,<513d336c-7f3d-3192-39c9-223808de8772@bogus.com>,NO,-1.906,,"No, score=-1.906 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.006] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<DM2PR0201MB0784737238693E46780A129CB1AD0@DM2PR0201MB0784.namprd02.prod.outlook.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, SPF_HELO_PASS=-0.001] autolearn=ham",False,1.1,False,0.49999999999999784
14,<9D4355B1-5CB8-4339-85CE-01DFBD9CE811@dnsbelgium.be>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.4,False,0.49999999999999784
15,<20160216170450.18811.33215.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.03481168340193519
16,<CALaySJKQQBsn8xV=-dNEuRKmrs9zHUUS7Sb4JWn1eKSpSaDDDw@mail.gmail.com>,NO,-1.278,,"No, score=-1.278 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
17,<831693C2CDA2E849A7D7A712B24E257F4A15E6DF@BRN1WNEXMBX01.vcorp.ad.vrsn.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1] autolearn=unavailable",False,-1.9,False,0.49999999999999784
18,<72A954A6-D599-4CA1-A6AF-7F5CA0D35B2F@viagenie.ca>,NO,-1.906,,"No, score=-1.906 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.006, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.15960297761042466
19,<56C35DBD.4050106@cs.tcd.ie>,NO,-4.307,,"No, score=-4.307 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.006, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.15960297761042466
20,<CAKKJt-dcg6WbNz23ZOhqHq3XwtATY5cBuOzW51mzk=v8M+3sWA@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
