imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20030220213406.17178.90148.Mailman@www1.ietf.org>,,,,,False,-2.0,False,0.166545849963684
2,<20030220213452.17208.54537.Mailman@www1.ietf.org>,,,,,False,-2.0,False,0.166545849963684
3,<200302202251.h1KMptgn036791@cougar.icir.org>,,,,,False,-1.6,False,0.00747371667236491
4,<E4AAC34FE3CF564D8AE89EB8AC333FD7069CCC91@XMB03CRDGE>,,,,,False,0.0,False,0.0014280074691026489
5,<200302252035.h1PKZDgn090589@cougar.icir.org>,,,,,False,-1.6,False,0.0014280074691026489
6,<B3FE60C05AD31D4C96E07EBC5000639E015BD7E0@EMSHQS2>,,,,,False,-1.0,False,0.16605644023286953
7,<20030701130607.18162.43471.Mailman@www1.ietf.org>,,,,,False,-2.0,False,5.275750879434816e-07
8,<20030703223300.4508.98921.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
9,<20030707172631.GA1336@iu-bremen.de>,,,,,False,-1.0,False,0.49999999999999784
10,<200307071934.h67JYte3017337@cougar.icir.org>,,,,,False,-1.6,False,0.00747371667236491
11,<20030708093936.GA1287@iu-bremen.de>,,,,,False,-0.0,False,0.03813740723243072
12,<3F0C72EF.50805@ibr.cs.tu-bs.de>,,,,,False,-2.0,False,0.49999999999999784
13,<20030710083253.GC660@iu-bremen.de>,,,,,False,-1.0,False,0.49999999999999784
14,<20030715145250.GC757@iu-bremen.de>,,,,,False,-1.0,False,0.03813740723243072
15,<3F141C37.1000108@ibr.cs.tu-bs.de>,,,,,False,-2.0,False,0.49999999999999784
16,<3F12952C.50003@ibr.cs.tu-bs.de>,,,,,False,-2.0,False,0.49999999999999784
17,<20030722155512.GA1347@iu-bremen.de>,,,,,False,-1.0,False,0.03813740723243072
18,<20030801130221.29120.77133.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
19,<20030901130234.21711.97531.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
20,<20031015213035.GA997@iu-bremen.de>,,,,,False,-0.0,False,0.16605644023286953
21,<200310202008.h9KK8bGa047334@cougar.icir.org>,,,,,False,-1.6,False,0.49999999999999784
22,<200310202011.h9KKBKGa047443@cougar.icir.org>,,,,,False,-1.6,False,0.49999999999999784
23,<20031127162314.GA2980@iu-bremen.de>,,,,,False,-1.0,False,0.03813740723243072
24,<0d0r5dna64rt47-4ym@q17isupqylq>,,,,,True,16.0,True,0.9523326341750601
25,<mf-3$$$--6z1$6r-884jjzz3j@1o5rdk.maz79>,,,,,True,17.2,True,0.9794852318557362
26,<hv-m-c$5380ch@ei55.09mkz>,,,,,True,22.9,True,0.9999999980240498
