imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<96E87FC5-9560-4A3C-8D9E-BD173D7E0F6B@isoc.org>,NO,-0.502,,"No, score=-0.502 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.1,False,0.49999999999999784
2,<288B5626-EE08-47FD-99D5-25793682CAE9@isoc.org>,NO,0.798,,"No, score=0.798 tagged_above=-999 required=5 tests=[BAYES_50=0.8, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
3,<2BA30521-6D86-4DAF-A1E4-EC41885F41B6@isoc.org>,NO,-0.502,,"No, score=-0.502 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
4,<0A49513E-2E76-44C7-B5EE-2566F52713E7@isoc.org>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
5,<0BBD4752-469A-4525-A89D-27E5173613D4@isoc.org>,NO,0.798,,"No, score=0.798 tagged_above=-999 required=5 tests=[BAYES_50=0.8, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
6,<873F9857-8FC5-48C1-98AB-77DF077DF7FA@encrypted.net>,NO,0.79,,"No, score=0.79 tagged_above=-999 required=5 tests=[BAYES_50=0.8, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
7,<7CA92B49-450E-4809-A81D-E7BB4FADD5EE@isoc.org>,NO,-0.003,,"No, score=-0.003 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
8,<A308E4DD-3A16-4744-88A5-EDC5D33FB44F@isoc.org>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",True,5.8,False,0.49999999999999784
9,<7F384BC8-E812-466F-BE53-4079F0501364@mnot.net>,NO,-2.602,,"No, score=-2.602 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
10,<18EFF503-04DE-4CFC-8214-13E87AC09089@cisco.com>,NO,-14.511,,"No, score=-14.511 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_HI=-5, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham",False,0.1,False,0.49999999999999784
11,<2E1B7CE5-9433-446E-8BAA-1FDEE148554B@isoc.org>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
12,<D8B2A441-8A3D-4BC2-8A9A-2B94AE411B4A@isoc.org>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,2.2,False,0.49999999999999784
13,<F991E04B-9287-4A21-BE07-88424A0DE7A1@isoc.org>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",True,5.8,False,0.49999999999999784
14,<8AE20D8B-2D4D-4140-A554-1157E8E96AA6@encrypted.net>,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
15,<D9D58863-46E6-40BA-AF82-66329B8C9389@isoc.org>,NO,0.798,,"No, score=0.798 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",True,5.8,False,0.49999999999999784
