imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200409221825.i8MIPhp3005252@jaguar.icir.org>,,0.0 (/),,,False,-1.6,False,0.7189408625521978
2,<mailman.1160.1096621271.3166.mailman@lists.ietf.org>,,0.3 (/),,,False,-2.0,False,0.7189408625521978
3,<41801872.9090909@thinkingcat.com>,,0.0 (/),,,False,-2.0,False,0.8674304598559883
4,<20041029080541.GD2249@james>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
5,<20041029083030.GE2249@james>,,0.0 (/),,,False,-0.0,False,0.7189408625521978
6,<41825107.8070703@thinkingcat.com>,,0.0 (/),,,False,-2.0,False,0.7189408625521978
7,<Pine.BSI.4.56.0410310022460.17494@tom.iecc.com>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
8,<mailman.1909.1099303353.20557.mailman@lists.ietf.org>,,0.3 (/),,,False,-2.0,False,0.7189408625521978
9,<F308DD21C5FEBD44F7D97DCC@askvoll.hjemme.alvestrand.no>,,0.0 (/),,,False,-0.4,False,0.8674304598559883
10,<Pine.BSI.4.56.0411011501320.27089@tom.iecc.com>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
11,<6F8930B12DB00FCA154F29BB@B50854F0A9192E8EC6CDA126>,,0.0 (/),,,False,-2.0,False,0.8035799187328447
12,<Pine.BSI.4.56.0411011629270.9799@tom.iecc.com>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
13,<6.0.1.1.2.20041102091148.023061e0@kahuna.telstra.net>,,0.0 (/),,,False,-0.1,False,0.8674304598559883
14,<6.0.1.1.2.20041102091527.023a6ec0@kahuna.telstra.net>,,0.0 (/),,,False,-0.1,False,0.8674304598559883
15,<p07000c0ebdac640b11ba@[216.43.25.67]>,,0.0 (/),,,False,-2.0,False,0.8035799187328447
16,<6.0.1.1.2.20041102103708.0256ad80@kahuna.telstra.net>,,0.0 (/),,,False,-0.1,False,0.8035799187328447
17,<p07000c12bdac9700031a@[216.43.25.67]>,,0.0 (/),,,False,-2.0,False,0.7189408625521978
18,<p0610052cbdad78698a29@[18.26.0.27]>,,0.0 (/),,,False,-0.7,False,0.8035799187328447
19,<200411021947.iA2Jlgbi009738@cougar.icir.org>,,0.0 (/),,,False,-1.6,False,0.8035799187328447
20,<B615900698C87ABA35D70528@B50854F0A9192E8EC6CDA126>,,0.0 (/),,,False,-2.0,False,0.7189408625521978
21,<200411041732.JAA03776@gra.isi.edu>,,0.0 (/),,,False,-1.0,False,0.7189408625521978
