imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200204022250.g32Mo757044817@stash.attlabs.att.com>,,,,,False,-1.0,False,0.00028789067152784587
2,<4203D61676D0AE468AA5CEA90A891C130154026B@cof110avexu4.global.avaya.com>,,,,,False,0.4,False,1.3712447234795962e-06
3,<9929340759.20020409184238@nexsi.com>,,,,,False,-2.0,False,0.001299156153328721
4,<000801c1ef89$b08b4600$a68320d2@topgun>,,,,,False,1.3,False,5.360675483376515e-10
5,<FB578B06F252D511B95B009027E3267B01FE6C1E@il06exm04.corp.mot.com>,,,,,False,-1.0,False,0.0005830385967188066
6,<F73J1Y4VkHC8DWtqchS0000539c@hotmail.com>,,,,,False,0.3,False,6.272697616034917e-14
7,<39469E08BD83D411A3D900204840EC55763176@vie-msgusr-01.dc.fore.com>,,,,,False,-1.0,False,0.00036586125917613773
8,<EE7B7EF89E54794BBBE6BCDD61B86C829DE605@xch-knt-03.nw.nos.boeing.com>,,,,,False,-1.0,False,0.0021948157173156267
9,<f05100300b8fcd1646f8a@[192.168.1.100]>,,,,,False,-0.4,False,0.11775382094553093
10,<20020507062324.84876.qmail@web13806.mail.yahoo.com>,,,,,False,0.3,False,0.001299156153328721
11,<OE48fslJnCZMAS84ymM00005dc7@hotmail.com>,,,,,False,0.3,False,0.49999999999999784
12,<FB578B06F252D511B95B009027E3267B01FE6C2B@il06exm04.corp.mot.com>,,,,,False,-1.0,False,6.110299901094897e-05
13,<20020508202156.38276.qmail@web11208.mail.yahoo.com>,,,,,False,0.3,False,2.4934037891721772e-08
14,<3CDABBF1.3050802@redback.com>,,,,,False,-1.0,False,4.691573569925807e-05
15,<20020515204844.71014.qmail@web11208.mail.yahoo.com>,,,,,False,0.3,False,6.387253357593892e-09
16,<C1CFCBF00D83D511871E00508B638F250285BF5A@AUSYD1EX4>,,,,,False,-1.0,False,5.059500356147047e-10
17,,,,,,False,-0.1,False,4.691573569925807e-05
18,<200205170152.SAA11243@windsor.research.att.com>,,,,,False,-1.0,False,1.060843988085852e-05
19,<20020520172431.12392.qmail@web13801.mail.yahoo.com>,,,,,False,0.3,False,1.744887022796313e-05
20,<4.2.2.20020524105518.02f83ca0@mail.windriver.com>,,,,,False,0.3,False,0.49999999999999784
21,<f05100303b91496a2addb@[192.168.1.100]>,,,,,False,-0.4,False,0.006803068167124697
22,<200205251648.g4PGmoT31666@givry.rennes.enst-bretagne.fr>,,,,,False,-2.0,False,0.49999999999999784
23,<00ee01c205dc$2c71e180$3b8c9696@lge.com>,,,,,False,0.0,False,0.49999999999999784
24,<009501c205d8$b39f94d0$3b8c9696@lge.com>,,,,,False,0.0,False,0.49999999999999784
25,<D2EC481073504E498A8DB9C0687E8CAF029CE0EE@EXCHANGE0-0.na.procket.com>,,,,,False,-2.0,False,4.691573569925807e-05
26,<31C0F08B0D18D511ACC800508BAE7B4702B9CFF2@CI0026EXCH001U>,,,,,False,-1.0,False,3.47467218892749e-12
27,<3CFC2A72.FB43A4EC@cad.zju.edu.cn>,,,,,False,0.3,False,1.8572461359029573e-07
28,<Pine.LNX.4.33.0206041051490.22286-100000@kimchi.sprintlabs.com>,,,,,False,-1.0,False,1.652127988349283e-07
