imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<E39024226822D311BC880008C77318A101A00FA6@oteis01nok>,,,,,False,-1.0,False,5.3546506897535325e-15
2,<4148FEAAD879D311AC5700A0C969E8904E959D@orsmsx35.jf.intel.com>,,,,,False,-0.0,False,8.368507125347475e-08
3,<200103021154.GAA26331@ietf.org>,,,,,False,-2.0,False,0.00432496428313777
4,<E39024226822D311BC880008C77318A101A00FCE@oteis01nok>,,,,,False,-0.3,False,1.1442076224149571e-11
5,<E39024226822D311BC880008C77318A101A00FD0@oteis01nok>,,,,,False,-1.0,False,5.122980545191601e-10
6,<BAD8B0FBF5EED411B21F001083FCEF8F72B18E@dc02.npac.com>,,,,,False,-1.0,False,9.74130917673198e-05
7,<003d01c0b284$71de11a0$97a6fc3f@resonatepamyfj>,,,,,False,1.0,False,0.49999999999999784
8,<E39024226822D311BC880008C77318A101A0102D@oteis01nok>,,,,,False,-1.0,False,0.0005189299905391969
9,<200104041128.HAA14151@ietf.org>,,,,,False,-2.0,False,0.03421847084532585
10,<200104041128.HAA14173@ietf.org>,,,,,False,-2.0,False,0.0026784383544187643
11,<F92978223B01D311ACFF0008C71EE19D015DF41D@MCHH225E>,,,,,False,-1.0,False,1.0766553227595055e-10
12,<3ACBD17C.6DBAD5FD@cisco.com>,,,,,False,-2.0,False,0.0013544535559484522
13,<01D91AFB08B6D211BFD00008C7EABAE10680ACBA@eseis04nok>,,,,,False,-1.0,False,5.529827125963677e-09
14,<OJEJKOMOEAKLMOILFCPJGEFOEFAA.aboba@internaut.com>,,,,,False,-1.0,False,0.49999999999999784
15,<3ACC9942.17F22D1B@ubiquity.net>,,,,,False,-1.0,False,0.49999999999999784
16,<3ACCA101.7050906@cisco.com>,,,,,False,-2.0,False,0.15960297761042466
17,<200104051704.MAA29521@agevole.cig.mot.com>,,,,,False,-1.0,False,0.03481168340193519
18,<200104051834.NAA00647@agevole.cig.mot.com>,,,,,False,-1.0,False,0.49999999999999784
19,<OJEJKOMOEAKLMOILFCPJCEGMEFAA.aboba@internaut.com>,,,,,False,-1.0,False,0.009718699503570892
20,<OJEJKOMOEAKLMOILFCPJKEGMEFAA.aboba@internaut.com>,,,,,False,-1.0,False,0.15960297761042466
21,<OJEJKOMOEAKLMOILFCPJMEGMEFAA.aboba@internaut.com>,,,,,False,-1.0,False,0.15960297761042466
22,<3ACD824E.7F954AF0@ubiquity.net>,,,,,False,-1.0,False,0.15960297761042466
23,<200104061701.MAA14702@agevole.cig.mot.com>,,,,,False,-1.0,False,0.49999999999999784
24,<OJEJKOMOEAKLMOILFCPJAEJGEFAA.aboba@internaut.com>,,,,,False,-1.0,False,0.03481168340193519
