imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20140418094803.2560.80529.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,2.5032827466012738e-12
2,<20140418094803.2560.92905.ARCHIVE@ietfa.amsl.com>,,,,,False,1.0,False,0.010145709738034267
3,<20140418094804.2560.71651.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,1.1593118779134058e-07
4,<20140418094804.2560.21300.ARCHIVE@ietfa.amsl.com>,,,,,False,0.8,False,2.8304743907667376e-12
5,<20140418094804.2560.22062.ARCHIVE@ietfa.amsl.com>,,,,,False,2.5,False,1.259383235381079e-07
6,<20140418094808.2560.48184.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,1.730487890677696e-13
7,<20140418094809.2560.60434.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,4.684297260683001e-16
8,<20140418094809.2560.74880.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,2.178717764487606e-07
9,<20140418094810.2560.41496.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,2.7997112594544987e-08
10,<20140418094810.2560.94144.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,1.5056436510785933e-18
11,<20140418094810.2560.22312.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,0.010145709738034267
12,<20140418094819.2560.4688.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,7.81414840912809e-10
13,<20140418094819.2560.26898.ARCHIVE@ietfa.amsl.com>,,,,,False,2.5,False,0.00019852969616216654
14,<20140418094819.2560.18684.ARCHIVE@ietfa.amsl.com>,,,,,False,1.2,False,8.923568785969156e-07
15,<20140418094819.2560.33898.ARCHIVE@ietfa.amsl.com>,,,,,False,-0.0,False,0.017369320427844365
16,<20140418094819.2560.48529.ARCHIVE@ietfa.amsl.com>,,,,,False,-1.0,False,0.03643805512610868
17,<20140418094828.2560.76794.ARCHIVE@ietfa.amsl.com>,,0.7 (/),,,True,9.9,False,1.858772228719156e-12
18,<20140418094828.2560.15806.ARCHIVE@ietfa.amsl.com>,,2.7 (++),,,True,7.5,False,4.376080904173511e-12
19,<20140418094828.2560.51405.ARCHIVE@ietfa.amsl.com>,,2.7 (++),,,True,7.5,False,1.1205217957816016e-12
20,<20140418094828.2560.92781.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,True,9.7,False,1.1205217957816016e-12
21,<20140418094828.2560.32759.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,True,13.1,False,7.032319880041887e-13
22,<20140418094828.2560.93028.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,True,16.3,False,1.2744507984188725e-08
23,<20140418094828.2560.75434.ARCHIVE@ietfa.amsl.com>,,3.9 (+++),,,True,6.1,False,7.317610249876566e-11
24,<20140418094828.2560.11564.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,1.118487049510071e-10
25,<20140418094828.2560.71943.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,7.317610249876566e-11
26,<20140418094828.2560.90076.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,7.317610249876566e-11
27,<20140418094828.2560.43662.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,True,16.3,False,1.2744507984188725e-08
28,<20140418094828.2560.79269.ARCHIVE@ietfa.amsl.com>,,2.2 (++),,,True,6.1,False,7.317610249876566e-11
29,<20140418094828.2560.53140.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,7.317610249876566e-11
30,<20140418094828.2560.79870.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,1.118487049510071e-10
31,<20140418094828.2560.17282.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,True,6.4,False,1.5595976400715996e-10
32,<20140418094828.2560.94396.ARCHIVE@ietfa.amsl.com>,,0.6 (/),,,False,3.6,False,1.118487049510071e-10
33,<20140418094828.2560.33560.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,18.7,False,6.520302698379589e-08
34,<20140418094828.2560.75023.ARCHIVE@ietfa.amsl.com>,,0.7 (/),,,True,10.9,False,3.4423588472776607e-08
35,<20140418094828.2560.39727.ARCHIVE@ietfa.amsl.com>,,2.7 (++),,,True,8.3,False,5.703260363852155e-12
