imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<32E96743-BE8E-49CB-B6F2-AB5B54736627@voxeo.com>,NO,-0.087,,"No, score=-0.087 tagged_above=-999 required=5 tests=[AWL=-0.550, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, HTML_MESSAGE=1]",False,-1.8,False,0.49999999999999784
2,<5F6519BF2DE0404D99B7C75607FF76FF4D0E8C@mx1.office>,NO,-0.005,,"No, score=-0.005 tagged_above=-999 required=5 tests=[AWL=0.040,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  RDNS_NONE=0.1, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.8,False,0.49999999999999784
3,<5FB585F183235B42A9E70095055136FB79823E@DEMUEXC012.nsn-intra.net>,NO,-1.65,,"No, score=-1.65 tagged_above=-999 required=5 tests=[AWL=-1.605,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  RDNS_NONE=0.1, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.8,False,0.49999999999999784
4,<5F6519BF2DE0404D99B7C75607FF76FF4D0E94@mx1.office>,NO,-0.037,,"No, score=-0.037 tagged_above=-999 required=5 tests=[AWL=0.008,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  RDNS_NONE=0.1, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.8,False,0.49999999999999784
5,<47B58AD7.4020302@gmx.net>,NO,-0.387,,"No, score=-0.387 tagged_above=-999 required=5 tests=[AWL=-0.342, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.7,False,0.49999999999999784
6,<5A3C0727-0BDB-447E-97BC-1FCD874ECC57@voxeo.com>,NO,0.817,,"No, score=0.817 tagged_above=-999 required=5 tests=[AWL=-1.435,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  HTML_MESSAGE=1, MIME_HTML_MOSTLY=0.001, MIME_QP_LONG_LINE=1.396, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.8,False,0.8037307242061429
7,<20080215143513.GA13520@bofh.priv.at>,NO,-0.275,,"No, score=-0.275 tagged_above=-999 required=5 tests=[AWL=0.162,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  RDNS_NONE=0.1]",False,-0.8,False,0.49999999999999784
8,<5F6519BF2DE0404D99B7C75607FF76FF4D0EC9@mx1.office>,NO,-0.063,,"No, score=-0.063 tagged_above=-999 required=5 tests=[AWL=-0.018, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1, SARE_UNSUB30=0.351, SARE_UNSUB30B=0.041]",False,-1.8,False,0.49999999999999784
9,<5F6519BF2DE0404D99B7C75607FF76FF4D0ECC@mx1.office>,NO,-0.293,,"No, score=-0.293 tagged_above=-999 required=5 tests=[AWL=0.144,  BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611,  RDNS_NONE=0.1]",False,-1.8,False,0.49999999999999784
10,<47B5B733.1030607@tekelec.com>,NO,-1.518,,"No, score=-1.518 tagged_above=-999 required=5 tests=[AWL=-1.081, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,1.7,False,0.49999999999999784
11,<20080215161045.GC13520@bofh.priv.at>,NO,-0.549,,"No, score=-0.549 tagged_above=-999 required=5 tests=[AWL=-0.112, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1]",False,-0.8,False,0.49999999999999784
