imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9408261544.AA12784@Ludwig.intel.com>,,,,,False,0.8,False,0.7354840018855971
2,<9408261724.AA12888@Ludwig.intel.com>,,,,,False,0.8,True,0.9793621633619867
3,<9408261726.AA12900@Ludwig.intel.com>,,,,,False,0.8,False,0.6244092124711524
4,<6855.199408261756@atlas.xylogics.com>,,,,,False,-0.0,False,0.012264811262763232
5,<9408291609.AA15951@Ludwig.intel.com>,,,,,False,0.8,True,0.9171200425383553
6,<9408291759.AA02303@donner.nersc.gov>,,,,,False,0.0,False,9.756339502587926e-06
7,<8578.199408292020@atlas.xylogics.com>,,,,,False,-0.0,False,0.030053372500147134
8,<199408291803.AA05254@akamai.isi.edu>,,,,,False,-0.0,False,1.7347530727758502e-07
9,<9408311821.AA18441@Ludwig.intel.com>,,,,,False,0.8,True,0.9522071437929317
10,<6832.199408311924@atlas.xylogics.com>,,,,,False,-0.0,False,0.12039607672143288
11,<9408312033.AA02101@donner.nersc.gov>,,,,,False,0.0,False,0.00033768410403510517
12,<9410111751.AA29061@Ludwig.intel.com>,,,,,False,0.8,False,0.7745159684688463
13,<9410120720.AA14622@dxcoms.cern.ch>,,,,,False,0.8,False,0.08657854774791748
14,<199410121211.AA041973914@casbah.acns.nwu.edu>,,,,,False,2.8,False,0.49999999999999784
15,<199410231955.AA093462105@relay.acns.nwu.edu>,,,,,False,2.1,False,4.825988402382354e-07
16,<199410302231.AA266456271@relay.acns.nwu.edu>,,,,,False,2.1,False,0.6889240157098537
17,<9411111843.AA18884@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.6889240157098537
18,<9411111840.AA18875@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.6646079011829255
19,<9411181000.aa02484@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,1.886614056880854e-08
20,<199411220000.AA04510@zephyr.isi.edu>,,,,,False,-0.0,False,7.222336896243584e-11
21,<199411220134.AA191208061@relay.acns.nwu.edu>,,,,,False,2.1,False,0.669270692071739
22,<v03000a03ab0013d82009@[128.102.17.23]>,,,,,False,1.3,False,4.250836890563476e-08
23,<9411300108.AA03199@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.49999999999999784
24,<9412091905.AA10543@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.3164758966242873
25,<27742.199412121639@atlas.xylogics.com>,,,,,False,0.0,False,0.49999999999999784
26,<Pine.VUL.3.91.950107120323.19368A-100000@vaxorama.lm.com>,,,,,False,0.0,True,0.974442780705103
27,,,,,,False,0.0,False,0.0013498413321733928
28,<9501091658.AA15186@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9142105261668958
29,<9501121713.AA17707@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.10267541983794244
30,<9501121928.AA17850@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9326367921050791
31,<9501161925.AA14897@nic.prep.net>,,,,,False,-0.0,False,0.03428908418508204
32,<9501161956.AA15422@nic.prep.net>,,,,,False,-0.0,False,0.015621318578402526
33,<199501171606.LAA04939@avalon.dartmouth.edu>,,,,,False,-0.2,False,0.49999999999999784
34,<199501171920.OAA05683@avalon.dartmouth.edu>,,,,,False,-0.2,False,0.7033273553436793
35,<9501201739.AA23302@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.15184296756154983
36,<9501241718.AA25750@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.6492025020156238
37,<Pine.3.89.9501241452.A3598-0100000@what.sura.net>,,,,,False,-0.0,True,0.9226535454659053
38,,,,,,False,0.0,False,0.49999999999999784
39,<MailManager.791506099.9688.hata@ash.cac.washington.edu>,,,,,False,-0.0,False,0.0018374632831432015
40,<9501311935.AA00855@Ludwig.sc.intel.com>,,,,,False,1.6,False,0.3824617943481004
41,<18347.199501312101@atlas.xylogics.com>,,,,,False,1.6,True,0.9999734252251994
42,<m0rZR3s-0005EzC@thunderstone.com>,,,,,False,3.6,False,0.07142575538369644
43,<199502022205.RAA07512@alcor.concordia.ca>,,,,,False,0.6,False,1.7137863405652808e-07
44,<21885.199502022246@atlas.xylogics.com>,,,,,False,2.3,False,2.2649762045070204e-07
45,<9502031918.AA01143@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9832533460734416
46,<v01510105ab5818db2191@[129.105.110.129]>,,,,,False,2.1,False,0.49999999999999784
47,<9502062208.AA03306@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8236723870918039
48,<199502071924.OAA22711@avalon.dartmouth.edu>,,,,,False,-0.2,False,0.49999999999999784
49,<24021.199502072235@atlas.xylogics.com>,,,,,False,-0.0,False,0.2625942700659728
50,<9502072247.AA00713@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9334862861969714
51,<9502080059.AA00840@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.15009872352066186
52,<v01510103ab5d6adf82b9@[129.105.110.129]>,,,,,False,2.1,False,0.49999999999999784
53,<199502081810.NAA02121@alcor.concordia.ca>,,,,,False,-1.0,False,3.32487957879908e-05
54,<199502131259.HAA12509@avalon.dartmouth.edu>,,,,,False,-0.2,False,0.49999999999999784
55,<9502160034.AA06913@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8868881288234008
56,<MailManager.793064412.2116.hata@ash.cac.washington.edu>,,,,,False,-0.0,False,0.6328552385253586
57,<9502212016.AA02410@nic.prep.net>,,,,,False,-0.0,False,3.291342380336439e-05
58,<9502212031.AA02644@nic.prep.net>,,,,,False,-0.0,False,0.0034037697891253728
59,<199502212210.RAA20053@alcor.concordia.ca>,,,,,False,-1.0,False,0.03481168340193519
60,<v01510101ab6fca8be9fb@[129.105.110.129]>,,,,,False,2.1,False,0.6983324240602876
61,<199502232019.PAA23686@alcor.concordia.ca>,,,,,False,-1.0,False,1.39788981348778e-06
62,<9502232102.AA12623@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.4717299753494829
63,<9502272137.AA15747@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9970276121864556
64,<199502272231.AA08216@akamai.isi.edu>,,,,,False,-0.0,False,1.6565580094287727e-08
65,<9503081625.AA23044@Ludwig.sc.intel.com>,,,,,False,1.8,False,0.00024698759636400435
66,<9503101953.AA25259@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.49999999999999784
67,<v01510103ab8630460a5e@[129.105.110.129]>,,,,,False,2.1,False,0.8037307242061429
68,<9503131847.AA27068@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.6492025020156238
69,<9503202208.AA02394@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.49999999999999784
70,<9503301811.AA11656@Ludwig.sc.intel.com>,,,,,False,-0.0,False,0.635090616287367
71,<9503301810.AA11649@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.3171029077910825
72,<9503301859.AA11830@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.998630633509296
73,<199503312207.RAA05401@ken.sw.stratus.com>,,,,,False,-0.0,False,0.008987195098717614
74,<9503312329.AA13407@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.20497568636409466
75,<v01510104aba1f0b775de@[129.105.110.129]>,,,,,False,2.1,False,0.03481168340193519
76,<23926.199504122056@atlas.xylogics.com>,,,,,False,0.0,False,0.20531224601737766
77,<9504252143.AA10535@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9702380069220925
78,<Pine.SUN.3.91.950425193028.7233d-100000@what.sura.net>,,,,,False,-0.0,True,0.9997112853847514
79,<9504261515.AA11051@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9980239385739398
80,<9505011727.AA14169@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5160519647388344
81,<v021101020125a1c18e55@[198.124.2.68]>,,,,,False,1.3,False,0.0037299623540216677
82,<199505032007.QAA27372@avalon.dartmouth.edu>,,,,,False,-1.0,False,0.49999999999999784
83,<9505082119.AA19789@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5160519647388344
84,<199505091205.AA083381145@lulu.acns.nwu.edu>,,,,,False,2.8,False,0.49999999999999784
85,<9505091739.AA20687@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5160519647388344
86,<Pine.SUN.3.91.950509153557.4500N-100000@what.sura.net>,,,,,False,-0.0,True,0.9998317479430924
87,<Pine.SUN.3.91.950509162405.1593D-100000@sbegonia.sura.net>,,,,,False,-0.0,True,0.9778839219538593
88,<9505092132.AA20872@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5245176392174975
89,<9505122113.AA23418@Ludwig.sc.intel.com>,,,,,False,-0.0,False,0.07940593461492676
90,<9505171529.AA26590@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9988410855032033
91,<9505181125.aa05668@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,True,0.9870289233577711
92,<9505182120.AA27840@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8020632710495603
93,<9505182319.AA25050@leftbank.com>,,,,,False,-0.0,False,0.001700580542459442
94,<9506011424.AA02866@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.34792961442815346
95,<v01510100abf396d644f2@[129.105.110.129]>,,,,,False,2.1,False,0.006803068167124697
96,<199506020617.AA199593866@lulu.acns.nwu.edu>,,,,,False,2.8,False,0.49999999999999784
97,<9506022115.AA04178@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.006803068167124697
98,<01050105.vp6qtj@arch.ping.dk>,,,,,False,0.0,True,0.907175676045931
99,<01050105.vp41lf@arch.ping.dk>,,,,,False,0.0,False,0.05555655821356499
100,<v01510101abfccc46eb90@[129.105.110.129]>,,,,,False,2.1,False,0.00014606487406589332
101,<9506091417.AA08657@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.2607812074174031
102,<9506092021.AA09146@Ludwig.sc.intel.com>,,,,,False,-0.0,False,0.09988178765310766
103,<01050105.vuagqm@arch.ping.dk>,,,,,False,0.0,False,0.02302561889014515
104,<9506191533.AA02759@moon.webo.dg.com>,,,,,False,2.8,False,0.012837471504297265
105,<9506291442.AA24345@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.29085086351725364
106,<9506291604.AA24393@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5824185563092614
107,<9506291758.AA24508@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8136599906419959
108,<9506291757.AA24502@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.49999999999999784
109,<9507061650.AA04789@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.13044051271159365
110,<Pine.SUN.3.91.950706152734.27055E-100000@lupine.nsi.nasa.gov>,,,,,False,-0.0,False,0.001617942733165183
111,<9507071651.AA05569@taurus.cs.nps.navy.mil>,,,,,False,2.8,False,1.0782006443338314e-05
112,<9507071806.AA06005@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.5079820531233106
113,<9507080616.AA01269@taurus.cs.nps.navy.mil>,,,,,False,4.1,False,0.001025781489646277
114,<199507121311.AA19107@zed.isi.edu>,,,,,False,-0.0,False,0.007020477586058912
115,<v02120d04ac2973ffb6b9@[192.67.239.212]>,,,,,False,1.3,False,5.5410455985492295e-08
116,<Pine.SUN.3.91.950715050526.19501B-100000@class.class.org>,,,,,False,-0.0,False,2.0758068396534965e-12
117,<v01510100ac3468639411@[204.132.123.11]>,,,,,False,1.5,False,0.49038472423886315
118,<Pine.SUN.3.91.950725081811.23320B-100000@lupine.nsi.nasa.gov>,,,,,False,0.0,False,0.0001493971277595307
119,<9507260745.AA24876@cdcnet>,,,,,False,4.8,False,0.0007023015339817205
120,<9508152021.AA09039@ludwig>,,,,,False,0.0,False,0.012517641141026714
121,<9508161601.AA10117@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8136599906419959
122,<199508181638.AA00332@akamai.isi.edu>,,,,,False,-0.0,False,1.1991396080125592e-06
123,<9508282213.AA19480@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.6196383580294748
124,<199509040722.JAA13556@badboy.iprolink.ch>,,,,,False,0.0,False,0.039554640606264735
125,<9510242056.AA08343@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.26006138651924826
126,,,,,,False,0.8,False,0.0015788071101593057
127,<199510270050.AA17194@zen.isi.edu>,,,,,False,-0.0,False,2.336525894384775e-07
128,<Pine.ULT.3.91.951031153719.949D-100000@danpost5.uni-c.dk>,,,,,False,-0.0,False,0.556850075304911
129,<9610112111.AA27226@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.49999999999999784
130,<9610282147.AA18529@Ludwig.sc.intel.com>,,,,,False,0.0,False,0.8037307242061429
131,<9611112028.AA00467@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9760886644191074
132,<199612130816.AA249614993@martigny.ai.mit.edu>,,,,,False,0.8,True,0.9991323755545998
133,<32E25964.28AA@netcom.com>,,,,,False,0.0,True,0.999999790509858
134,<32E3E65B.10C0@netcom.com>,,,,,False,0.0,True,0.9773885908191894
135,<199701230152.RAA19746@mailbag.jf.intel.com>,,,,,False,1.4,False,0.18390844937014694
136,<199701230153.UAA11051@avalon.dartmouth.edu>,,,,,False,0.8,False,0.49999999999999784
137,<9701231848.AA04071@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9999989325078656
138,<9701282307.AA10225@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9999963515107358
139,<9701282308.AA10248@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9991323755545998
140,<199702131200.HAA17557@owlsnest.com>,,,,,False,3.0,True,0.9002652062463525
141,<v03007802af2907f1fdf3@[129.105.110.129]>,,,,,False,2.1,False,0.5337425264653228
142,<9702201910.AA14712@Ludwig.sc.intel.com>,,,,,False,0.0,True,0.9933917546248401
143,<199702202219.AA048277183@martigny.ai.mit.edu>,,,,,False,0.8,False,0.7162242599588896
144,<6945.9702202239@huey.xylogics.com>,,,,,False,-0.0,True,0.9339494189687629
