imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20100914202821.9F0833A6A22@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<4C9260E0.8070807@ieca.com>,NO,-102.042,,"No, score=-102.042 tagged_above=-999 required=5 tests=[AWL=0.222, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-0.3,False,0.49999999999999784
3,<4CAF6280.3030908@ieca.com>,NO,-102.749,,"No, score=-102.749 tagged_above=-999 required=5 tests=[AWL=-0.151, BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
4,<4CAF67D8.6020702@nasa.gov>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.15960297761042466
5,<4CAF6F7C.2070904@ieca.com>,NO,-102.264,,"No, score=-102.264 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
6,<D81B6957A866A243B5DD36F880B2DE9A048D701804@IMCMBX2.MITRE.ORG>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.9,False,0.49999999999999784
7,<4CAF8899.1060102@ieca.com>,NO,-102.598,,"No, score=-102.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
8,<B277F0D458571E469F8E7AD2DD8A210233D6EE5536@AMERDALEXMB1.corp.nai.org>,NO,-1.739,,"No, score=-1.739 tagged_above=-999 required=5 tests=[BAYES_20=-0.74, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
9,<4CBDD3FC.3050701@ieca.com>,NO,-102.525,,"No, score=-102.525 tagged_above=-999 required=5 tests=[AWL=0.072, BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
10,<4CBDD414.7030807@ieca.com>,NO,-102.529,,"No, score=-102.529 tagged_above=-999 required=5 tests=[AWL=0.069, BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
11,<4CBF515C.4090507@yaanatech.com>,NO,0,,"No, score=x tagged_above=-999 required=5 tests=[]",False,4.1,False,0.49999999999999784
12,<4CBF5589.406@ieca.com>,NO,-102.598,,"No, score=-102.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
13,<OF067986D1.B61A5A12-ON852577C3.005C9E71-852577C3.005D8C79@dtcc.com>,NO,0,,"No, score=x tagged_above=-999 required=5 tests=[]",False,-0.0,False,0.12120296150325122
14,<4CC07D86.1070802@yaanatech.com>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,4.1,False,0.49999999999999784
15,<B277F0D458571E469F8E7AD2DD8A210233DDB0E6C9@AMERDALEXMB1.corp.nai.org>,NO,-2.614,,"No, score=-2.614 tagged_above=-999 required=5 tests=[AWL=0.984, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.15960297761042466
16,<AC6674AB7BC78549BB231821ABF7A9AE9071DB3B74@EMBX01-WF.jnpr.net>,NO,-106.069,,"No, score=-106.069 tagged_above=-999 required=5 tests=[AWL=0.530, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
