imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20131113214356.27918.13027.idtracker@ietfa.amsl.com>,NO,-103.543,,"No, score=-103.543 tagged_above=-999 required=5 tests=[AWL=-0.943, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<5296B02C.5090205@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
3,<5297FFC2.4020305@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
4,<529B6AF9.8040306@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
5,<16844_1385981676_529C66EC_16844_4004_1_529C636F.1060002@orange.com>,NO,-1.898,,"No, score=-1.898 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001, UNPARSEABLE_RELAY=0.001] autolearn=ham",False,-0.4,False,0.49999999999999784
6,<1FAFE93A-4ED6-44E5-BFCE-57002C75D75F@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
7,<04e201cef049$d1d3f190$757bd4b0$@riw.us>,NO,0.799,,"No, score=0.799 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.23728787910887114
8,<52A15B61.6080509@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
9,<52A16202.9030904@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
10,<52A167A2.6020101@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
11,<C0E8F232-337E-4469-A20C-B20898153B32@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.6328552385253586
12,<52A55A4F.8090104@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<05ad01cef6a1$d0347770$709d6650$@riw.us>,NO,0.799,,"No, score=0.799 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.0557880138560562
14,<52A92EEB.6060800@pi.nu>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
15,<045e01cf01ba$8408d570$8c1a8050$@olddog.co.uk>,NO,0.8,,"No, score=0.8 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=ham",False,-2.0,False,0.49999999999999784
16,<029a01cf08d2$18194f60$484bee20$@olddog.co.uk>,NO,2.147,**,"No, score=2.147 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_BL_SPAMCOP_NET=1.347, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=no",False,-2.0,False,0.15960297761042466
17,<00d101cf0b95$aa505de0$fef119a0$@olddog.co.uk>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=ham",False,-2.0,False,0.15960297761042466
18,<40746B2300A8FC4AB04EE722A593182B6BFC7592@ONWVEXCHMB04.ciena.com>,NO,-2.267,,"No, score=-2.267 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, IP_NOT_FRIENDLY=0.334, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.669270692071739
19,<40746B2300A8FC4AB04EE722A593182B6BFC75AB@ONWVEXCHMB04.ciena.com>,NO,-2.267,,"No, score=-2.267 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, IP_NOT_FRIENDLY=0.334, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.27762026472190465
20,<C7634EB63EFD984A978DFB46EA5174F2C001226B72@HQ1-EXCH01.corp.brocade.com>,NO,-2.267,,"No, score=-2.267 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, IP_NOT_FRIENDLY=0.334, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.27762026472190465
21,<016901cf0bc6$5a5da370$0f18ea50$@olddog.co.uk>,NO,-0.553,,"No, score=-0.553 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_BL_SPAMCOP_NET=1.347, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=no",False,-2.0,False,0.49999999999999784
22,<C8B66878-3ED9-4BC2-B365-E4E3C3E94EDC@rob.sh>,NO,-2.438,,"No, score=-2.438 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.538] autolearn=ham",False,-2.0,False,0.49999999999999784
23,<BA10AF85-B6C6-4C23-9C6D-FDEEA881DC49@rob.sh>,NO,-2.438,,"No, score=-2.438 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.538] autolearn=ham",False,-2.0,False,0.05293206580006849
24,<52D2DB44.4020706@labn.net>,NO,-2.001,,"No, score=-2.001 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
25,<076a01cf9564$b18eaea0$14ac0be0$@olddog.co.uk>,NO,-101.9,,"No, score=-101.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, USER_IN_WHITELIST=-100] autolearn=ham",False,-2.0,False,0.49999999999999784
26,<53B702E6.3010905@pi.nu>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.49999999999999784
27,<8ce272265b274c79a04d516b9a6122ba@CO1PR05MB442.namprd05.prod.outlook.com>,NO,-101.902,,"No, score=-101.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, USER_IN_WHITELIST=-100] autolearn=ham",False,1.0,False,0.49999999999999784
28,<04d601cfa411$819fda50$84df8ef0$@olddog.co.uk>,NO,-101.9,,"No, score=-101.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, USER_IN_WHITELIST=-100] autolearn=ham",False,-2.0,False,0.15960297761042466
