imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200405071359.i47DxGZ4013103@nailgun.cisco.com>,,,,"No, hits=0.3 required=5.0 tests=NO_REAL_NAME autolearn=no  version=2.60",False,-1.0,True,0.9948672948030348
2,<200405071429.i47ET2Z4013507@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,True,0.9883275203342794
3,<200405071818.i47IIvZ4016478@nailgun.cisco.com>,,,,"No, hits=0.3 required=5.0 tests=NO_REAL_NAME autolearn=no  version=2.60",False,-1.0,True,0.9990796841373707
4,<200405131327.i4DDRWZ4005662@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.0037061834497924867
5,<200405131754.i4DHsUZ4009119@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.326959085371362
6,<200405131904.i4DJ4jZ4010010@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,True,0.9948111936840662
7,<200405132038.i4DKcJZ4011203@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.2155679333883002
8,<200405141748.i4EHmuZ4027805@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.39619316748297423
9,<200405190611.i4J6BhZ4022819@nailgun.cisco.com>,,,,"No, hits=1.1 required=5.0 tests=AWL,FROM_ENDS_IN_NUMS  autolearn=no version=2.60",False,-1.0,True,0.9883275203342794
10,<200405212340.i4LNeNZ4014559@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.40678683181339975
11,<200405212341.i4LNf3Z4014572@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,True,0.9986905245234077
12,<200405212341.i4LNfGZ4014585@nailgun.cisco.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-1.0,False,0.7755348815393214
13,<20140418100309.2560.38756.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,18.9,False,0.019682650808424886
14,<20140418100309.2560.41263.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,3.6,False,1.1590589110135531e-09
