imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<alpine.BSF.1.10.0809261727540.70291@fledge.watson.org>,NO,-0.032,,"No, score=-0.032 tagged_above=-999 required=5 tests=[AWL=0.349,  BAYES_00=-2.599, TVD_SPACE_RATIO=2.219]",False,-0.8,False,0.49999999999999784
2,<Pine.LNX.4.64.0809261732230.3849@mint>,NO,-4.38,,"No, score=-4.38 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, TVD_SPACE_RATIO=2.219]",True,5.0,False,0.49999999999999784
3,<alpine.BSF.1.10.0809261728050.70291@fledge.watson.org>,NO,-1.49,,"No, score=-1.49 tagged_above=-999 required=5 tests=[AWL=-1.110,  BAYES_00=-2.599, TVD_SPACE_RATIO=2.219]",False,-0.8,False,0.49999999999999784
4,<Pine.LNX.4.64.0809261731490.3849@mint>,NO,-4.38,,"No, score=-4.38 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, TVD_SPACE_RATIO=2.219]",True,5.0,False,0.49999999999999784
5,<tslprmm3gjs.fsf@mit.edu>,NO,-4.352,,"No, score=-4.352 tagged_above=-999 required=5 tests=[AWL=1.647,  BAYES_00=-2.599, J_CHICKENPOX_53=0.6, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.49999999999999784
6,<3DED2A0C-2548-4FB1-B22A-DC625ED8C9EF@nist.gov>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.4,False,0.49999999999999784
7,<tslabdq3fi4.fsf@mit.edu>,NO,-4.745,,"No, score=-4.745 tagged_above=-999 required=5 tests=[AWL=1.854,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.49999999999999784
8,<20080929200231.3E5DD3F443@pecan.tislabs.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.49999999999999784
9,<20080929170305.4740f779@cs.columbia.edu>,NO,-3.699,,"No, score=-3.699 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_53=0.6, MANGLED_SHOP=2.3, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.49999999999999784
10,<1696498986EFEC4D9153717DA325CB7201BCD0ED@vaebe104.NOE.Nokia.com>,NO,-6.349,,"No, score=-6.349 tagged_above=-999 required=5 tests=[AWL=0.250,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.49999999999999784
11,<1222203224.29140.80.camel@localhost>,NO,-6.969,,"No, score=-6.969 tagged_above=-999 required=5 tests=[AWL=-2.000, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, SARE_PROLOSTOCK_SYM1=1.63]",False,0.4,False,0.49999999999999784
12,<77ead0ec0809291853t63940339xc826b13cf5515176@mail.gmail.com>,NO,-4.299,,"No, score=-4.299 tagged_above=-999 required=5 tests=[AWL=1.700,  BAYES_00=-2.599, J_CHICKENPOX_48=0.6, RCVD_IN_DNSWL_MED=-4]",False,0.4,False,0.49999999999999784
13,<tslljx9zzdu.fsf@mit.edu>,NO,-3.263,,"No, score=-3.263 tagged_above=-999 required=5 tests=[AWL=0.436,  BAYES_00=-2.599, J_CHICKENPOX_53=0.6, MANGLED_SHOP=2.3, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.49999999999999784
14,<tsld4ilzyno.fsf@mit.edu>,NO,-4.392,,"No, score=-4.392 tagged_above=-999 required=5 tests=[AWL=1.607,  BAYES_00=-2.599, J_CHICKENPOX_48=0.6, RCVD_IN_DNSWL_MED=-4]",False,-0.8,False,0.49999999999999784
15,<623ED7C1-9251-4DB4-B95F-BFEC6EB2ABE1@commerce.net>,NO,-4.496,,"No, score=-4.496 tagged_above=-999 required=5 tests=[AWL=2.103,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.7,False,0.49999999999999784
16,<362BD00981F367CEDD5CF81C@Uranus-009002042072.watson.ibm.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.49999999999999784
17,<77ead0ec0809300438v5b126628t69d2388971eb6026@mail.gmail.com>,NO,-4.519,,"No, score=-4.519 tagged_above=-999 required=5 tests=[AWL=1.480,  BAYES_00=-2.599, J_CHICKENPOX_48=0.6, RCVD_IN_DNSWL_MED=-4]",False,0.4,False,0.49999999999999784
18,<BAD965BE-053F-4296-B0F7-CF0F2C9C0779@redback.com>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[AWL=1.800,  BAYES_00=-2.599, J_CHICKENPOX_48=0.6, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.49999999999999784
