imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20151125155025.6781.94353.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
2,<56570D35.1050806@isode.com>,NO,-2.586,,"No, score=-2.586 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
3,<alpine.OSX.2.11.1511261224190.97490@ary.local>,NO,2.567,**,"No, score=2.567 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,4.0,False,0.15960297761042466
4,,NO,-4.785,,"No, score=-4.785 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
5,<565B351B.7090104@dcrocker.net>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
6,<5A108ED8-1EDB-42CD-85A5-9BC536D6419D@isode.com>,NO,-2.584,,"No, score=-2.584 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=0.001, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
7,<8BB2876F-5E87-4890-AA5F-E9ED9923C3B8@blighty.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.669270692071739
8,<20151129181346.9221.qmail@ary.lan>,NO,2.567,**,"No, score=2.567 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,4.2,False,0.49999999999999784
9,<565B7514.70102@cs.tcd.ie>,NO,-4.886,,"No, score=-4.886 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
10,<565B81F4.8090401@bluepopcorn.net>,NO,-1.985,,"No, score=-1.985 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, J_CHICKENPOX_71=0.6, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,1.6,False,0.49999999999999784
11,<015801d12b0a$dc8731d0$95959570$@huitema.net>,NO,0.8,,"No, score=0.8 tagged_above=-999 required=5 tests=[BAYES_50=0.8,  RCVD_IN_DNSWL_NONE=-0.0001] autolearn=ham",False,-2.0,False,0.49999999999999784
12,<1448849884345-6302c7ad-3551840c-2a0b598f@fugue.com>,NO,-2.487,,"No, score=-2.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.2,False,0.49999999999999784
13,<1448850341365-b08f5b3e-08a47499-bf0b1639@fugue.com>,NO,-2.487,,"No, score=-2.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.2,False,0.49999999999999784
14,<20151130031150.10420.qmail@ary.lan>,NO,2.667,**,"No, score=2.667 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.8037307242061429
15,<20151130032346.10484.qmail@ary.lan>,NO,2.667,**,"No, score=2.667 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
16,<1448853901597-329fed8f-51e32284-4f77ee26@fugue.com>,NO,-2.487,,"No, score=-2.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.2,False,0.49999999999999784
17,<20151130042819.10658.qmail@ary.lan>,NO,2.667,**,"No, score=2.667 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
18,<1448858775386-ceecd236-8b11ac04-a03b4438@fugue.com>,NO,-2.487,,"No, score=-2.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.2,True,0.9713752688673561
19,,NO,-2.587,,"No, score=-2.587 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.8037307242061429
20,<1448861235657-433b0be9-09d1067c-704d6f94@fugue.com>,NO,-2.487,,"No, score=-2.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.2,False,0.669270692071739
21,<20151130055220.10923.qmail@ary.lan>,NO,2.667,**,"No, score=2.667 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=1.004, SPF_PASS=-0.001] autolearn=no",False,0.3,True,0.992855331293156
22,<565C183B.4030109@sonnection.nl>,NO,-1.301,,"No, score=-1.301 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
23,<glJrvFDUtDXWFA87@highwayman.com>,NO,1.353,*,"No, score=1.353 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553] autolearn=no",False,-2.0,False,0.49999999999999784
24,,NO,-0.113,,"No, score=-0.113 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.9,False,0.8037307242061429
25,,NO,-2.012,,"No, score=-2.012 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.9,False,0.49999999999999784
26,<CAGGEJxYn=LoHvJRWzhD-fwg4JOFvzLW72WaVZ4sG9sWq4hPBnw@mail.gmail.com>,NO,-1.379,,"No, score=-1.379 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.49999999999999784
27,<B1D78E44-432D-4002-A4AE-AF16F2309C8F@blighty.com>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[BAYES_20=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
28,<20151130162124.13748.qmail@ary.lan>,NO,0.862,,"No, score=0.862 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
29,<20151130162603.13783.qmail@ary.lan>,NO,0.862,,"No, score=0.862 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.15960297761042466
30,<565C7D72.4050100@dcrocker.net>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
31,<p06240600d2823630b02e@[99.111.97.136]>,NO,-0.51,,"No, score=-0.51 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.8,False,0.669270692071739
32,<20151130192841.GA4625@lapsedordinary.net>,NO,-1.079,,"No, score=-1.079 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HELO_MISMATCH_NET=0.611, HOST_MISMATCH_COM=0.311, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.49999999999999784
33,,NO,0.688,,"No, score=0.688 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.9,False,0.669270692071739
34,<1448914056039-a3b7318d-855824b2-88da48f6@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.8037307242061429
35,<1448923888960-cb7e590f-f443f8dd-7ec594e1@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.8037307242061429
36,<565CD58D.9080403@dcrocker.net>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
37,<1448924778159-4b16d8e4-631c41b1-52b0fbf2@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
38,<20151201020355.14995.qmail@ary.lan>,NO,1.663,*,"No, score=1.663 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
39,<alpine.LSU.2.00.1512011351040.25050@hermes-2.csi.cam.ac.uk>,NO,-4.211,,"No, score=-4.211 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_HELO_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.8,False,0.49999999999999784
40,<20151201145452.17944.qmail@ary.lan>,NO,1.663,*,"No, score=1.663 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.8037307242061429
41,<565DB532.70407@dcrocker.net>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
42,<1448984537206-50414304-4f4a1b54-63e09b42@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
43,<1448988713596-9f0a5014-48bb3a2c-8e1bc938@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
44,<1448988892426-3d90e6a3-1691ce74-693e6fae@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
45,<1448989389082-e2a07101-65c2325c-03b5a77b@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
46,<CEFA7540-91DC-4BBD-B179-65FD4E261167@wordtothewise.com>,NO,-2.011,,"No, score=-2.011 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-1.9,False,0.49999999999999784
47,<1448990957002-8a4e2ed6-df73b97f-9b769f82@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.669270692071739
48,<20151201174025.18409.qmail@ary.lan>,NO,-1.037,,"No, score=-1.037 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.15960297761042466
49,<20151201175028.18462.qmail@ary.lan>,NO,1.663,*,"No, score=1.663 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
50,<CABuGu1qbChbNYG_iwbJoavP6Uo0PUORY8KXR8XHtp+9k=tbnbQ@mail.gmail.com>,NO,-1.378,,"No, score=-1.378 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.49999999999999784
51,<1448992684773-4c6d4a39-ded58e7b-128cca51@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
52,<565DDFB5.7030909@mustelids.ca>,NO,0.343,,"No, score=0.343 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FH_RELAY_NODNS=1.451, RDNS_NONE=0.793, SPF_PASS=-0.001] autolearn=no",False,-2.0,False,0.49999999999999784
53,<CABuGu1qFTdT-Y_0ARLdjhptf8Ze--jUpVa1ssDD_PmYuwPUy=w@mail.gmail.com>,NO,-1.379,,"No, score=-1.379 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.006803068167124697
54,<565DE48C.2070000@mustelids.ca>,NO,0.343,,"No, score=0.343 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FH_RELAY_NODNS=1.451, RDNS_NONE=0.793, SPF_PASS=-0.001] autolearn=no",False,-2.0,False,0.49999999999999784
55,<565DE53F.2080904@mustelids.ca>,NO,2.242,**,"No, score=2.242 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, FH_RELAY_NODNS=1.451, RDNS_NONE=0.793, SPF_PASS=-0.001] autolearn=no",False,-2.0,False,0.49999999999999784
56,<20151201184328.18674.qmail@ary.lan>,NO,0.862,,"No, score=0.862 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.49999999999999784
57,<1448995610381-36d96644-173d7bf5-b94de12d@fugue.com>,NO,-1.912,,"No, score=-1.912 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,3.2,False,0.49999999999999784
