imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<3D4984FF.DABC794F@alcatel.com>,,,,,False,-0.8,False,3.6831764883829813e-07
2,<OF6C9349C7.9ECE9C8E-ON85256C08.006EEEB8@cc.telcordia.com>,,,,,False,-1.0,False,2.187702629708528e-06
3,<3D49A8B5.27E1BC03@alcatel.com>,,,,,False,-0.8,False,1.326860315532543e-07
4,<3D49ADA3.8BE44210@alcatel.com>,,,,,False,-0.8,False,2.6102964470530704e-08
5,<4A3192E7220D9241A1B774B074C6E1210171F18B@swsmsx103.isw.intel.com>,,,,,False,-1.0,False,7.045217925620648e-10
6,<NGBBKMBBINFHFDCOMNLPAECOCEAA.tolga.asveren@ss8.com>,,,,,False,-1.0,False,1.2856030103744899e-08
7,<3D4AA4FF.37BEA655@alcatel.com>,,,,,False,-0.8,False,3.6498342559084665e-10
8,<3D4AA7A5.C50DEA1D@alcatel.com>,,,,,False,-0.8,False,1.0424746607221069e-07
9,<NGBBKMBBINFHFDCOMNLPIECPCEAA.tolga.asveren@ss8.com>,,,,,False,-1.0,False,2.481370892698155e-11
10,<3D4AFC14.27EF969C@alcatel.com>,,,,,False,-0.8,False,2.647835365825077e-10
11,<3D4B08A1.3A8E785F@alcatel.com>,,,,,False,-2.0,False,0.001299156153328721
12,<NGBBKMBBINFHFDCOMNLPKEDBCEAA.tolga.asveren@ss8.com>,,,,,False,-1.0,False,7.480886439429311e-05
13,<3D4B3AD1.8B0256A5@alcatel.com>,,,,,False,-0.8,False,0.00024698759636400435
14,<NGBBKMBBINFHFDCOMNLPEEDDCEAA.tolga.asveren@ss8.com>,,,,,False,-0.3,False,2.481370892698155e-11
15,<3D4E8B45.2E23F627@cisco.com>,,,,,False,0.3,False,0.49999999999999784
16,<OF45FC6B05.4D56BD86-ON85256C0D.00521A7D@radisys.com>,,,,,False,-1.0,False,3.3723218466939778e-12
