imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<94C52D41-770B-415E-840D-B3BBA977632A@cisco.com>,NO,-106.592,,"No, score=-106.592 tagged_above=-999 required=5 tests=[AWL=0.007, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<FEAB7736-5426-4AC2-A6BA-54D0A7A41C29@cisco.com>,NO,-106.593,,"No, score=-106.593 tagged_above=-999 required=5 tests=[AWL=0.006, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
3,<618e24240904271221y460d9567g8da01e451f022bc4@mail.gmail.com>,NO,-2.267,,"No, score=-2.267 tagged_above=-999 required=5 tests=[AWL=0.032, BAYES_00=-2.599, MIME_8BIT_HEADER=0.3]",False,0.8,False,0.49999999999999784
4,<49F864E8.20005@alcatel-lucent.com>,NO,-1.598,,"No, score=-1.598 tagged_above=-999 required=5 tests=[AWL=-0.858, BAYES_20=-0.74]",False,0.2,False,0.49999999999999784
5,<167dfb9b0904290847u322161d5h3da18771344436ec@mail.gmail.com>,NO,-5.844,,"No, score=-5.844 tagged_above=-999 required=5 tests=[AWL=0.133, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_MED=-4]",False,-0.3,False,0.49999999999999784
6,<686CEF8E-4560-42FA-9D95-23B7979E4CE9@cisco.com>,NO,-106.593,,"No, score=-106.593 tagged_above=-999 required=5 tests=[AWL=0.006, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
7,<49F8988C.9050900@alcatel-lucent.com>,NO,-2.514,,"No, score=-2.514 tagged_above=-999 required=5 tests=[AWL=0.085, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
8,<167dfb9b0904291203m4e74ab39s5f83cfa1be9799a0@mail.gmail.com>,NO,-5.847,,"No, score=-5.847 tagged_above=-999 required=5 tests=[AWL=0.130, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_MED=-4]",False,-1.0,False,0.49999999999999784
9,,NO,-2.463,,"No, score=-2.463 tagged_above=-999 required=5 tests=[AWL=0.136, BAYES_00=-2.599]",False,3.8,False,0.49999999999999784
10,<1ECE0EB50388174790F9694F77522CCF1DBA1142@zrc2hxm0.corp.nortel.com>,NO,-6.475,,"No, score=-6.475 tagged_above=-999 required=5 tests=[AWL=0.124, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.6,False,0.49999999999999784
11,<49F8B827.3060501@alcatel-lucent.com>,NO,-2.516,,"No, score=-2.516 tagged_above=-999 required=5 tests=[AWL=0.083, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
12,<49F8BAB8.1000206@alcatel-lucent.com>,NO,-2.517,,"No, score=-2.517 tagged_above=-999 required=5 tests=[AWL=0.082, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
13,<E6C2E8958BA59A4FB960963D475F7AC31915E3E5B1@mail>,NO,-2.544,,"No, score=-2.544 tagged_above=-999 required=5 tests=[AWL=0.055, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
14,<49F8CA90.3000508@alcatel-lucent.com>,NO,-2.518,,"No, score=-2.518 tagged_above=-999 required=5 tests=[AWL=0.081, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
15,<49FA0526.4010000@nostrum.com>,NO,-2.579,,"No, score=-2.579 tagged_above=-999 required=5 tests=[AWL=0.021, BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
16,<49FA100B.2050105@viagenie.ca>,NO,-2.255,,"No, score=-2.255 tagged_above=-999 required=5 tests=[AWL=0.345, BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-0.0,False,0.49999999999999784
17,<49FA142E.7060607@alcatel-lucent.com>,NO,-2.524,,"No, score=-2.524 tagged_above=-999 required=5 tests=[AWL=0.075, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
18,<49FA15DB.2070108@alcatel-lucent.com>,NO,-2.525,,"No, score=-2.525 tagged_above=-999 required=5 tests=[AWL=0.074, BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
19,<49FA1C18.5020702@nostrum.com>,NO,-2.274,,"No, score=-2.274 tagged_above=-999 required=5 tests=[AWL=-0.274, BAYES_00=-2.599, J_CHICKENPOX_47=0.6, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
20,<167dfb9b0904301503w737e1fednc6a5213c54b02a9a@mail.gmail.com>,NO,-5.859,,"No, score=-5.859 tagged_above=-999 required=5 tests=[AWL=0.118, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_MED=-4]",False,-1.0,False,0.49999999999999784
21,<49FA23CD.9060000@nostrum.com>,NO,-2.567,,"No, score=-2.567 tagged_above=-999 required=5 tests=[AWL=0.033, BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
22,<49FA3599.7050709@nostrum.com>,NO,-2.268,,"No, score=-2.268 tagged_above=-999 required=5 tests=[AWL=-0.268, BAYES_00=-2.599, J_CHICKENPOX_47=0.6, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
23,<1241138993.3402.23.camel@scott>,NO,-5.604,,"No, score=-5.604 tagged_above=-999 required=5 tests=[AWL=0.995, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,4.5,False,0.49999999999999784
