imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<3E48A970.481C7DCA@lmf.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
2,<3E4BADB2.FF5B37BE@lmf.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
3,<3E50E254.5D5F7D18@lmf.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
4,<3E51586C.7090101@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
5,<4.3.2.7.2.20030217161831.047e6110@localhost>,,,,,False,-1.0,False,0.49999999999999784
6,<3E516A89.90901@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
7,<4.3.2.7.2.20030217172553.02131130@localhost>,,,,,False,-1.0,False,0.0015608533068961316
8,<3E55EA9F.FB3489BB@lmf.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
9,<3E563552.6000503@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
10,<B8030EB94AF1D51196D70002A589D64207E77CD0@mcl-its-exs01.mail.saic.com>,,,,,False,-1.0,False,0.0014280074691026489
11,<3E564C4A.4090903@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
12,<4.3.2.7.2.20030221121940.04c05700@localhost>,,,,,False,-1.0,False,0.03813740723243072
13,<4.3.2.7.2.20030222120157.024467d0@localhost>,,,,,False,-1.0,False,0.49999999999999784
14,<E18mi3R-0004WI-00@psg.com>,,,,,False,-2.0,False,0.001497141987484975
15,<3E57FC55.9090007@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
16,<E18miX4-0006EF-00@psg.com>,,,,,False,-2.0,False,0.001497141987484975
17,<3E580101.8020207@cs.columbia.edu>,,,,,False,-1.0,False,0.16605644023286953
18,<3E580615.8090608@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
19,<3E5808BA.7010502@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
20,<3E581D14.5070203@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
21,<3E582550.60506@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
22,<4.3.2.7.2.20030223114348.022b5640@localhost>,,,,,False,-1.0,False,0.49999999999999784
23,<3E5912B3.40301@cs.columbia.edu>,,,,,False,2.6,False,0.49999999999999784
24,<4.3.2.7.2.20030223115500.022b4da8@localhost>,,,,,False,-1.0,False,0.49999999999999784
25,<4.3.2.7.2.20030223205206.0215a410@localhost>,,,,,False,-1.0,False,0.03813740723243072
26,<3E599978.8070906@cs.columbia.edu>,,,,,False,2.6,False,0.49999999999999784
27,<E18nAbR-000L7a-00@psg.com>,,,,,False,-2.0,False,0.21390140104904143
28,<B8030EB94AF1D51196D70002A589D64207E77CD3@mcl-its-exs01.mail.saic.com>,,,,,False,-1.0,False,0.04325079751283723
29,<3E5A3123.3070502@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
30,<15A2739B7DAA624D8091C65981D7DA8101214E3A@stntexch2.va.neustar.com>,,,,,False,-1.0,False,0.03813740723243072
31,<3E5B6D7D.70201@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
32,<B8030EB94AF1D51196D70002A589D64207E77CDE@mcl-its-exs01.mail.saic.com>,,,,,False,-1.0,False,0.0014280074691026489
33,<3E5B8655.4000202@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
34,<15A2739B7DAA624D8091C65981D7DA8101214E3F@stntexch2.va.neustar.com>,,,,,False,-1.0,False,0.49999999999999784
35,<15A2739B7DAA624D8091C65981D7DA8101214E43@stntexch2.va.neustar.com>,,,,,False,-1.0,False,0.00747371667236491
36,<3E5BE755.20601@cs.columbia.edu>,,,,,False,-1.0,False,0.16605644023286953
37,<15A2739B7DAA624D8091C65981D7DA8101214E47@stntexch2.va.neustar.com>,,,,,False,-1.0,False,0.0014280074691026489
38,<3E5BF40F.4020708@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
39,<15A2739B7DAA624D8091C65981D7DA8101214E5A@stntexch2.va.neustar.com>,,,,,False,-1.0,False,0.49999999999999784
40,<4.3.2.7.2.20030226153806.09aaaee8@localhost>,,,,,False,-1.0,False,0.0015608533068961316
41,<3E5E2D02.30406@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
42,<3E74E190.2D3A5554@lmf.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
43,<3E74F61A.5040005@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
44,<4.3.2.7.2.20030317015744.0504ce10@localhost>,,,,,False,-1.0,False,0.49999999999999784
45,<3E75E69F.6030505@cs.columbia.edu>,,,,,False,-1.0,False,0.49999999999999784
