imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<CAHhFybpQ385xvS8A5ph0mRPCHDG+RLQkvueWGzc2npxT05WuoA@mail.gmail.com>,NO,-103.099,,"No, score=-103.099 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FROM_LOCAL_NOVOWEL=0.5, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.6,False,0.49999999999999784
2,<F5833273385BB34F99288B3648C4F06F19C6C15277@EXCH-C2.corp.cloudmark.com>,NO,-103.599,,"No, score=-103.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<CAHhFyboi3Aqcs06s2xSsAFuG-qNP8iqOARtEnChnSK3m+TD67g@mail.gmail.com>,NO,-103.099,,"No, score=-103.099 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FROM_LOCAL_NOVOWEL=0.5, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.6,False,0.49999999999999784
4,<6.2.5.6.2.20111129165430.0ac9fbd8@resistor.net>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.5,False,0.49999999999999784
5,<F5833273385BB34F99288B3648C4F06F19C6C152FD@EXCH-C2.corp.cloudmark.com>,NO,-102.911,,"No, score=-102.911 tagged_above=-999 required=5 tests=[AWL=-0.313, BAYES_00=-2.599, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<7F7F36E50398F84DBAF25C9D51732F1E204286FC@TK5EX14MBXC202.redmond.corp.microsoft.com>,NO,-3.598,,"No, score=-3.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.3,False,0.15960297761042466
7,<F5833273385BB34F99288B3648C4F06F19C6C15302@EXCH-C2.corp.cloudmark.com>,NO,-102.876,,"No, score=-102.876 tagged_above=-999 required=5 tests=[AWL=-0.278, BAYES_00=-2.599, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<6.2.5.6.2.20111130134620.0caeabd0@resistor.net>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.5,False,0.49999999999999784
9,<F5833273385BB34F99288B3648C4F06F19C6C15309@EXCH-C2.corp.cloudmark.com>,NO,-102.849,,"No, score=-102.849 tagged_above=-999 required=5 tests=[AWL=-0.250, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<4ED6C139.3050604@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
11,<4ED6C443.20107@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
12,<4ED6E57A.3030108@kitterman.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
13,<CAHhFybqs9TAg6JF0X8m=bsJ+KhobH19qw0H=VJRQcDxoe2NXgw@mail.gmail.com>,NO,-103.099,,"No, score=-103.099 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FROM_LOCAL_NOVOWEL=0.5, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.6,False,0.49999999999999784
14,<4ED6ECFA.7030304@kitterman.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
15,<F5833273385BB34F99288B3648C4F06F19C6C1532E@EXCH-C2.corp.cloudmark.com>,NO,-102.791,,"No, score=-102.791 tagged_above=-999 required=5 tests=[AWL=-0.192, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
