imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<4C454952.8030302@ericsson.com>,NO,-103.767,,"No, score=-103.767 tagged_above=-999 required=5 tests=[AWL=-1.168, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,1.5,False,0.49999999999999784
2,<4C4549E5.5080902@ericsson.com>,NO,-105.745,,"No, score=-105.745 tagged_above=-999 required=5 tests=[AWL=0.854, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.5,False,0.49999999999999784
3,<4C92532D.4030802@ericsson.com>,NO,-105.732,,"No, score=-105.732 tagged_above=-999 required=5 tests=[AWL=0.866, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
4,<4C9254B3.5050509@unina.it>,NO,-100.718,,"No, score=-100.718 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<4C926390.1090108@cisco.com>,NO,-110.505,,"No, score=-110.505 tagged_above=-999 required=5 tests=[AWL=0.094, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8, USER_IN_WHITELIST=-100]",False,0.6,False,0.49999999999999784
6,<20100917130858.a9674c85.lorenzo.miniero@unina.it>,NO,-0.719,,"No, score=-0.719 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-2.0,False,0.49999999999999784
7,<4CE53229.6010006@ericsson.com>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.2,False,0.49999999999999784
8,<4CE53969.1070906@ericsson.com>,NO,-106.499,,"No, score=-106.499 tagged_above=-999 required=5 tests=[AWL=0.100, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<4CEA3EC0.40300@ericsson.com>,NO,-106.532,,"No, score=-106.532 tagged_above=-999 required=5 tests=[AWL=0.067, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<A444A0F8084434499206E78C106220CA038EE02081@MCHP058A.global-ad.net>,NO,-102.503,,"No, score=-102.503 tagged_above=-999 required=5 tests=[AWL=0.096, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
11,<4CF3C555.6080501@ericsson.com>,NO,-106.556,,"No, score=-106.556 tagged_above=-999 required=5 tests=[AWL=0.043, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
12,<4CF3CE0E.5090505@unina.it>,NO,-100.409,,"No, score=-100.409 tagged_above=-999 required=5 tests=[AWL=0.310, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<4D36A165.7000303@unina.it>,NO,-100.569,,"No, score=-100.569 tagged_above=-999 required=5 tests=[AWL=0.149, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
