imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20030115062534.076C910B869@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
2,<20030115080309.21E0810B869@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
3,<20030115093305.E7BE610B7A7@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
4,<20030115101035.79A8510B7A7@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
5,<20030115.122655.70199744.Hitoshi.Asaeda@sophia.inria.fr>,,,,,False,2.6,False,0.49999999999999784
6,<3E255C25.2050408@nc.rr.com>,,,,,False,1.2,False,0.49999999999999784
7,<NDBBLPHLPKFAHIKICCDPCEFICMAA.Rolland.Vida@lip6.fr>,,,,,False,0.0,False,0.49999999999999784
8,<20030115.151109.102792220.Hitoshi.Asaeda@sophia.inria.fr>,,,,,False,2.6,False,0.49999999999999784
9,<20030115150558.GD2103@cypher.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
10,<NDBBLPHLPKFAHIKICCDPKEFKCMAA.Rolland.Vida@lip6.fr>,,,,,False,0.0,False,0.49999999999999784
11,<20030115155041.GF2103@cypher.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
12,<200301151557.h0FFv5Lq041831@hunkular.glarp.com>,,,,,False,-1.6,False,0.007833247761067946
13,<NDBBLPHLPKFAHIKICCDPCEFMCMAA.Rolland.Vida@lip6.fr>,,,,,False,0.0,False,0.49999999999999784
14,<20030115164822.6B2EF10B7A7@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
15,<5.1.1.5.2.20030115083207.05fa7210@mira-sjc5-6.cisco.com>,,,,,False,-2.0,False,0.16605644023286953
16,<20030115170056.GJ2103@cypher.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
17,<20030115171137.GK2103@cypher.cisco.com>,,,,,False,-1.0,False,0.16605644023286953
18,<20030115174322.9E3FD10B7A7@holbrook-laptop.cisco.com>,,,,,False,-1.0,False,0.49999999999999784
19,<5.1.1.5.2.20030115123146.021e95a8@mira-sjc5-6.cisco.com>,,,,,False,-2.0,False,0.49999999999999784
20,<200301152154.h0FLsv2U079721@possum.icir.org>,,,,,False,-1.6,False,0.49999999999999784
