imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9003301348.AA09252@TIS.COM>,,,,,False,-0.0,False,4.259361560519036e-06
2,<9004021740.AA19670@TIS.COM>,,,,,False,-0.0,False,0.00037824098103953955
3,<9004042013.AA04393@dinorah.wustl.edu>,,,,,False,0.8,False,9.16849886014991e-07
4,<3572.639262850@uxc.cso.uiuc.edu>,,,,,False,0.8,False,0.0006719878217631036
5,<CMM.0.88.639263295.fuat@cunixf.cc.columbia.edu>,,,,,False,0.8,False,3.623721794770162e-08
6,<9004042108.AA25600@csc-sun.math.utah.edu>,,,,,False,-0.0,False,2.3179507792294475e-11
7,<9004050144.AA13497@taos.cert.sei.cmu.edu>,,,,,False,1.2,False,0.0018611603955560447
8,<261b545f.vhslan@vhslan>,,,,,False,0.8,False,3.749429155165279e-06
9,<261b53cc.vhslan@vhslan>,,,,,False,0.8,False,0.1002044720163465
10,<9004061408.AA29963@Gipsi.Gipsi.Fr>,,,,,False,0.8,False,1.5043244569570867e-09
11,<9004062031.AA00275@xx1.cert.sei.cmu.edu>,,,,,False,0.8,False,0.49999999999999784
12,<9004091047.AA02748@cedar.execu.com>,,,,,False,-0.0,False,0.5247436434332635
13,<19900410174132.7.TYSON@ELCAPITAN.AI.SRI.COM>,,,,,False,0.8,False,0.0044872318240155714
14,<9004101842.AA15856@amelia.nas.nasa.gov>,,,,,False,0.8,False,1.8199315232859819e-06
15,<9004101905.AA11099@matrix.cray.com>,,,,,False,0.8,False,0.005490122322969473
16,<9004112015.AA02795@taos.cert.sei.cmu.edu>,,,,,False,0.8,False,0.49999999999999784
17,<9004122021.AA04527@amelia.nas.nasa.gov>,,,,,False,0.8,False,0.0002116930541029386
18,<oa9D4OW6f0951KdEc_@turbo.bio.net>,,,,,False,0.8,False,0.49999999999999784
