imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<CEAF9A2E.74C5B%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
2,<CEAF9C7D.74C5E%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
3,<CEAF9CD4.74C5F%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
4,<CEAF9DBF.74C64%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
5,<CEAFA022.74C67%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
6,<CEAFA36C.74C68%stevey@amsl.com>,NO,-0.525,,"No, score=-0.525 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,1.4,False,0.006803068167124697
7,<77654AC9-D4A1-4B6D-9299-49C1026AB1AA@amsl.com>,NO,-2.439,,"No, score=-2.439 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.538, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.07970566712219727
8,<20131231231728.DE3CF1AE366@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
9,<20131231231803.E685C1AE366@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
10,<20131231231804.74EBB1AE3D4@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
11,<20131231231805.86DA31AE3D4@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
12,<20131231231805.0729D1AE366@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
13,<20131231231806.117181AE3D6@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
14,<20131231231807.1F2BA1AE3D4@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
15,<20131231231806.914801AE366@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
16,<20131231231807.9ED021AE3D6@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
17,<20131231231808.2A9C11AE366@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
18,<20131231231809.BCFC91AE3D6@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
19,<20131231231809.374A51AE3D4@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
20,<20131231231808.AB39E1AE45C@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.03481168340193519
