imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<014701ce6222$1ac325d0$50497170$@shockey.us>,NO,-98.999,,"No, score=-98.999 tagged_above=-999 required=5 tests=[BAYES_60=1, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<AC0C447A-7701-45AD-9980-733612BBCABD@cs.columbia.edu>,NO,-3.999,,"No, score=-3.999 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,3.2,False,0.49999999999999784
3,<32456_1370507179_51B047AB_32456_2662_1_B5939C6860701C49AA39C5DA5189448B0A1D6A@PEXCVZYM12.corporate.adroot.infra.ftgroup>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, UNPARSEABLE_RELAY=0.001]",False,-2.0,False,0.49999999999999784
4,<94088B9F-E739-4AF2-8A41-6154C30144BE@brianrosen.net>,NO,-100.437,,"No, score=-100.437 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_NET=0.611, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
5,<E42CCDDA6722744CB241677169E836560215BD8C@MISOUT7MSGUSR9I.ITServices.sbc.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.15960297761042466
6,<005401ce6303$61afdc90$250f95b0$@shockey.us>,NO,-102.264,,"No, score=-102.264 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
7,<3318BDF1-3F8B-4867-AEEE-16183949B000@att.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.49999999999999784
8,<0A11FD66-5F73-406B-A86B-74252CA5A8D3@brianrosen.net>,NO,-100.437,,"No, score=-100.437 tagged_above=-999 required=5 tests=[AWL=-0.001, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_NET=0.611, HTML_MESSAGE=0.001, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
9,<91248EBA-C1F9-4C9A-8FF3-789BA42CA751@att.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.49999999999999784
10,<51B11373.9050507@alum.mit.edu>,NO,-0.362,,"No, score=-0.362 tagged_above=-999 required=5 tests=[AWL=0.075, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_NET=0.611, RDNS_NONE=0.1]",False,4.9,False,0.49999999999999784
11,<FFF5F217-665C-4CE7-A65C-FB94ABF14814@att.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[AWL=0.001, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.49999999999999784
12,<C01B2FDA-5C33-49D9-A496-4AAFD3D926CE@oracle.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
13,<9A320CED-B3A1-4511-BCED-4E8997C64472@brianrosen.net>,NO,-100.437,,"No, score=-100.437 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_NET=0.611, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
14,<2D3732E7-63CC-4D29-B851-58F2805AB4A0@cs.columbia.edu>,NO,-4.999,,"No, score=-4.999 tagged_above=-999 required=5 tests=[AWL=1.000, BAYES_00=-2.599, J_CHICKENPOX_84=0.6, RCVD_IN_DNSWL_MED=-4]",False,3.2,False,0.22737794128918348
15,<F6388405-6233-49FB-86D3-DA4C00571AFB@cs.columbia.edu>,NO,-5.799,,"No, score=-5.799 tagged_above=-999 required=5 tests=[AWL=0.800, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,3.2,False,0.49999999999999784
16,<51B153B2.9080402@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
17,<51B15679.7060401@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
