imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<B70CEB09-B28B-4DCF-8B60-6F54FE414A7F@ifi.uio.no>,NO,-2.446,,"No, score=-2.446 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.547, TVD_SPACE_RATIO=0.001] autolearn=ham",False,-2.0,False,0.669270692071739
2,<4FAC22BE-EEDF-467B-915D-F8E1452D1E5D@ifi.uio.no>,NO,-2.446,,"No, score=-2.446 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,-2.0,False,0.669270692071739
3,<C9B5F12337F6F841B35C404CF0554ACB5FE8F0CB@SZXEMA509-MBS.china.huawei.com>,NO,-4.747,,"No, score=-4.747 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.001299156153328721
4,<26E929FE-9E20-43F0-A113-D9DD2D546EE6@ifi.uio.no>,NO,-2.446,,"No, score=-2.446 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,-2.0,False,0.669270692071739
5,<C9B5F12337F6F841B35C404CF0554ACB5FE8F100@SZXEMA509-MBS.china.huawei.com>,NO,-4.747,,"No, score=-4.747 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.15960297761042466
6,<E1WLqJv-0002jm-Hw@mta0.cl.cam.ac.uk>,NO,-4.747,,"No, score=-4.747 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.547] autolearn=ham",False,-0.3,False,0.49999999999999784
7,<CC9910BC-BEC9-44DA-B465-7FA07ADE96A5@ifi.uio.no>,NO,-0.011,,"No, score=-0.011 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.669270692071739
8,<0275A4C1-05B7-41CD-B296-CBFAFD0CB358@ifi.uio.no>,NO,-0.011,,"No, score=-0.011 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.669270692071739
9,<53432437.50803@isi.edu>,NO,-1.51,,"No, score=-1.51 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
10,<4A95BA014132FF49AE685FAB4B9F17F645CF151B@dfweml701-chm.china.huawei.com>,NO,-1.772,,"No, score=-1.772 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.272, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
11,<CF7156D5.26146%eckelcu@cisco.com>,NO,-9.772,,"No, score=-9.772 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.272, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham",False,-1.9,False,0.49999999999999784
12,<201404141845.25290.mirja.kuehlewind@ikr.uni-stuttgart.de>,NO,-1.822,,"No, score=-1.822 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_DE=0.35, RP_MATCHES_RCVD=-0.272] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<CF7166E3.26186%eckelcu@cisco.com>,NO,-14.773,,"No, score=-14.773 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_HI=-5, RP_MATCHES_RCVD=-0.272, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham",False,-1.9,False,0.49999999999999784
14,<27D55D64-EDA9-4221-B51D-DAF0627BC2CE@ifi.uio.no>,NO,-2.171,,"No, score=-2.171 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.272] autolearn=ham",False,-1.3,False,0.669270692071739
15,<4A95BA014132FF49AE685FAB4B9F17F645CF48E9@dfweml701-chm.china.huawei.com>,NO,-4.473,,"No, score=-4.473 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.272, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
16,<3760DEA3-68BD-48CC-BB12-281F77F7E6F3@ifi.uio.no>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.669270692071739
17,<CALiXHoy+yNFB4Mw4ZVpkYDt3XKdDEL+27aGyrjrHd+TS1zM0cw@mail.gmail.com>,NO,-1.977,,"No, score=-1.977 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,-1.0,False,0.49999999999999784
18,<537B628B.40002@250bpm.com>,NO,0.005,,"No, score=0.005 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_SK=1.35, HOST_EQ_SK=0.555] autolearn=no",False,-2.0,False,0.49999999999999784
19,<E1914A46-351E-48CF-A385-802CED98C04D@cl.cam.ac.uk>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.49999999999999784
20,<20B0E02B-1983-406A-B4A0-30926B69F708@ifi.uio.no>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.669270692071739
21,<53D45CA0-8CDB-4F73-AC18-1FF7B8EFBDE6@ifi.uio.no>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.669270692071739
22,<87B85695-441C-47F4-BE60-C05A4D54DF86@ifi.uio.no>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.709011053304576
23,<51893438-8690-4832-A19A-337633DDBAEB@nrl.navy.mil>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.49999999999999784
24,<ACDE8CB2-B365-40C5-87A0-FE9F5464C6B9@ifi.uio.no>,NO,-2.551,,"No, score=-2.551 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,-2.0,False,0.669270692071739
25,<537C8F99.8040308@erg.abdn.ac.uk>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.5231955227565752
26,<CALiXHoy4YibDSQEhK+u5hQiRORJc8YcmZag3BngWsTajbbm+Yw@mail.gmail.com>,NO,-1.977,,"No, score=-1.977 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,1.3,False,0.03481168340193519
27,<800BC3A3-682D-4C15-A65D-660BA821E0DD@simula.no>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
28,<86862DD3-5344-4B07-805C-2C3899A28C81@ifi.uio.no>,NO,-2.55,,"No, score=-2.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.651] autolearn=ham",False,0.3,False,0.669270692071739
29,<537CAF15.1090301@erg.abdn.ac.uk>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
30,<537CAF9B.9050402@erg.abdn.ac.uk>,NO,-4.852,,"No, score=-4.852 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.651, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
